1Chr.0.0	¶ The fyrst boke of the Chronyces, called in Latin, Verba dierum: or after the Grekes, Paralipomenon: which the Hebrues call Dibre Haiamim, and reken both the bookes but for one.
1Chr.1.1	Adam, Seth, Enos,
1Chr.1.2	Kenan, Mahalehel, Iared,
1Chr.1.3	Henoch, Methusalah, Lameth,
1Chr.1.4	Noah, Sem, Ham, Ꟶ Iapheth.
1Chr.1.5	The sonnes of Iapheth, Gomer, Magog, Madai, Iauan, and Thubal, Mesech, and Thiras.
1Chr.1.6	The sonnes of Gomer, Aschenaz, Diphath and Thogarma.
1Chr.1.7	And the sonnes of Iauan, Elisa, and Tharsisa, Citim and Dodanim.
1Chr.1.8	The sonnes of Ham, Chus, and Mizraim, Phut, and Chanaam.
1Chr.1.9	The sonnes of Chus, Siba, and Hauila, Sabbetha, and Rahma, and Sabtheca. And the sonnes of Rahma, Seba, and Dedan.
1Chr.1.10	And Chus begat Nimrod: and he beganne to be myghtye vpon the earth.
1Chr.1.11	Mizraim begat Ludin, and Anamin, Lahabim, and Naphthnim,
1Chr.1.12	Phatrusim, and Cassuim, of which came the Philistines and the Caphthorites.
1Chr.1.13	Canaam begat zidon hys eldest sonue, and Heth,
1Chr.1.14	Iebusi also and Amori, and Girgasi,
1Chr.1.15	Heui, Araki, and Sini,
1Chr.1.16	and Aruadi, zamari and Hemathi.
1Chr.1.17	The sonnes of Sem, Elam, and Assur, Arphacsad, Lud, and Aram, and Uz, Hul, and Gether, and Masech.
1Chr.1.18	Arphacsad begat Selah, and Selah begat Eber.
1Chr.1.19	And vnto Eber were borne two sonnes: the name of the one was Peleg, because that in hys dayes the lande was deuyded. And hys brothers name was Ioktan.
1Chr.1.20	Ioktan begat Almodad, and Saleph, Hazermaneth and Ierah,
1Chr.1.21	Haboram also and Usal, and Dikla,
1Chr.1.22	Ebal and Abimael, and Seba,
1Chr.1.23	and Ophir, Hauila and Iobab. All these were the sonnes of Ioktan,
1Chr.1.24	Sem, Arphacsad, Selah,
1Chr.1.25	Eber, Peleg, Rehu,
1Chr.1.26	Serug, Nahor, Therah,
1Chr.1.27	Abram other wyse called Abraham.
1Chr.1.28	The sonnes of Abraham, Isahac and Ismael.
1Chr.1.29	And these are theyr generacyons: the eldest sonne of Ismael was Nabaioth, then Kedar, Adbeel, and Mibsam,
1Chr.1.30	Misma, and Dumah, Maska Hadad, and Thema,
1Chr.1.31	Ietur, Naphis, and Kedma. These are the sonnes of Ismael.
1Chr.1.32	The chyldren of Ketura Abrahams concubyne: she bare zimram, Ioksan, Medan, Midian, Iisbok, and Suah. The chyldren of Ioksan: Seba, and Dedan.
1Chr.1.33	The chyldren of Midian, Epha, Ꟶ Ephar, Henoch, Abida and Eldaa. All these are chyldren of Ketura.
1Chr.1.34	And so Abraham begat Isahac. The sonnes of Isahac, Esau and Israel.
1Chr.1.35	The sonnes of Esau: Eliphaz, Rehuel, Iehus, Iaelam, and Korah.
1Chr.1.36	The chyldren of Eliphaz: Theman, Omer, zephi, Ꟶ Gathan, Kenas, Thimna, Ꟶ Amalek.
1Chr.1.37	The children of Rehuel: Nahath, zerah, Samma, and Miza.
1Chr.1.38	The sonnes of Seir: Lotan, Sobal, zibeon, and Ana, Dison, Ezer, and Disan.
1Chr.1.39	The chyldren of Lotan: Hori, and Homan: Ꟶ Thimna was Lotans syster.
1Chr.1.40	The chyldren of Sobal: Alian, Manahath, Ebal, Sephi, and Onam. The sonnes of zibeon: Aia, Ꟶ Ana.
1Chr.1.41	And the sonnes of Ana: Dison. The sones of Dison: Hanran, Esban, Iithran, and Cheran.
1Chr.1.42	The sonnes of Ezer: Bilhan, zaeuan, and zakan. The sonnes of Disan: Uz, and Aran.
1Chr.1.43	These are the kynges that raygned in the lande of Edom, before any kynge raygned ouer the chyldren of Israel: Bela the sonne of Beor and the name of hys citye was Dinhaba.
1Chr.1.44	And Bela dyed, and Iobab the sonne of zerah of Bozra raygned in his steade.
1Chr.1.45	And when Iobab also was deed, Husam of the lande of the Themanytes raygned in hys steade.
1Chr.1.46	And whan Husam was deed, Hadad the sonne of Bedad which smote Midian in the felde of Moab, raygned in hys steade, and the name of hys citye was Auith.
1Chr.1.47	So Hadad dyed, and Samla of Masreka raygned in hys steade.
1Chr.1.48	And Samla dyed, and Saul of Rehoboth by the ryuer syde, raygned in hys steade.
1Chr.1.49	And whan Saul was deed, Baalhanan the sonne of Achbor raygned in hys steade.
1Chr.1.50	And Baalhanan dyed, and Hadad raygned in his steade, Ꟶ the name of hys citye was Pahi, and hys wyues name was Mehetabeel the daughter of Matred the daughter of Mesahab.
1Chr.1.51	Hadad died also, and there were dukes in Edom: Duke Thimna, Duke Aliah, and Duke Ietheth,
1Chr.1.52	Duke Apholibama, Duke Ela, Duke Pinon,
1Chr.1.53	Duke Kenaz, Duke Themam, Duke Mibzar,
1Chr.1.54	Duke Magdiel, and Duke Iram. These are the Dukes of Edom.
1Chr.2.1	These are the sonnes of Israell: Ruben, Simeon, Leui, Iuda, Isachar, and zabulon,
1Chr.2.2	Dan, Ioseph, Beniamin, Nephtali, Gad, and Asser.
1Chr.2.3	The sonnes of Iuda: Er, Onan, and Sela. These thre were borne vnto hym of Bath, Sua the Cananytesse. And Er the eldest sonne of Iuda was euell in the syght of the Lorde, and he slue hym.
1Chr.2.4	And Thamar hys daughter in lawe bare hym Pharez, and zara: and so all the sonnes of Iuda were fyue.
1Chr.2.5	The sonnes of Pharez: Hezron and Hamul.
1Chr.2.6	The sonnes of zarah: zimri, Ethan, Heman, Chalchol, and Dara: which were fyue in all.
1Chr.2.7	And the sonnes of Charmi, Achar that troubled Israel, transgressynge in the thing, that was damned.
1Chr.2.8	The sonnes of Ethan: Azaria.
1Chr.2.9	The sonnes also of Hezron that were borne vnto him: Ierhameel, Ram and Chelubat.
1Chr.2.10	And Ram begat Aminadab: and Aminadab begat Nahson a lord of the children of Iuda.
1Chr.2.11	And Nahson begat Salma: and Salma begat Boaz:
1Chr.2.12	Boaz begat Obed: and Obed begat Isai:
1Chr.2.13	And Isai begat hys eldest sonne Eliab: and Aminadab the seconde, and Simaa the thyrde,
1Chr.2.14	Nathanael the fourth, and Radai the fyfte,
1Chr.2.15	Ozem the syxte, and Dauid the seuenth.
