1Cor.0.0	¶ The fyrst Epistle of Saynct Paul the Apostle tot the Corynthians.
1Cor.1.1	Paul called an Apostle of Iesus Christ, thorowe the will of God, and brother Softenes.
1Cor.1.2	Unto the congregacyon of God whych is at Corynthum. To them that are sanctifyed by Christ Iesu, called saynctes, with all that call on the name of oure Lorde Iesus Chryst in euery place, ether of theirs or of oures.
1Cor.1.3	Grace be vnto you and peace from God oure father, Ꟶ from the Lorde Iesus Christ.
1Cor.1.4	I thanke my God allwayes on youre behalfe, for the grace of God, whych is geuen you by Iesus Christ,
1Cor.1.5	that in all thynges ye are made ryche by hym, in all vtteraunce Ꟶ in all knowlegde,
1Cor.1.6	by the which thinges the testimony of Iesus Christ was confermed in you,
1Cor.1.7	so that ye are behynde in no gyfte, waytinge for the appearyng of oure Lord Iesus Christ,
1Cor.1.8	which shall also strenght you vnto the ende, that ye maye be blamelesse in the daye of oure Lorde Iesus Christ.
1Cor.1.9	God is faythfull, by whom ye are called vnto the fellyshyppe of hys sonne Iesus Christ our Lord.
1Cor.1.10	I beseche you brethren by the name of oure Lord Iesus Christ, that ye all speake one thinge, and that there be no dissencion amonge you: but that ye maye be a whole body: of one mynde and of one meanynge.
1Cor.1.11	For it is shewed vnto me (my brethren) of you, by them which are of the house of Cloe, that ther is stryfes amonge you.
1Cor.1.12	I speake of the same that euery one of you sayeth: I holde of Paul: I holde of Apollo: I holde of Cephas: I holde of Christ.
1Cor.1.13	Is Christ deuyded? Was Paul crucifyed for you? ether were ye baptysed in the name of Paul?
1Cor.1.14	I thanke God, that I baptysed none of you, but Crispus and Gaius:
1Cor.1.15	lest eny shuld saye, that I had baptysed in myne awne name.
1Cor.1.16	I baptised also the house of Stephana. Furthermore knowe I not, whether I baptised eny man or no.
1Cor.1.17	For Christ sent me not to baptyse, but to preache the Gospell, not wt wysdome of wordes, lest the crosse of Christ shulde haue bene made of none effecte.
1Cor.1.18	For the preaching of the crosse, is to them that perisshe, foolishnes: but vnto vs which are saued it is the power of God.
1Cor.1.19	For it is wrytten: I will destroye the wysdome of the wyse, and wyll cast awaye the vnderstandynge of the prudent.
1Cor.1.20	Where is the wyse? Where is the scrybe? Where is the disputer of this worlde?
1Cor.1.21	Hath not God made the wysdome of this worlde foolishnes? For after that the worlde thorowe wysdome knewe not God, in the wysdome of God, it pleased God thorowe foolyshnes of preachynge, to saue them that beleue.
1Cor.1.22	For the Iewes require a sygne, and the Grekes seke after wysdome.
1Cor.1.23	But we preache Christ crucifyed, vnto the Iewes an occasyon of fallynge, and vnto the Grekes foolysihnes:
1Cor.1.24	but vnto them whych are called both of the Iewes Ꟶ Grekes, we preache Christ the power of God and the wysdome of God.
1Cor.1.25	For the foolishnes of God, is wyser then men: and the weakenes of God is stronger then men.
1Cor.1.26	Brethren, ye se your callynge, how that not many wyse men after the flesshe, not many myghty, not many of hye degre, are called:
1Cor.1.27	But God hath chosen the folisshe thynges of the worlde, to confounde the wyse. And God hath chosen the weake thynges, of the worlde, to confounde thynges whych are myghtye.
1Cor.1.28	And vyle thynges of the worlde, Ꟶ thinges which are despised, hath God chosen, yee and thinges of no reputacyon, for to brynge to nought thynges of reputacyon,
1Cor.1.29	that no flesshe shulde reioyce in hys presence.
1Cor.1.30	And of hym are ye, in Chryst Iesu, whych of God is made vnto vs, wysdome, Ꟶ rightwesnes, and sanctifyinge, and redempcyon.
1Cor.1.31	That accordynge as it is written: he which reioyseth, shulde reioyce in the Lorde.
1Cor.2.1	And I brethren (when I came to you) came not in gloriousnes of wordes, or of wysdome, shewynge vnto you the testimony of God.
1Cor.2.2	Nether shewed I my selfe that I knewe eny thynge amonge you, saue Iesus Christ, euen the same that was crucifyed.
1Cor.2.3	And I was among you in weaknes, and in feare, and in moche tremblynge.
1Cor.2.4	And my wordes and my preachynge was not wt entysynge wordes of mannes wysdome: but in shewynge of the sprete and of power,
