1John.0.0	¶ The fyrst Epistle of Saynct Iohn the Apostle.
1John.1.1	That which was from the begynnynge, whyche we haue hearde, whyche we haue sene wyth oure eyes, whych we haue loked vpon, and our handes haue handled, of the word of the lyfe.
1John.1.2	And the lyfe appeared, Ꟶ we haue sene and beare wytnes, Ꟶ shewe vnto you that eternall lyfe, whyche was wyth the father, Ꟶ appeared vnto vs.
1John.1.3	That which we haue sene Ꟶ herde, declare we vnto you, that ye also maye haue fellowshyppe with vs, and that oure felloushyppe maye be wyth the father and his sonne Iesus Christ.
1John.1.4	And thys write we vnto you, that youre ioye maye be full.
1John.1.5	And this is the tydynges whych we haue hearde of hym Ꟶ declare vnto you, that God is lyght, Ꟶ in him is no dercknes at all.
1John.1.6	If we saye, that we haue feloushippe with hym, and walcke in dercknes, we lye, Ꟶ do not the truth.
1John.1.7	But Ꟶ yf we walke in lyght euen as he is in lyght, then haue we fellishippe wt him, and the bloude of Iesus Christ his sonne clenseth vs from all synne.
1John.1.8	If we saye that we haue no synne, we deceaue oure selues, and the trueth is not in vs:
1John.1.9	If we knowledge oure synnes, he is faythfull Ꟶ iust, to forgeue vs oure synnes, and to clense vs from all vnryghtewesnes.
1John.1.10	If we saye we haue not synned, we make hym a lyar, and hys worde is not in vs.
1John.2.1	My lytell chyldren, these thinges write I vnto you, that ye synne not. And yf eny man synne, we haue an aduocate wyth the father, Iesus christ, the ryghteous:
1John.2.2	Ꟶ he it is that obtayneth grace for oure synnes, not for oure synnes onely: but also for the synnes of all the worlde.
1John.2.3	And herby we are sure that we knowe hym, yf we kepe hys commaundementes.
1John.2.4	He that sayth I knowe hym, and kepeth not hys commaundementes is a lyar, and the veritye is not in hym.
1John.2.5	But whoso kepeth hys worde, in hym is the loue of God perfect in dede: herby knowe we that we are in him.
1John.2.6	He that sayth he bydeth in hym, ought to walke euen as he walked.
1John.2.7	Brethren, I wryte no newe commaundement vnto you: but that olde commaundement, which ye haue had from the beginnynge.
1John.2.8	The olde commaundement is the worde, which ye haue hearde from the beginninge. Agayne, a new commaundement I wryte vnto you, that is true in him, and the same is true also in you: for the dercknes is past, and the true lyght now shyneth.
1John.2.9	He that sayth how that he is in the lyght, Ꟶ yet hateth his brother, is in dercknes euen vntyll thys tyme.
1John.2.10	He that loueth his brother, abydeth in the lyght, and ther is none occasion of euyll in hym.
1John.2.11	He that hateth his brother, is in dercknes, Ꟶ walketh in dercknes: and can not tell whyther he goeth, because that dercknes hath blynded hys eyes.
1John.2.12	Babes I wryte vnto you, how that youre synnes are forgeuen you for his names sake.
1John.2.13	I wryte vnto you fathers, how that ye haue knowne him that is from the beginnynge. I wryte vnto you yonge men, how that ye haue ouercome the wicked: I write vnto you lytell chyldren, how that ye haue knowen the father.
1John.2.14	I haue wryten vnto you fathers, how that ye haue knowne hym that is from the beginnynge. I haue wryten vnto you yonge men, how that ye are stronge, and the worde of God abydeth in you, and ye haue ouercome that wycked.
1John.2.15	Se that ye loue not the worlde, nether the thynges that are in the worlde. If eny man loue the worlde, the loue of the father is not in hym.
1John.2.16	For all that is in the worlde (as the lust of the flesshe, and the lust of the eyes, Ꟶ the pryde of life) is not of the father, but of the worlde.
1John.2.17	And the worlde passeth awaye and the lust therof: but he that fulfylleth the will of God, abydeth for euer.
1John.2.18	Lytell chyldren, it is the last tyme, and as ye haue herde how that Antichrist shall come, euen now are there many begonne to be Antichristes allredy, wherby we knowe, that it is the last tyme.
1John.2.19	They went out from vs, but they were not of vs. For yf they had bene of vs, they wolde no dout haue continued with vs. But that it myght appeare, that they were not of vs.
1John.2.20	Neuerthelesse, ye haue an oyntment of him that is holy, and ye knowe all thinges.
