1Pet.0.0	¶ The fyrst Epistle of saynct Peter the Apostle.
1Pet.1.1	Peter an Apostle of Iesu Chryst, to them that dwell here and there as straun thorowout Pontus, Galacia, Capadocya: Asia, and Bethynia, elect
1Pet.1.2	accordyng to the for knowledge of God the farthe thorow the sanctifynge of the sprete vnto obedience Ꟶ sprincklyng of the bloude of Iesus Chryst. Grace be wyth you and peace be multiplyed.
1Pet.1.3	Blessed be God the father of oure Lord Iesus Chryst, whych accordyng to his aboundant mercye begat vs agayne vnto a lyuely hope (by that that Iesus Christ rose agayne from deeth)
1Pet.1.4	to an inherytaunce immortall and vndefyled, and that perissheth not, reserued in heauen for you,
1Pet.1.5	whych are kept by the power of of God thorow fayth, vnto saluacion, whych is prepared allready to be shewed in the last tyme,
1Pet.1.6	in the whych ye reioyce, though now for a season (yf nede require) ye are in heuynes, thorowe manifolde temptacyons,
1Pet.1.7	that the triall of youre fayth beyng moche more precious then golde that peryssheth (though it be tryed with fyre) myght be founde vnto laude, glory and honoure, at the apperynge of Iesus Chryst,
1Pet.1.8	whom ye haue not sene, Ꟶ yet loue hym, in whome euen now, though ye se hym not, yet do you beleue, and reioyce with ioye vnspeakable and glorious
1Pet.1.9	receauyge the ende of your fayth, euen the saluacyon of youre soules.
1Pet.1.10	Of whych saluacyon haue the Prophetes enquyred and searched, whych prophesyed of the grace that shuld come vnto you,
1Pet.1.11	searchyng when or at what tyme the sprete of Chryst (whych was in them) shuld sygnifye, whych sprete testifyed before, the passyons that shuld happen vnto Chryst, Ꟶ the glory that shulde folowe after,
1Pet.1.12	vnto whych Prophetes it was also declared, that not vnto them selues, but vnto vs, they shulde minyster the thynges whych are now shewed vnto you of them, whych (by the holy goost sent downe from heauen) haue in the Gospell preached vnto you the thynges, whych the angels desyre to beholde.
1Pet.1.13	Wherfore gyrde vp the loynes of youre mynde, be sober, Ꟶ trust perfectly on the grace that is brought vnto you (by the declaryng of Iesus Chryst)
1Pet.1.14	as obedient chyldren, that ye geue not youre selues ouer vnto youre olde lustes,
1Pet.1.15	by whych ye were led, whan as yet ye were ignoraunt of Christ: but as he which called you, is holy, euen so be ye holy also in all maner of conuersacyon,
1Pet.1.16	because it is written. Be holy, for I am holy.
1Pet.1.17	And yf so be that ye call on the father, which wythout respect of person iudgeth according to euery mannes worke, se that ye passe the tyme of youre pilgremage in feare.
1Pet.1.18	For as moch as ye knowe, how that ye were not redemed wyth corruptible thynges (as syluer Ꟶ golde) from youre vayne conuersacion, whych ye receaued by the tradicion of the fathers:
1Pet.1.19	but wt the precious bloude of Chryst, as of a lambe vndefyled, and wythout spot,
1Pet.1.20	whych was ordeyned before hande, euen before the worlde was made: but was declared in the last tymes for your sakes,
1Pet.1.21	whych by his meanes do beleue on God, that raysed hym vp from deeth, Ꟶ gloryfyed hym, that ye might haue fayth and hope toward God:
1Pet.1.22	euen ye whych haue purifyed youre soules thorow the sprete, in obeynge the trueth wyth brotherly loue vnfayned, se that ye loue one another wyth a pure hert feruently:
1Pet.1.23	for ye are borne a newe, not of mortall seed, but of immortall, by the worde of God, which lyueth and lasteth for euer.
1Pet.1.24	For all flesshe is grasse, and all the glory of man is as the floure of grasse. The grasse wyddereth, and the floure falleth awaye,
1Pet.1.25	but the worde of the Lord endureth euer And thys is the worde, whych by the Gospell was preached vnto you.
1Pet.2.1	Wherfore laye asyde all maliciousnes Ꟶ al gyle, Ꟶ faynednesse Ꟶ enuy and all backbytinge:
1Pet.2.2	Ꟶ as new borne babes, desyre ye that mylke (not of the body but of the soule) which is wt out disceate that ye maye growe ther by
1Pet.2.3	If so be that ye haue tasted, how gracious the Lorde is,
1Pet.2.4	to whom ye come, as vnto a lyuinge stone, disalowed of men, but chosen of God Ꟶ precious:
1Pet.2.5	Ꟶ ye as lyuinge stones, are made a spretuall house an holy presthode, for to offer vp spretual sacrifyces, acceptable to God by Iesus Christ.
1Pet.2.6	Wherfore it is contayned also in the scripture: beholde I put in Sion a stone to be layed in the chefe corner, electe Ꟶ precious. Ꟶ he that beleueth on him shall not be confounded.
1Pet.2.7	Unto you therfore whych beleue he is precious: but vnto them which beleue not the stone which the buylders refused, the same is begonne to be the heed of the corner,
1Pet.2.8	and a stone that men stomble at, and a rocke wherat they be offended whych stomble at the worde, and beleue not that, wheron they were set.
1Pet.2.9	But ye are a chosen generacion, a royall presthod, an holy nacyon, a people whych are wonne: that ye shuld shewe the vertues of hym, that called you out of darcknes into hys meruclous lyght,
1Pet.2.10	whych in tyme past were not a people, but are now the people of God: which some time had not optayned mercye, but now haue optayned mercye.
1Pet.2.11	Dearly beloued, I beseche you as straungers and pylgrems, abstayne from fleshly lustes, which fyght against the soule,
1Pet.2.12	Ꟶ se that ye haue honest conuersacion amonge the Gentyles, that where as they backbyte you as euyll doars they maye se your good workes, and prayse God in the daye of vysytacion.
1Pet.2.13	Submyt youre selues therfore vnto all maner ordinaunce of man for the lordes sake, whether it be vnto the kynge, as vnto the chefe heed:
1Pet.2.14	other vnto rulars, as vnto them that are sent of hym, for the punysshement of euyll doars, but for the laude of them, that do well.
1Pet.2.15	For so is the wyll of God, that wyth well doyng ye maye stoppe the mouthes of foolysh Ꟶ ignoraunt men:
1Pet.2.16	as fre, Ꟶ not as hauinge the lybertie for a cloacke of maliciousnes, but euen as the seruauntes of God
1Pet.2.17	Honoure all men. Loue brotherly feleshyppe. Feare God, honoure the kynge.
1Pet.2.18	Seruauntes, obey your masters wt feare not onely yf they be good Ꟶ courteous: but also though they be froward
1Pet.2.19	For it is thanke worthye yf a man for conscience towarde God endure grefe, and suffer wrong vndeserued.
1Pet.2.20	For what prayse is it, yf when ye be buffeted for your fautes, ye take it pacyently? But Ꟶ yf when ye do well, ye suffer wronge Ꟶ take it paciently, then is ther thanke wt God.
1Pet.2.21	For here vnto verely were ye called: for Christ also suffered for vs leauynge vs an ensample, that ye shulde folowe his steppes,
1Pet.2.22	whych dyd no synne, nether was there gyle found in hys mouth:
1Pet.2.23	whych when he was reuyled, reuyled not agayne: when he suffered, he threatened not, but committed the vengeaunce to hym that iudgeth ryghteously
1Pet.2.24	whych hys awne selfe bare our synnes in his body on the tree, that we beyng delyuered from synne, shuld lyue vnto ryghteousnes. By whose strypes ye were healed.
1Pet.2.25	For ye were as shepe goyng astraye: but are now turned vnto the shepeherd and bysshope of youre soules.
1Pet.3.1	Likewyse ye wyues be in subieccyon to youre husbandes, that euen they whych obeye not the worde, maye without the worde be wonne by the conuersacyon of the wyues,
1Pet.3.2	whyll they beholde youre chast conuersacyon coupled wyth feare.
1Pet.3.3	Whose apparell shall not be outward wt broyded heare, Ꟶ hangyng on of golde, ether in puttynge on of gorgyous apparell:
1Pet.3.4	but let the hyd man which is in the herte, be without all corrupcyon, so that the sprete be at rest and quyete: whych sprete is before God a thynge moch set by.
1Pet.3.5	For after this maner in the olde tyme dyd the holy wemen which trusted in God, tyer them selues, and were obedient to their husbandes,
1Pet.3.6	euen as Sara obeyed Abraham, and called hym Lorde: whose daughters ye are, as longe as ye do well, Ꟶ are not afrayde for anye terrour.
1Pet.3.7	Lykewyse, ye men, dwell with them accordynge to knowledge: geuyng honoure vnto the wife, as vnto the weaker vessell, Ꟶ as vnto them that are heyres also of the grace of lyfe that youre prayers be not hyndred.
1Pet.3.8	In conclusyon, be ye all of one mynde, of one hart Ꟶ loue as brethren, be petifull, be courteous
1Pet.3.9	not rendrynge euyll for euyll, or rebuke for rebuke: but contrarywise, blesse: knowinge that ye are ther vnto called, euen that ye shulde be heyres of the blessynge.
1Pet.3.10	For he that doth longe after lyfe, and loueth to se good dayes, let hym refrayne his tonge from euyll, Ꟶ his lippes that they speake not gyle.
1Pet.3.11	Let him eschue euyll, Ꟶ do good: let him seke peace, and ensue it.
