1Sam.0.0	¶ The fyrst booke of Samuel called the fyrst booke of the Kynges.
1Sam.1.1	There was a man of one of the two Ramaths (of the kinred of zophim, of mount Ephraim) named Elkana the sonne of Ieroham the sonne of Elihu, the sonne of Thohu, the sonne of zuph, an Ephrathite:
1Sam.1.2	whych had two wyues, the one called Hanna, Ꟶ the other Phenenna. And Phenenna had children, but Hanna had none.
1Sam.1.3	And the sayd man went vp out of his citye euery feastfull daye, to praye Ꟶ to offer vnto the Lord of hostes in Silo, where were the two sonnes of Eli (Hophni Ꟶ Phinehes) the lordes prestes.
1Sam.1.4	And it fell on a solempne daye, that Elkana offered, and gaue to Phenenna his wife Ꟶ to all her sonnes and daughters porcyons.
1Sam.1.5	But vnto Hanna he gaue a porcion wt a heuye chere, for he loued Hanna, and the Lord had made her barren.
1Sam.1.6	And her enemye (Phenenna) vexed her sore contynually, to moue her, because the lord had made her barren.
1Sam.1.7	And so did she yere by yere as ofte as she went vp to the house of the lord. And so chafed her, which wepte, and did not eate.
1Sam.1.8	Then sayde Elkana her husband to her: Hanna, why wepest thou? and why eatest thou not? and why is thyne herte troubled? am not I better to the, then ten sonnes?
1Sam.1.9	So Hanna rose vp after that they had eaten Ꟶ droncke in Sylo. And Eli the Preaste sate vpon a stole by one of the syde postes of the temple of the Lorde.
1Sam.1.10	And she was troubled in her mynde, and prayed vnto the Lord, Ꟶ wepte sore,
1Sam.1.11	and vowed a vowe, and sayd: O Lord of hostes, yf thou wylt loke on the trouble of thine handmayde, Ꟶ remembre me, and not forget thine handmayde, but geue vnto thine handmayde a man chylde: I wyll geue him vnto the Lord all the dayes of his lyfe, Ꟶ there shall no raser come vpon his heed.
1Sam.1.12	And as she continued praying before the lord, it fortuned, that Eli marked her mouth.
1Sam.1.13	For Hanna spake in her herte, Ꟶ her lyppes did but moue onely, but her voyce was not heard: Ꟶ therfore Eli thought she had bene droncken,
1Sam.1.14	and Eli sayd vnto her: How long wylt thou be droncken? put awaye from the, the wyne that thou hast.
1Sam.1.15	Hanna answered and sayde: not so my Lord, I am a woman of a sorowfull herte: I haue droncke nether wyne nor stronge drynck, but haue powred out my soule before the Lord.
1Sam.1.16	Count not thyne handmayde to be lyke a daughter of Belial, for out of the aboundance of my heuynes Ꟶ greafe: haue I spoken hitherto.
1Sam.1.17	Eli answered her agayne: Ꟶ sayde go in peace: the God of Israell graunt the thy peticyon, that thou hast asked of hym.
1Sam.1.18	She sayde: let thyne hand mayde fynde grace in thy sight And so the woman went her waye, Ꟶ dyd eat, Ꟶ loked no more so sadde.
1Sam.1.19	And they rose vp earlye, Ꟶ worshipped before the lord, Ꟶ then returned, Ꟶ came to theyr house to Ramath. And whan Elkana knew Hanna his wyfe, the Lord remembred her:
1Sam.1.20	for in processe of tyme it came to passe, that she conceaued, Ꟶ bare a sonne, Ꟶ called his name Samuel (sayeng:) because I haue asked him of the Lord.
1Sam.1.21	And Elkana Ꟶ all his house went vp to offer vnto the Lord, the offerynge due for the feast, Ꟶ also his vowe:
1Sam.1.22	Neuertheles, Hanna went not vp, but sayde vnto her husbande: I wyll tarye vntill the ladde be wened, Ꟶ then I wyll bring him that he maye apeare before the Lord, Ꟶ there abide for euer.
