1Tim.0.0	¶ The Epistle of Saynct Paul vnto Timothe.
1Tim.1.1	Paul an Apostle of Iesus Christ, by the commyssyon of God our sauyour, Ꟶ Lord Iesus Christ, which is our hope.
1Tim.1.2	Unto Timothe hys naturall sonne in the fayth. Grace mercy and peace from God oure father, Ꟶ from the Lord Iesus Christ our Lorde.
1Tim.1.3	As I besought the to abyde styll at Ephesus (when I departed into Macedonia) euen so do, that thou commaunde some, that they folowe no straunge doctrine,
1Tim.1.4	nether geue hede to fables Ꟶ endles genealogyes whych brede doubtes more then Godlye edifyinge, which is by fayth
1Tim.1.5	for the ende of the commaundement is, loue out of a pure herte, and of a good conscience, and of fayth vnfayned: from the whych thynges,
1Tim.1.6	because some haue erred, they are turned vnto vayne iangelynge,
1Tim.1.7	because they wolde be doctours of the lawe, and yet vnderstande not what they speake, nether wherof they affyrme.
1Tim.1.8	We knowe, that the lawe is good, yf a man vse it lawfully:
1Tim.1.9	knowynge thys, howe that the lawe is not geuen vnto a ryghteous man, but vnto the vnryghteous and disobedyent, to the vngodly and to synners, to vnholy and vncleane: to murtherers of fathers and murtherers of mothers, to manstears,
1Tim.1.10	to whormongers: to them that defyle them selues whyth mankynde: to manstealers: to lyars, to periured, and yf ther be eny other thynge that is contrary to the holsome doctryne,
1Tim.1.11	accordynge to the Gospell of the glory of the blessed God, whych Gospell is commytted vnto me.
1Tim.1.12	And I thanke Chryst Iesus oure Lorde, whych hath made me stronge: for he counted me true, and put me in offyce
1Tim.1.13	where as before I was a blasphemer, and a persecuter, Ꟶ a Tyraunt. But yet I obtayned mercy, because I dyd it ignorauntly thorowe vnbelefe.
1Tim.1.14	Neuerthelesse, the grace of oure Lorde was exceadynge aboundaunt with fayth and loue, whych is by Christ Iesu.
1Tim.1.15	This is a true sayinge (and by all meanes worthy to be receaued of vs) that Chryst Iesus came into the worlde, to saue synners, of whom I am chefe.
1Tim.1.16	Not wythstandynge for this cause optayned I mercy, that Iesus Christ shulde fyrst shewe on me all longe pacience, to declare an ensample vnto them which shulde beleue on him vnto eternall lyfe.
1Tim.1.17	So then vnto God, kynge euerlastynge, immortall inuisyble, wyse onely, be honoure and prayse for euer and euer. Amen.
1Tim.1.18	Thys commaundement commyt I vnto the sonne Timotheus accordynge to the prophesyes, whych in tyme past were prophesyed of the, that thou in them shuldest fyght a good fyght,
1Tim.1.19	hauynge fayth and good conscyence: whych some haue put awaye from them, and as concernynge fayth haue made shypwracke.
1Tim.1.20	Of whose nombre is Hymeneus and Alexander whom I haue delyuered vnto Satan, that they maye lerne not to blaspheme.
1Tim.2.1	I Exhorte therfore, that aboue all thynges, prayers, supplicacyons, intercessions, and geuynge of thankes be had for all men:
1Tim.2.2	for kynges, and for all that are in auctorite, that we maye lyue a quyet and a peaceable lyfe, wyth all Godlynes and honestye.
1Tim.2.3	For that is good and accepted in the syght of God oure sauyoure,
1Tim.2.4	whych wyll haue all men to be saued, and to come vnto the knowledge of the trueth.
1Tim.2.5	For ther is one God, and one mediator betwene God and man, euen the man Christ Iesus,
1Tim.2.6	whych gaue him selfe a raunsome for all men, that it shulde be testifyed at hys tyme,
1Tim.2.7	where vnto I am ordayned a preacher and an Apostle. I tell the trueth in Christ and lye not: beynge the teacher of the gentyls wyth fayth and veritye.
1Tim.2.8	I wyll therfore that the men praye euery where, lyftynge vp pure handes without wrath, or doubtinge.
1Tim.2.9	Lykewise also the wemen, that they araye them selues in comlye apparell wyth shamfastnes and discrete behaueour, not wt broyded heare, ether golde or pearles, or costly araye:
1Tim.2.10	but as becommeth wemen, that professe godlynesse thorowe good worckes.
1Tim.2.11	Let the woman learne in sylence wyth all subieccyon.
1Tim.2.12	But I suffre not a woman to teach, nether to vsurpe auctoryte ouer the man: but to be in sylence.
1Tim.2.13	For Adam was fyrst fourmed, Ꟶ then Eue.
1Tim.2.14	Adam also was not deceaued, but the woman was deceaued, and was subdued to the transgressyon.
1Tim.2.15	Notwythstandynge thorowe bearynge of chyldren she shalbe saued, yf they contynue in fayth and loue, and holynes, wyth discrecyon.
1Tim.3.1	This is a true sayinge: If a man desyer the offyce of a Bysshoppe, he desyreth an honest worke.
1Tim.3.2	A Bisshoppe therfore must be blameles, the husbande of one wyfe, dilygent, sober, discrete, a keper of hospitalite: apte to teach:
1Tim.3.3	not geuen to ouer moch wyne, no fyghter, not gredy of fylthye lucre. but gentle, abhorryng fyghtynge, abhorrynge coueteousnes,
1Tim.3.4	one that ruleth well his awne house, one that hath chyldren in subieccyon with all reuerence.
1Tim.3.5	For yf a man cannot rule his awne house, howe shall he care for the congregacyon of God?
1Tim.3.6	He maye not be a yonge scoler, lest he swell and fall into the iudgement of the euyll speaker.
1Tim.3.7	He must also haue a good reporte of them whych are without, lest he fall into rebuke, and snare of the euyll speaker.
1Tim.3.8	Lyke wyse must the mynisters be honest, not double tonged, not geuen vnto moch wyne, nether gredy of fylthy lucre:
1Tim.3.9	but holdynge the mystery of the fayth with a pure conscience.
1Tim.3.10	And let them fyrst be proued, and then let them mynister so, that no man be able to reproue them.
1Tim.3.11	Euen so must theyr wyues be honest, not euyll speakers: but sober and faythfull in all thynges.
1Tim.3.12	Let the Deacons be the husbandes of one wyfe, and such as rule theyr chyldren well, and their awne housholdes.
1Tim.3.13	For they that mynister well, get them selues a good degre and greate lybertye in the fayth, whych is in Christ Iesu.
1Tim.3.14	These thynges write I vnto the trustinge to come shortely vnto the:
1Tim.3.15	but and yf I tarie longe, that then thou mayst yet haue knowledge, howe thou oughtest to behaue thy selfe in the house of God, whych is the congregacyon of the lyuynge God, the pyllar Ꟶ grounde of trueth.
1Tim.3.16	And without doute great is that mystery of godlynes: God was shewed in the flesshe, was iustifyed in the sprete, was sene amonge the Angels, was preached vnto the gentyls, was beleued on in the worlde, and receaued vp in glory.
1Tim.4.1	The sprete speaketh euydently, that in the later tymes some shall departe from the fayth, and shall geue hede vnto spretes of erroure, and deuelysshe doctrines of them
1Tim.4.2	which speake false thorowe ypocrysye, Ꟶ haue their consciences marcked wt an hote yron,
1Tim.4.3	forbyddynge to mary, Ꟶ commaundynge to abstayne from meates which God hath created to be receaued with geuynge thanckes, of them whych beleue, Ꟶ knowe the trueth.
1Tim.4.4	For all the creatures of God are good, Ꟶ nothynge to be refused, yf it be receaued with thankesgeuynge.
1Tim.4.5	For it is sanctified by the worde of God Ꟶ prayer.
1Tim.4.6	If thou put the brethren in remembraunce of these thynges thou shalt be a good mynyster of Iesu Chryst whych hast bene norisshed vp in the wordes of the fayth Ꟶ of good doctrine, whych thou hast continually followed.
1Tim.4.7	But cast awaye vngostly and olde wyues fables. Exercyse thy selfe rather vnto godlynes.
1Tim.4.8	For bodely exercyse profyteth lytell: but godlynes is profytable vnto all thynges, as a thinge which hath promyses of the lyfe that is nowe, Ꟶ of the lyfe to come.
1Tim.4.9	This is a sure sayinge, Ꟶ by all meanes worthy to be alowed.
1Tim.4.10	For therfore we bothe laboure Ꟶ suffre rebuke, because we haue a stead fast hope in the lyuinge God, which is the saueoure of all men, specially of those that beleue.
1Tim.4.11	Soch thynges commaunde Ꟶ teache.
1Tim.4.12	Let no man despyse thy youth but be vnto them that beleue, an ensample, in worde, in conuersacyon, in loue, in sprete, in fayth, in purenes.
1Tim.4.13	Tyll I come, geue attendaunce to readynge, to exhortacyon, to doctrine.
1Tim.4.14	Despyse not the gyfte that is in the, whych was geuen the thorowe prophesye, with the layinge on of handes by the auctoryte of presthode.
1Tim.4.15	These thinges exercyse, and geue thy selfe vnto them, that it maye be sene, howe thou profetest in all thynges.
1Tim.4.16	Take hede vnto thy selfe, and vnto learnynge, and continue therin. For yf thou shalt so do, thou shalt saue thy selfe, Ꟶ them that heare the.
