2Chr.0.0	¶ The seco{n}de boke of the Chronycles which in the Hebrue is one with the fyrst.
2Chr.1.1	And Salomon the sonne of Dauid waxed stronge in hys kingdome Ꟶ the Lorde his God was with him, Ꟶ magnifyed him in the dignitye.
2Chr.1.2	And Salomon spake vnto all Israel, to the captaynes ouer thousandes, to the captaynes ouer hundredes, to the iudges and to euery offycer in all Israel, and to the awncient fathers.
2Chr.1.3	And so Salomon Ꟶ all the congregacyon with him went to the hye place that was at Gibeon: for there was the tabernacle of the witnesse of God, which Moses the seruaunte of the Lorde made in the wildernesse.
2Chr.1.4	But the Arcke of God had Dauid brought from Kiriath Iearim, into the place which Dauid had prepared therfore. For he had pytched a tente for it at Ierusalem.
2Chr.1.5	Moreouer, the brasen aulter that Bezaleel the sonne of Uri, the sonne of Hur had made, was there, before the tabernacle of the Lorde. And Salomon and the congregacyon went to vyset it.
2Chr.1.6	And Salomon gat vp there before the Lorde to the brasen aulter that was before the tabernacle of wytnesse, Ꟶ offred a thousande burntsacrifyces vpon it.
2Chr.1.7	And that same nyght dyd God appeare vnto Salomon, and sayde vnto hym: aske, what I shall geue the.
2Chr.1.8	And Salomon sayde vnto God: thou hast shewed great mercye vnto Dauid my father, and hast made me to raygne in his steade.
2Chr.1.9	Nowe therfore O Lorde God, let thy promyse which thou madest vnto Dauid my father, be true. For thou hast made me kynge ouer a people: which is lyke the dust of the earth in multitude.
2Chr.1.10	Wherfore, geue me nowe wysdome Ꟶ knowledge, that I maye be able to go out and in before this people: for who els can iudge this people that is so great?
2Chr.1.11	And God sayde to Salomon, because this was in thyne hert, and because thou hast not asked treasure, and rychesse, Ꟶ honoure, and the lyues of thyne enemyes, nether yet longe lyfe: but hast asked wysdome and knowledge for thy selfe, to iudge my people, ouer which I haue made the kyng
2Chr.1.12	wysdome and knowledge is graunted vnto the, and I will geue the treasure, and rychesse, and glorye: so that amonge the kynges that haue bene before the or after the, none was or shalbe lyke the.
2Chr.1.13	And so Salomon cam from the hylaulter (that was at Gibeon) to Ierusalem, from the tabernacle of witnesse, and raygned ouer Israel.
2Chr.1.14	And Salomon geathered charettes and horsemen: and he had a thousande, and foure hundred charettes, and .xij. thousande horsemen, whom he bestowed in the charet cyties, and with the kynge at Ierusalem.
2Chr.1.15	And the kynge made syluer and golde at Ierusalem, as plenteous as stones: and Cedar trees made he as plentie as the mulbery trees that growe in the valeyes
2Chr.1.16	And the horses which Salomon had, were brought him out of Egypt by the kynges marchauntes that were together, which beynge of one company, toke them out at a pryce.
2Chr.1.17	They came also and brought out of Egypte a charet for fyxe hundred peces of syluer: euen an horse for an hundred Ꟶ fyftie. And so brought they horses for all the kynges of the Hethites, Ꟶ for the kynges of Siria by their awne hande.
2Chr.2.1	And Salomon determined to buylde an house for the name of the Lorde, and an house for his kyngdome
