2Cor.0.0	¶ The seconde epistle of Saynct Paul the Apostle to the Corinthyans.
2Cor.1.1	Paul an apostle of Iesu christ by the wyll of God, and brother Timotheus. Unto the congregacyon of God, which is at Corinthum, with all the saynctes whych are in all Achaia
2Cor.1.2	Grace be wyth you Ꟶ peace from God oure father, and from the Lorde Iesus Christ.
2Cor.1.3	Blessed be God (the father of oure Lorde Iesus Christ) which is the father of mercy, Ꟶ the God of all comforte,
2Cor.1.4	whych comforteth vs in all oure tribulacyon, in so moche that we are hable to comforte them whych are in any maner of trouble, with the same comforte, wherwith we oure selues are comforted of God.
2Cor.1.5	For as the affliccyons of Christ are plenteous in vs, euen so is oure consolacyon plenteous by Christ.
2Cor.1.6	Whether we be troubled for youre consolacyon and health, which saluacyon sheweth her power in that ye soffre the same affliccyons, which we also suffre: or whether we be comforted for youre consolacyon and saluacyon:
2Cor.1.7	our hope also is stedfast for you: in as moche as we know, how that as ye are partetakers of the affliccyons, so shall ye be partakers also of the consolacyon.
2Cor.1.8	Brethren, I wolde not haue you ignoraunt of oure trouble, which happened vnto vs in Asia. For we were greued out of measure passing strength, so greatly that we despayred euen of lyfe.
2Cor.1.9	Also we receaued an answer of deeth in oure selues, that we shuld not put oure trust in our selues: but in God, whych rayseth the deed to lyfe,
2Cor.1.10	and whych delyuered vs from so great a deeth: and doth delyuer. On whom we trust, that yet hereafter he wyll delyuer,
2Cor.1.11	by the helpe of youre prayer for vs, that by the meanes of many persones, thankes maye be geuen of many on oure behalfe, for the gyfte geuen vnto vs.
2Cor.1.12	For oure reioysinge is this, euen the testimony of oure conscience, that in synglenes and godly purenes, Ꟶ not in fleshly wysdom, but by the grace of God, we haue had oure conuersacyon in the world, and most of all to you wardes.
2Cor.1.13	We wryte none other thynges vnto you, then that ye reade Ꟶ also knowe. Yee, and I trust ye shall fynde vs vnto the ende, euen as ye haue founde vs partly:
2Cor.1.14	for we are youre reioysinge, euen as ye are oures in the daye of the Lord Iesus.
2Cor.1.15	And in this confidence was I mynded fyrst to haue come vnto you, that I myght haue had one pleasure more with you,
2Cor.1.16	and to passe by you into Macedonia, Ꟶ to haue come agayne out of Macedonia vnto you, and to be led forth of you towarde Iewrye.
2Cor.1.17	Whan I thus wyse was mynded: dyd I vse lyghtnes? Or thynke I carnally those thynges which I thinke? that with me shuld be yee, yee, and naye naye.
2Cor.1.18	God is faythfull: For oure preachyng to you, was not yee Ꟶ naye.
2Cor.1.19	For Goddes sonne Iesus Christ which was preached amonge you by vs (euen by me and Siluanus and Timotheus) was not yee Ꟶ naye: but by hym it was yee:
2Cor.1.20	For all the promises of God, by him are yee: and are in him Amen, vnto the lawde of God thorow vs.
2Cor.1.21	For it is God, which stablyssheth vs with you in Christ and stondeth by vs, and hath annoynted vs,
2Cor.1.22	whych hath also sealed vs, and hath geuen the ernest of the sprete in oure hertes.
2Cor.1.23	I call God for a recorde vnto my soule that for to fauer you with all I came not eny more vnto Corynthum.
2Cor.1.24	Not that we be Lordes ouer your fayth: but are helpers of youre ioye. For by fayth ye stande.
2Cor.2.1	But I determined this in my selfe, that I wold not come agayne to you in heuynes.
2Cor.2.2	For yf I make you sorye, who is it that shuld make me glad, but the same which is made sory by me?
2Cor.2.3	And I wrote thys same vnto you, lest yf I came vnto you, I shuld take heuynes of them, of whom I ought to reioyce. Thys confidence haue I towarde you all, that my ioye is the ioye of you all.
2Cor.2.4	For out of great affliccyon and anguysshe of hert. I wrote vnto you with many teares: not that ye shulde be made sory, but that ye myght perceaue the loue, whych I haue, most specially vnto you.
2Cor.2.5	If eny man hath caused sorow, the same hath not made me sory, but partely: lest I shulde greue you all.
2Cor.2.6	It is sufficient vnto the same man, that he was rebuked of many.
2Cor.2.7	So that now contrary wyse, ye ought rather to forgeue him, and comforte him: lest that same persone shuld be swalowed vp wt ouer moch heuynes.
2Cor.2.8	Wherfore, I exhorte you, that loue maye haue strength ouer him.
2Cor.2.9	For this cause verely dyd I wryte, that I myght knowe the profe of you, whether ye shulde be obedient in all thynges.
2Cor.2.10	To whom ye forgeue eny thynge, I forgeue also. For yf I forgaue eny thynge, to whom I forgaue it, for youre sakes forgaue I it, in the syght of Christ,
2Cor.2.11	lest Satan shuld preuent vs. For his thoughtes are not vnknowen vnto vs.
2Cor.2.12	When I was come to Troada for Christes Gospelles sake (and a dore was opened vnto me of the Lord)
2Cor.2.13	I had no rest in my sprete, because I founde not Titus my brother: but toke my leaue of them, and went awaye into Macedonia.
2Cor.2.14	Thankes be vnto God, which alwayes geueth vs the victorie in Christ, and openeth the sauer of his knowledge by vs in euery place.
2Cor.2.15	For we are vnto God the swete sauoure of Christ, amonge them that are saued, and amonge them which perysshe.
2Cor.2.16	To the one parte are we the sauour of deeth vnto deeth. And vnto the other part are we the sauour of lyfe vnto lyfe. And who is mete vnto these thinges?
2Cor.2.17	For we are not as the most part are, which choppe and chaunge with the worde of God: but euen out of purenes, and by the power of God, in the syght of God, so speake we in Christ.
2Cor.3.1	We begyn to prayse oure selues agayne, Nede we as some other, of Epistles of recommendacyon vnto you or letters of recommendacion from you?
2Cor.3.2	Ye are oure epistle wrytten in oure hertes, which is vnderstande and red of all men,
2Cor.3.3	for asmoch as ye declare that ye are the epistle of Christ, mynistred by vs and wrytten, not with ynke: but with the sprete of the lyuynge God not in tables of stone, but in flesshy tables of the hert.
2Cor.3.4	Suche trust haue we thorow Christ to God ward,
2Cor.3.5	not that we are sufficient of oure selues to thynke eny thyng, as of our selues: but yf we be able vnto any thinge the same commeth of God,
2Cor.3.6	which hath made vs able to mynister the newe testament, not of the letter, but of the sprete. For the letter kylleth, but the sprete geueth lyfe.
2Cor.3.7	If the ministracyon of deeth thorow the letters fygured in stones, was glorious, so that the chyldren of Israel coulde not beholde the face of Moses, for the glory of his countenaunce (whych glory is done awaye)
2Cor.3.8	why shall not the ministracyon of the sprete be moch more gloryous?
2Cor.3.9	For yf the ministringe of condemnacyon be glorious: moch more doth the ministracyon of ryghtewesnes exceade in glory.
2Cor.3.10	For no dout that whych was there glorifyed, is not once glorifyed in respecte of this exceadynge glory.
2Cor.3.11	For yf that which is destroyed was glorious, moch more that which remayneth, is glorious.
2Cor.3.12	Seyng then that we haue soch trust, we vse great boldnes,
2Cor.3.13	Ꟶ do not as Moses, which put a vayle ouer his face, that the chyldren of Israel shuld not se for what purpose that serued which is put awaye.
2Cor.3.14	But their myndes were blinded. For vntyll this daye remayneth the same coueringe vntaken awaye in the lecture of the olde testament, whych vayle shalbe put awaye in Christ.
2Cor.3.15	But euen vnto this daye when Moses is redde the vayle hangeth before their hertes.
2Cor.3.16	Neuerthelesse when they tourne to the Lord, the vayle shalbe taken awaye.
2Cor.3.17	The Lorde no dout is a sprete. And where the sprete of the Lord is, there is libertie.
2Cor.3.18	But we all beholde in a myrroure the glorye of the Lorde with his face open, and are chaunged vnto the same similitude, from glory to glory, euen as of the sprete of the Lorde.
2Cor.4.1	Therfore, seyng that we haue soch an offyce, euen as God hath had mercy on vs, we go not out of kynde:
2Cor.4.2	but haue cast from vs the clokes of vnhonestye, and walke not in craftynes, nether handle we the worde of God disceatfully, but open the trueth, Ꟶ reporte oure selues to euery mannes conscience in the syght of God
2Cor.4.3	If oure Gospell be yet hyd, it is hyd amonge them that are lost,
2Cor.4.4	in whom the God of this world hath blynded the myndes of them which beleue not, lest the lyght of the gospell of the glory of Christ (whych is the ymage of God) shulde shyne vnto them.
2Cor.4.5	For we preache not our selues, but Christ Iesus to be the Lorde, and oure selues youre seruauntes, for Iesus sake.
2Cor.4.6	For it is God, that commaunded the lyght to shyne out of darcknes, which hath shyned in oure hertes, for to geue the lyght of the knowledge of the glory of God, in the face of Iesus Christ.
2Cor.4.7	But we haue this treasure in erthen vessels, that the excellency of the power myght be Gods, and not oures.
2Cor.4.8	We are troubled on euery syde, yet are we not without shyft. We are in pouertie: but not vtterly without somwhat.
2Cor.4.9	We suffre persecucion: but are not forsaken therin. We are cast downe: neuerthelesse we perysshe not.
2Cor.4.10	We all wayes beare aboute in the bodye, the dyinge of the Lorde Iesus, that the lyfe of Iesu myght also appeare in oure bodye.
2Cor.4.11	For we which lyue, are alwayes delyuered vnto deeth for Iesus sake, that the lyfe also of Iesu myght appere in oure mortall flesshe
2Cor.4.12	So then, deeth worketh in vs, but lyfe in you.
2Cor.4.13	But seynge that we haue the same sprete of fayth (accordynge as it is wrytten: I beleued, and therfore haue I spoken.) We also beleue, and therfore speake
2Cor.4.14	For we knowe, that he which raysed vp the Lorde Iesus, shall rayse vp vs also by the meanes of Iesus, Ꟶ shall sett vs with you.
2Cor.4.15	For all thynges do I for youre sakes that the plenteous grace by thanckes geuen of many, maye redounde to the prayse of God.
2Cor.4.16	Wherfore, we are not weried, But though oure vtwarde man peryshe, yet the inwarde man is renewed daye by daye.
2Cor.4.17	For oure tribulacyon which is momentany and lyght. prepareth an excedinge Ꟶ an eternall wayght of glorye vnto vs,
2Cor.4.18	while we loke not on the thynges which are sene, but on the thynges whych are not sene. For the thynges whych are sene, are temporall: but thynges whych are not sene, are eternall.
2Cor.5.1	For we knowe that yf oure erthy mancion of this dwellyng were destroyed, we haue a byldinge of God, an habitacyon not made with handes, but eternall in heauen.
2Cor.5.2	For therfore syghe we, desyring to be clothed with oure mansion which is from heauen:
2Cor.5.3	so yet, yf that we be founde clothed, Ꟶ not naked.
2Cor.5.4	For we that are in this tabernacle, syghe Ꟶ are greued because we wold not be vnclothed, but wolde be clothed vpon, that mortalite myght be swalowed vp of lyfe.
2Cor.5.5	He that hath ordeyned vs for this thynge, is God: which very same hath geuen vnto vs the ernest of the sprete.
2Cor.5.6	Therfore, we are alwaye of good cheare, and knowe, that as longe as we are at home in the body, we are absent from God.
2Cor.5.7	For we walke in fayth, not after outward appearaunce.
2Cor.5.8	Neuerthelesse, we are of good comforte, and had leuer to be absent from the body, and to be present with God.
2Cor.5.9	Wherfore, whether we be at home or from home, we endeuoure oure selues, to please him.
2Cor.5.10	For we must all appeare before the iudgement seate of Christ, that euery man maye receaue the workes of hys body accordynge to that he hath done, whether it be good or bad.
2Cor.5.11	Seynge then that we knowe, how the Lorde is to be feared, we fare fayre wyth men. For we are knowen well ynough vnto God. I trust also that we are knowen in youre consciences.
2Cor.5.12	For we prayse not oure selues agayne vnto you, but geue you an occasyon to reioyce of vs, that ye maye haue some what against them, whych reioyce in the face, and not in the herte.
2Cor.5.13	For yf we be to feruent, to God are we to feruent. Or If we kepe measure, for youre cause kepe we measure.
2Cor.5.14	For the loue of Christ constrayneth vs, because we thus iudge, that yf one dyed for all, then were all deed,
2Cor.5.15	and he dyed for all: that they whych lyue, shuld not hence forth lyue vnto them selues, but vnto him whych dyed for them, Ꟶ rose agayne.
2Cor.5.16	Wherfore, hence forth knowe we no man after the flesshe. In so moch though we haue knowen Christ after the flesshe, now yet hence forth knowe we him so nomoare.
2Cor.5.17	Therfore yf eny man be in Christ, he is a newe creature Olde thynges are passed awaye, beholde, all thinges are become new.
2Cor.5.18	Neuerthelesse, all thynges are of God, whych hath reconcyled vs vnto him selfe by Iesus Christ, and hath geuen to vs the offyce to preache the attonement.
2Cor.5.19	For God was in Christ, and made agrement betwene the worlde and him selfe, Ꟶ imputed not their synnes vnto them, and hath commytted to vs the preachynge of the attonement.
2Cor.5.20	Now then are we messengers in the rowme of Christ euen as though God dyd beseche you thorow vs. So praye we you in Christes stede, that ye be reconcyled vnto God:
2Cor.5.21	for he made him to be synne for vs, which knewe no synne, that we by his meanes shulde be that ryghtewesnes, which before God is alowed.
2Cor.6.1	We also as helpers exhorte you that ye receaue not the grace of God in vayne.
