2Pet.0.0	¶ The seco{n}de Epistle of Saynct Peter.
2Pet.1.1	Simon Peter a seruaunt, and an Apostle of Iesus Christ, to them whych haue obtayned lyke precyous fayth wt vs thorow the ryghtewesnes of oure God and sauioure Iesus Christ.
2Pet.1.2	Grace be vnto you, and peace be multiplyed thorow the knowledge of God and of Iesus oure Lorde.
2Pet.1.3	Accordynge as his godly power hath geuen vnto vs all thinges that pertayne vnto lyfe and godlynes, thorow the knowledge of him that hath called vs by glory, and vertue,
2Pet.1.4	by the whych are geuen vnto vs excellent and moste greate promyses, that by the meanes therof ye myght be partakers of the godly nature, yf ye flye the corrupcyon of worldly lust.
2Pet.1.5	And herunto geue all diligence: in youre fayth mynyster vertue: in vertue knowledge:
2Pet.1.6	in knowledge temperaunce, in temperaunce pacience: in pacience godlynes,
2Pet.1.7	in godlynes brotherly kyndnes, in brotherly kyndnes loue.
2Pet.1.8	For yf these thynges be amonge you, and be plenteous, thy wyll make you that ye nether shalbe ydle nor vnfrutefull in the knowledge of oure Lorde Iesus Christ.
2Pet.1.9	But he that lacketh these thynges, is blynde and gropeth for the waye wyth his hande, and hath forgotten, that he was pourged from hys olde synnes.
2Pet.1.10	Wherfore brethren, geue the more diligence for to make your calling Ꟶ eleccyon sure For yf ye do soch thynges, ye shall neuer fall.
2Pet.1.11	Yee and by this meanes an entrynge in shal be mynistred vnto you aboundantly into the euerlastyng kyngdome of oure Lorde and sauioure Iesus Christ.
2Pet.1.12	Wherfore, I wyll not be neglygent to put you all wayes in remembraunce of soch thynges though ye knowe them youre selues, and and be stablished in the present trueth.
2Pet.1.13	Notwythstandynge I thynke it mete (as longe as I am in thys tabernacle) to strete you vp by puttyng you in remembraunce, for as moch,
2Pet.1.14	as I am sure, that shortly I must put of thys my tabernacle, euen as oure Lorde Iesus Christ shewed me.
2Pet.1.15	I wyll euer also geue my diligence, that ye maye haue wherwyth to stere vp the remembraunce of these thinges after my departyng.
2Pet.1.16	For we haue not folowed deceatfull fables, when we opened vnto you the power and commynge of oure Lorde Iesus Christ, but wyth our eyes we sawe his maiestie:
2Pet.1.17	euen then verely when he receaued of God the father honoure and glory, and when ther came soch a voyce to hym from the excellent glorye. Thys is my dere beloued sonne, in whom I haue delyte.
2Pet.1.18	This voyce we hearde come from heauen, whan we were wyth hym, in the holy mounte.
2Pet.1.19	We haue also a ryght sure worde of prophecye, wher vnto yf ye take hede, as vnto a lyght that shyneth in a darcke place, ye do well, vntyll the daye dawne, and the daye starre aryse in youre hertes.
2Pet.1.20	So that ye fyrst know thys: that no prophecye in the scripture hath eny pryuate interpretacyon:
2Pet.1.21	For the scripture came neuer by the wyll of man: but holy men of God spake, as they were moued by the holy goost.
2Pet.2.1	Ther were false prophetes also amonge the people, euen as ther shalbe false teachers amonge you: whych preuely shall brynge in damnable sectes (euen denyenge the Lorde that hath bought them) and brynge vpon them selues swyft damnacyon,
2Pet.2.2	and many shall folowe their damnable wayes, by whom the waye of trueth shal be euyll spoken of,
2Pet.2.3	and thorow coueteousnes shall they wyth fayned wordes make marchandyse of you, whose iudgement is now not farre of, and their damnacyon slepeth not.
2Pet.2.4	For yf God spared not the angels that synned, but cast them downe into hell, and delyuered them into chaynes of dercknes to be kept vnto iudgement:
2Pet.2.5	nether spared the olde worlde, but saued. Noe the eyght preacher of ryghtewesnes, and brought in the floud vpon the worlde of the vngodly,
2Pet.2.6	and turned the cyties of zodom and Gomor into asshes: ouerthre we them, damned them, and made on them an ensample vnto those that after shulde lyue vngodly.
2Pet.2.7	And iust Lot vexed wyth the vnclenly conuersacyon of the wycked, delyuered he.
2Pet.2.8	For he beynge ryghteous, and dwellynge among them in seynge and hearyng, vexed his ryghteous soule from daye to daye wyth their vnlaufull dedes.
2Pet.2.9	The Lorde knoweth how to delyuer the godly out of temptacyon, and to reserue the vniuste vnto the daye of iudgement for to be punysshed:
