2Sam.0.0	¶ The seconde Boke of Samuel otherwyse called the seconde boke of the kynges.
2Sam.1.1	After the deeth of Saul when Dauid was returned from the slaughter of the Amalekites, and had bene two dayes in zikleg:
2Sam.1.2	Beholde, there came a man the thyrde daye out of the hoste from Saul, with his clothes rent and erth vpon hys heed. And when he came to Dauid, he fell to the erth and dyd obeysaunce.
2Sam.1.3	Dauid sayde vnto him: whence comest thou? He sayde vnto him: Out of the hoste of Israel am I escaped.
2Sam.1.4	And Dauid sayde vnto him. And what is chaunced? tell me. He sayde: the people is fled from the battell: and many of the people are ouerthrowen, and deed: and Saul Ꟶ Ionathas his sonne are deed also.
2Sam.1.5	And Dauid sayde vnto the younge man that tolde him these thynges: How knowest thou that Saul and Ionathas hys sonne be deed?
2Sam.1.6	The younge man that tolde him, answered: I came by chaunce to mount Gilboa: And beholde, Saul leaned vpon his speare. For the charettes and companyes of horsemen folowed harde after him.
2Sam.1.7	And whan he loked backe he sawe me, and called me. And I answered: here am I.
2Sam.1.8	And he sayde vnto me: what art thou? I answered hym: I am an Amalekite.
2Sam.1.9	He sayde vnto me agayne: Stonde vpon me, and slee me: For anguysshe is come vpon me, though my lyfe be yet all in me.
2Sam.1.10	And so I stode vpon hym, and slue him: for I was sure that he coulde not lyue, after that he had fallen. And I toke the crowne that was vpon hys heed, and the Braselet that was on hys arme, and haue brought them hyther vnto my Lorde.
2Sam.1.11	Then Dauid toke holde on hys clothes, and rent them, and so dyd all the men that were wt him
2Sam.1.12	And they mourned, and wepte, and fasted vntyll euen, for Saul and Ionathas his sonne, Ꟶ for the people of the Lorde, and for the house of Israel, because they were ouerthrowen with the swerde.
2Sam.1.13	And Dauid sayde vnto the younge man that brought him these tydinges. Whence art thou? And he answered. I am the sonne of an alyaunt an Amalekite.
2Sam.1.14	And Dauid sayde vnto him: Howe is it that thou wast not afrayed, to laye thyne hande on the Lordes anoynted, to destroye hym?
2Sam.1.15	And Dauid called one of his younge men and sayde: Go to, and runne vpon him. And he smote hym: that he dyed:
2Sam.1.16	then sayde Dauid vnto him: thy bloude be vpon thyne awne heed. For thyne awne mouth hath testyfied agaynst the sayinge: I haue slayne the Lordes anoynted.
2Sam.1.17	And Dauid mourned with thys lamentacyon ouer Saul and ouer Ionathas hys sonne,
2Sam.1.18	and bad teache the chyldren of Israel the vse of the bowe. And Beholde, it is wrytten in the boke of the ryghtwes.
2Sam.1.19	O noble Israell, the wounded are slayne vpon thy hilles: Oh howe are the myghtie ouerthrowen.
2Sam.1.20	Tell yt not in Gath, nor publishe it in the streats of Ashalon: lest the daughters of the Philistines reioyse, and lest the daughters of the vncircumcysed triumphe.
2Sam.1.21	Ye mountaynes of Gilboa, vpon you be nether dewe nor rayne, not vpon these feldes of offerynges. For there the shilde of the myghtie is cast downe: the shylde of Saul, as though he had not bene anoynted with oyle.
2Sam.1.22	The bowe of Ionathas Ꟶ the swerde of Saul turned neuer backe agayne emptie, from the bloude of the slayne, Ꟶ from the fatte of the myghtye warryoures.
2Sam.1.23	Saul and Ionathas were louely Ꟶ pleasaunt in their lyues, and in their deathes they were not deuided: They were swifter then Egles, and stronger then Lyons.
2Sam.1.24	Ye daughters of Israel, wepe ouer Saul, which clothed you in purple with pleasures, and hanged ornamentes of golde vpon your apparell.
2Sam.1.25	Howe were the myghtye slayne in battell? Ionathas is deed on the hye hylles.
2Sam.1.26	Woo is me for the (my brother Ionathas) verye kynde hast thou bene vnto me. Thy loue to me was wonderfull, passynge the loue of wemen.
2Sam.1.27	O howe are the myghtie ouerthrowen, and the wepons of warre destroyed?
2Sam.2.1	After thys it fortuned, that Dauid asked councell at the Lorde, sayinge: shall I go vp into any of the cyties of Iuda? And the Lorde sayde vnto hym: go. And Dauid sayde agayne: Whither shall I go? He answered: Unto Hebron.
2Sam.2.2	And so Dauid went thither with his two wyues, Ahinoam the Iesrahelite, Ꟶ Abigail Nabals wyfe the Carmelite.
2Sam.2.3	And the men that were wyth him, dyd Dauid carye vp also, euery man with his housholde. And they dwelt in the townes of Hebron.
2Sam.2.4	And the men of Iuda came, and there they anoynted Dauid kynge, ouer the house of Iuda. And they tolde Dauid sayinge: It is the men of Iabes in Gilead that buryed Saul.
2Sam.2.5	And Dauid sent messengers vnto the men of Iabes in Gilead, and sayde vnto them: blessed are ye vnto the Lorde, that ye haue shewed soche kyndnesse vnto youre Lorde Saul, and haue buryed him.
2Sam.2.6	And nowe the Lorde shewe mercye Ꟶ truthe vnto you. And I wyll do you also soche kyndnesse as ye haue done in thys thynge.
2Sam.2.7	Therfore nowe let youre handes be stronge, and playe ye the men: For your master Saul is deed. And they that are of the house of Iuda, haue anoynted me kynge ouer them.
2Sam.2.8	But Abner the sonne of Ner that was captayne of Sauls host,
2Sam.2.9	toke Isboseth the sonne of Saul, and brought him to Mahanaim, and made hym kynge ouer Gilead, and ouer the Assurites, Ꟶ ouer Iesrahel, Ephraim, BenIamin, and ouer all Israel.
2Sam.2.10	And Isboseth Sauls sonne was fourtye yere olde, when he began to raygne ouer Israel, and raygned two yere. But the house of Iuda folowed Dauid.
2Sam.2.11	And the tyme which Dauid raygned in Hebron ouer the house of Iuda, was .vij. yere and syxe monethes.
2Sam.2.12	And Abner the sonne of Ner and the seruauntes of Isboseth the sonne of Saul went out of Mahanaim, to Gibeon.
2Sam.2.13	And Ioab the sonne of zaruia and the seruauntes of Dauid went out, and mette them by the Pole of Gibeon. And they satt downe the one, on the one syde of the Pole, and the other on the other syde.
2Sam.2.14	And Abner sayde to Ioab: let the younge men aryse, and playe before vs. And Ioab sayde: Let them aryse.
2Sam.2.15	Then there arose and went ouer. twelue of Ben Iamin by nombre, which pertayned to Isboseth the sonne of Saul, and twelue of the seruauntes of Dauid.
2Sam.2.16	And euery one caught hys felowe (that came agaynst hym) by the heed, and thrust hys swerde in hys syde, and so they felle downe together. Wherfore the place was called: The felde of the myghtye. And it is in Gibeon.
2Sam.2.17	And there beganne an exceadinge cruell battell that same daye. For Abner and the men of Israel fell before the seruauntes of Dauid.
2Sam.2.18	And there were thre sonnes of zaruiah there: Ioab, Abisai and Asahel. And Asahel was as lyght of fote as a wylde Roo,
2Sam.2.19	and Asahel folowed after Abner, and turned nether to the ryght hand nor to the lefte, from Abner.
2Sam.2.20	Then Abner loked behynde hym, and sayde: art thou Asahel? He answered: yee that I am.
2Sam.2.21	Abner sayde: turne the ether to the ryghthand or to the lefte and catche one of the younge men, and take the his weapons. But Asahel wolde not depart from hym.
