Acts.0.0	¶ The Actes of the Apostles.
Acts.1.1	In the former treatyse (Deare Theophylus) we haue spoken of all that Iesus beganne to do and teache,
Acts.1.2	vntyll the daye in which he was taken vp, after that he, thorow the holy goost, had geuen commaundementes vnto the Apostles, whom he had chosen:
Acts.1.3	to whom also he shewed hym selfe alyue after hys passion (and that by many tokens) appearynge vnto them fourtye dayes, and speakynge of the kyngdome of God,
Acts.1.4	and gathered them together, and commaunded them, that they shulde not departe from Ierusalem: but to wayte for the promys of the father wherof (sayeth he) ye haue hearde of me.
Acts.1.5	For Iohn truly baptysed with water, but ye shalbe baptysed with the holy goost after these feawe dayes.
Acts.1.6	When they therfore were come together, they asked of him, sayinge: Lorde, wilt thou at this tyme, restore agayne the kyngdome to Israel?
Acts.1.7	And he sayde vnto them: It is not for you to knowe the tymes, or the seasons, which the father hath put in his awne power:
Acts.1.8	but ye shal receaue power after that the holy goost is come vpon you. And ye shalbe witnesses vnto me not onely in Ierusalem, but also in all Iewry and in Samary, and euen vnto the worldes ende.
Acts.1.9	And when he had spoken these thynges, whyle they beheld, he was taken vp an hye, Ꟶ a cloude receaued him vp out of their sight.
Acts.1.10	And while they looked stedfastly vp towarde heauen, as he went, beholde, two men stode by them in whyte apparell,
Acts.1.11	which also sayd: ye men of Galile, why stande ye gasynge vp into heauen? This same Iesus which is taken vp from you into heauen, shall so come, euen as ye haue sene him go into heauen.
Acts.1.12	Then returned they vnto Ierusalem from the mount (that is called Olyuete) which is from Ierusalem, a Saboth dayes iorney.
Acts.1.13	And when they were come in, they went vp into a parler, where aboade both Peter and Iames, and Iohn and Andrew, Philip Ꟶ Thomas, Barthelemew and Mathew, Iames the sonne of Alpheus, and Simon zelotes, and Iudas the brother of Iames.
Acts.1.14	These all contynued with one accorde in prayer and supplicacyon with the wemen Ꟶ Mary the mother of Iesu, and with hys brethren.
Acts.1.15	And in those dayes Peter stode vp in the myddes of the discyples, and sayde (the nombre of names that were together, were aboute an hundred and twentye.)
Acts.1.16	Ye men Ꟶ brethren, thys scripture must haue nedes ben fulfylled, which the holy goost thorowe the mouth of Dauid spake before of Iudas, which was gyde to them that toke Iesus.
Acts.1.17	For he was noumbred with vs, and had obtayned felowshypp in thys mynystracyon.
Acts.1.18	And the same hath now possessed a plat of grounde with the rewarde of iniquite: and when he was hanged, he burst a sondre in the myddes, and all his bowels gusshed out.
Acts.1.19	And it is knowen vnto all the inhabiters of Ierusalem: in so moch that the same felde is called in their mother tonge, Acheldama, that is to saye, the bloude felde.
Acts.1.20	For it is wrytten in the boke of Psalmes: hys habitacyon be voyde, and no man be dwellynge therin: and his Bysshoprycke let another take.
Acts.1.21	Wherfore of these men which haue companyed with vs (all the tyme that the Lorde Iesus had all hys conuersacyon amonge vs,
Acts.1.22	begynnynge at the baptyme of Iohn, vnto that same daye that he was taken vp from vs) must one be ordeyned, to be a witnes with vs of hys resurreccyon.
Acts.1.23	And they apoynted two, Ioseph which is called Barsabas (whose syr name was Iustus) and Mathias,
Acts.1.24	And whan they prayed they sayde: thou Lorde, which knowest the hertes of all men, shewe whether of these two thou hast chosen:
Acts.1.25	that he maye take the roume of thys ministracyon and Apostleshypp, from which Iudas by transgressyon fell, that he myght go to hys awne place.
Acts.1.26	And they gaue forth their lottes, and the lot fel on Mathias, and he was counted with the eleuen Apostles.
Acts.2.1	When the fyftye dayes were come to an ende, they were all with one accorde together in one place.
Acts.2.2	And sodenly ther came a sounde from heauen, as it had bene the commynge of a myghty wynde, and it fylled all the house where they sate.
Acts.2.3	And there appered vnto them clouen tonges, lyke as they had bene of fyer, and it sate vpon eache one of them:
Acts.2.4	and they were all fylled with the holy goost, and beganne to speake with other tonges, euen as the same sprete gaue them vtteraunce.
Acts.2.5	Ther were dwellyng at Ierusalem, Iewes, deuoute men, out of euery nacyon of them that are vnder heauen.
Acts.2.6	When thys was noysed aboute, the multitude came together, Ꟶ were astonnyed, because that euery man hearde them speake with his awne langage.
Acts.2.7	They wondred all, and marueyled, sayinge among them selues: beholde, are not all these which speake, of Galile?
Acts.2.8	And how heare we euery man his awne tong, wherin we were borne?
Acts.2.9	Parthians, and Medes and Elamytes, and the inhabiters of Mesopotamia, and of Iury, and of Capadocia, of Ponthus and Asia,
Acts.2.10	Phrygia, and Pamphilia, of Egypte, and of the partyes of Lybia which is besyd? Syren, and straungers of Rome, Iewes Ꟶ Proselites.
Acts.2.11	Grekes and Arabians: we haue herd them speake in oure awne tonges the greate worckes of God.
Acts.2.12	They were all amased, and wondred sayinge one to another: what meaneth this?
Acts.2.13	Other mocked, sayinge: these men are full of new wyne.
Acts.2.14	But Peter stepped forth with the eleuen, and lyft vp his voyce, and sayde vnto them: Ye men of Iewrye, and all ye that dwell at Ierusalem: be this knowen vnto you, Ꟶ with youre eares heare my wordes.
Acts.2.15	For these are not droncken, as ye suppose, seynge it is but the thyrde houre of the daye.
Acts.2.16	But this it that which was spoken by the Prophete Iohel:
Acts.2.17	And it shalbe in the last dayes, sayth God: of my sprete I wyll poore out vpon all flesshe. And youre sonnes Ꟶ youre daughters shall prophesy, and youre yonge men shall se vysyons, and youre olde men shall dreame dreames.
Acts.2.18	And on my seruauntes, Ꟶ on my hande maydens I wyll poore out of my sprete in those dayes, and they shall prophesye.
Acts.2.19	And I wyll shewe wonders in heauen aboue, and tokens in the erth beneth, bloud and fyre and the vapour of smoke.
Acts.2.20	The sunne shalbe turned into darcknes, Ꟶ the moone into bloude, before that great and notable daye of the Lorde come.
Acts.2.21	And it shall come to passe, that whosoeuer shall call on the name of the Lorde, shalbe saued.
Acts.2.22	Ye men of Israel, heare these wordes: Iesus of Nazareth a man aproued of God amonge you with myracles, wonders and sygnes, which God dyd by hym in the myddes of you (as ye youre selues knowe)
Acts.2.23	hym haue ye taken by the handes of vnryghtewes persones, after he was delyuered by the determinat counsell Ꟶ foreknowledge of God, Ꟶ haue crucifyed and slayne him:
Acts.2.24	whom God hath raysed vp, Ꟶ loosed the sorowes of deeth, because it was vnpossible, that he shulde be holden of it.
Acts.2.25	For Dauid speaketh of him. A fore hande I sawe God alwayes before me: for he is on my ryght hande, that I shulde not be moued.
Acts.2.26	Therfore dyd my hert reioyce, Ꟶ my tonge was glad. Moreouer also my flesshe shall rest in hope,
Acts.2.27	because thou wilt not leaue my soule in hell, nether wilt thou suffre thine holye to se corrupcion.
Acts.2.28	Thou hast shewed me the wayes of lyfe, thou shalt make me full of ioye with thy countenaunce.
Acts.2.29	Ye men and brethren, let me frely speake vnto you of the patriarke Dauid: For he is both deed and buryed, and hys sepulchre remayneth with vs vnto this daye.
Acts.2.30	Therfore, seinge he was a Prophet, and knewe that God had sworne with an othe to him, that Christ (as concerninge the flessh) shulde come of the frute of his loynes, and on hys seat,
Acts.2.31	he knowyng this before, spake of the resurreccyon of Chryst, that his soule shulde not be left in hell: nether hys flesshe shulde se corrupcyon.
Acts.2.32	This Iesus hath God raysed vp, wherof we all are witnesses.
Acts.2.33	Sence now that he by the ryght hande of God exalted is, and hath receaued of the father the promyse of the holy Goost, he hath sheed forth thys which ye now se and heare.
Acts.2.34	For Dauid is not ascendyd into heuen: but he sayeth: The Lord sayde to my Lorde: syt thou on my ryght hand,
Acts.2.35	vntyll I make thy fooes thy fote stole.
Acts.2.36	So therfore, let all the house of Israel knowe for a suerty, that God hath made that same Iesus (whom ye haue crucified) Lorde and Chryst.
Acts.2.37	When they hearde this, they were pricked in their hertes, and sayd vnto Peter, Ꟶ vnto the other Apostles: Ye men Ꟶ brethren what shall we do?
Acts.2.38	Peter sayde vnto them: repent of youre synnes, and be baptysed euery one of you in the name of Iesus Chryst for the remission of synnes, and ye shall receaue the gyfte of the holy goost.
Acts.2.39	For the promyse was made vnto you and to youre chyldren, and to all that are a farre of, euen as many as the Lorde oure God shall call.
Acts.2.40	And with many other wordes bare he witnes, and exhorted them, sayinge: Saue youre selues from this vntowarde generacion.
Acts.2.41	Then they that gladly receaued his preachinge, were baptised: and the same daye, ther were added vnto them aboute thre thousande soules.
Acts.2.42	And they continued in the Apostles doctrine and felowshyp, Ꟶ in breakynge of bread, and in prayers.
Acts.2.43	And feare came ouer euery soule. And many wondres Ꟶ signes were shewed by the Apostles.
Acts.2.44	And all that beleued, kept them selues together, Ꟶ had all thynges commen,
Acts.2.45	and solde their possessions and goodes, and parted them to all men, as euery man had nede.
Acts.2.46	And they continued dayly with one accorde in the temple, Ꟶ brake bread from house to house, Ꟶ dyd eate their meate together, wt gladnes Ꟶ singlenes of hert,
Acts.2.47	praysinge God, and had fauour with all the people. And the Lorde added to the congregacion dayly, soch as shulde be saued.
Acts.3.1	Peter and Iohn went vp together into the temple at the nynth houre of prayer.
Acts.3.2	And a certayne man that was halt from hys mothers wombe, was brought, whom they layde daylie at the gate of the temple (which is called bewtyfull) to aske almes of them that entred into the temple.
Acts.3.3	When he sawe Peter and Iohn, that they wolde into the temple, he desyred to receaue an almes.
Acts.3.4	And Peter fastened his eyes on him with Iohn, Ꟶ sayd: loke on vs.
Acts.3.5	And he gaue hede vnto them, trustynge, to receaue some thynge of them.
Acts.3.6	Then sayde Peter: Syluer and golde haue I none such as I haue, geue I the. In the name of Iesus Chryst of Nazareth, ryse vp and walke.
Acts.3.7	And he toke hym by the ryght hand, and lyfte hym vp. And immediatly hys fete and anclebones receaued strength.
Acts.3.8	And he sprange, stode, and walked, and entred with them into the temple, walkynge, and leapynge, and praysynge God.
Acts.3.9	And all the people sawe hym walke and prayse God.
Acts.3.10	And they knewe hym, that it was he, which sate and begged at the beutyfull gate of the temple. And they wondred and were sore astonyed at that which had happened vnto hym.
Acts.3.11	And as the halt which was healed, helde Peter and Iohn, all the people ranne amased vnto them in the porche that is called Salomons.
Acts.3.12	When Peter sawe that, he answered vnto the people. Ye men of Isral, why maruayle ye at this, or why loke ye so on vs, as though by oure awne power or strength we had made thys man go?
Acts.3.13	The God of Abraham, and of Isaac and of Iacob, the God of oure fathers hath glorified hys sonne Iesus, whom ye delyuered, and denyed in the presence of Pylate, when he had iudged hym to be loosed.
Acts.3.14	But ye denyed the holy and iust, and desyred a mortherar to be geuen you,
Acts.3.15	and kylled the Lorde of lyfe, whom God hath raysed from deeth, of the which we are witnesses.
Acts.3.16	And hys name thorowe the fayth of his name, hath made this man sound, whom ye se and knowe. And the fayth which is by hym, hath geuen to hym thys health in the presence of you all.
Acts.3.17	And now brethren, I wote that thorow ignoraunce ye dyd it, as dyd also youre rulers.
