Amos.0.0	¶ The booke of the prophete Amos,
Amos.1.1	These are the sermons that were shewed vnto Amos, (which was one of the shepherdes at Thecua) vpon Israell, in the tyme of Osiah kinge of Iuda, and in the tyme of Ieroboam the sonne of Ioah kynge of Israel, two yeare before the earth quake.
Amos.1.2	And he sayde: The Lorde shall roare oute of Sion, and shewe his voyce from Ierusalem: so that the pastures of the shepherdes shalbe in a myserable case, Ꟶ the toppe of Charmel dryed vp.
Amos.1.3	Thus sayeth the Lorde: for thre and foure wyckednesses of Damascus, I will not spare her: because they haue throshed Galaad with yron flayles.
Amos.1.4	But I will sende a fyre into the house of Hazaell, the same shall consume the palaces of Benadab.
Amos.1.5	Thus will I breake the barres of Damascus, and rote out the inhabyter from the felde of Auen, And him that holdeth the scepter, out of the pleasaunt house: so that the people shalbe dryuen out of fayre Siria, sayeth the Lorde.
Amos.1.6	Thus sayeth the Lord: For thre and foure wickednesses of Gaza, I will not spare her: because they make the presoners yet more captyue, and haue dryuen them into the lande of Edom.
Amos.1.7	Therfore will I sende a fyre into the walles of Gaza, whych shall deuoure her houses.
Amos.1.8	I will rote out them that dwell at Asdod and him that holdeth the scepter of Ascalon, and stretche out myne hande ouer Accaron, that the remnaunt of the Philistines shall peryshe, sayeth the Lorde.
Amos.1.9	Thus sayeth the Lorde: For thre Ꟶ foure wickednesses of the cytie of Tyre, I wyll not spare her: because they haue increased the captiuyte of the Edomites, and haue not remembred the brotherly couenaunt.
Amos.1.10	Therfore, wyll I sende a fyre into the walles of Tyre, that shall consume her palaces.
Amos.1.11	Thus sayeth the Lord: For thre and foure wickednesses of Edom I wyll not spare hym, because he persecuted hys brother with the swerde, destroyed his mothers wombe, bare hatred very longe, and so kepte indignacion all waye by hym.
Amos.1.12	Therfore wyll I sende a fyre into Theman, which shall deuoure the palaces of Bosra.
