Col.0.0	¶ The epistle of saynt Paul the Apostle tot the Collossyans.
Col.1.1	Paul an Apostle of Iesu Chryst by the wyll of God, and brother Timotheus.
Col.1.2	To the saynctes which are at Colossa, and brethren that beleue in Chryst. Grace be vnto you and peace from God oure father, Ꟶ from the Lorde Iesu Christ.
Col.1.3	We geue thankes to God the father of oure Lorde Iesus Christ alwayes for you in oure prayers.
Col.1.4	For we haue hearde of your fayth in Christ Iesu, and of the loue which ye beare to all saynctes,
Col.1.5	for the hopes sake which is layd vp in store for you in heauen, of which hope, ye herde before by the true worde of the Gospell,
Col.1.6	which is come vnto you: euen as it, is frutefull as it is also amonge you, from the daye in the which ye hearde of it, and had experience in the grace of God thorowe the trueth,
Col.1.7	as ye learned of Epaphra oure deare felowe seruaunt, which is for you a faythfull minister of Chryst,
Col.1.8	which also declared vnto vs youre loue which ye haue in the sprete.
Col.1.9	For this cause we also, sence that daye we herde of it, haue not ceasyd to praye for you, and to desyre, that ye myght be fulfylled with the knowledge of hys wyll, in all wysdome and spretuall vnderstandynge,
Col.1.10	that ye myght walke worthy of the Lorde that in all thinges ye maye please beynge frutefull in all good workes, and encreasynge in the knowledge of God,
Col.1.11	strengthed with all myght, thorowe hys glorious power, vnto all pacience and longe sufferynge with ioyfulnes
Col.1.12	geuynge thankes vnto the father, which hath made vs mete to be partakers of the inheritaunce of saynctes in lyght,
Col.1.13	Which hath delyuered vs from the power of derknes, and hath translated vs into the kyngdome of hys dere sone
Col.1.14	by whom we haue redempcion thorowe his bloude euen the forgeuenes of sinnes
Col.1.15	which is the ymage of the inuisyble God, fyrst begotten of all creatures.
Col.1.16	For by him were all thynges created, that are in heuen, and that are in erth: visyble and inuisyble, whether they be maieste or lorde shyppe, ether rule or power. All thynges were creatyd by hym and for hym,
Col.1.17	Ꟶ he is before all thynges, and by him all thynges haue theyr beynge.
Col.1.18	And he is the heed of the body, euen of the congregacyon: he is the begynnynge and fyrst begotten of the deed, that in all thynges he myght haue the preeminence.
Col.1.19	For it pleased the father, that in him shulde all fulnes dwell,
Col.1.20	and by him to reconcyle all thinge vnto him selfe, and to set at peace by hym thorowe the bloude of hys crosse, both thynges in heauen and thinges in erth.
Col.1.21	And you which were somtyme farre of and enemyes, because youre myndes were set in euyll worckes hath he nowe yet reconcyled
Col.1.22	in the body of hys flesshe thorowe deeth, to make you holy, and vnblameable, Ꟶ without faut in hys awne syght,
Col.1.23	yf ye contynue grounded and stablysshed in the fayth, and be not moued awaye from the hope of the Gospell, wherof ye haue herde, howe that it is preached amonge all creatures which are vnder heauen, wherof I Paul am made a mynyster.
Col.1.24	Nowe ioye I in my sufferinges for you and fulfyll that which is behynde of the passyons of Christ in my flesshe, for hys bodies sake, which is the congregacyon:
Col.1.25	wherof I am made a mynister, accordynge to the ordinaunce of God, which ordinaunce was geuen me vnto you warde to fullfyll the worde of God,
Col.1.26	that mistery which hath bene hyd sence the worlde beganne, and sence the begynnynge of generacyons: but nowe is opened to his saynctes,
Col.1.27	to whom God wolde make knowen what the gloryous ryches of thys mystery is amonge the Gentyls, which ryches is Chryst in you, the hope of glory,
Col.1.28	whom we preache, warnynge all men, and teachynge all men in all wysdome, to make all men parfecte in Christ Iesu.
Col.1.29	Wherin I also laboure and stryue, euen as farforth as his strength worketh in me myghtely.
Col.2.1	For I wolde that ye knewe howe greate care that I haue for you and for them that are at Laodicia, and for as many as haue not sene my parson in the flessh,
Col.2.2	that theyr hertes myght be comforted whan they are knet together in loue, and in all ryches of full vnderstandynge, for to knowe the mistery of God the father, and of Chryst,
Col.2.3	in whom are hyd all the treasures of wysdome and knowledge.
Col.2.4	Thys I saye, lest eny man shulde begyle you wt entysynge wordes.
Col.2.5	For though I be absent in the flesshe, yet am I with you in the sprete, ioyinge and beholdynge youre order, and youre sted fast fayth in Chryst
