Dan.0.0	¶ The booke of the prophete Daniel
Dan.1.1	In the thyrde yeare of the rayne of Iehoakim king of Iuda, came Nabuchodonosor kynge of Babilon vnto Ierusalem, Ꟶ beseged it:
Dan.1.2	and the Lorde delyuered Iehoakim the kynge of Iuda into hys hande, with certayne ornamentes of the house of God, which he caryed awaye vnto the lande of Sennar, to the house of his God, and there he brought them into hys goddes treasury.
Dan.1.3	And the kynge spake vnto Asphanaz the chefe chamberlayne, that he shulde brynge hym certayne of the chyldren of Israel, that were come of the kynges sede and of prynces,
Dan.1.4	yonge spryngaldes without eny blemysh, but fayre and welfauored, instruct in all wysedome, comynge and vnderstandynge: which were able to stande in the kinges palace, to reade and to learne for to speake Chaldeysh.
Dan.1.5	Unto these the kynge appoynted a certayne porcion of his awne meate, and of the wyne, which he drancke hym selfe, so to norysh them thre yeare: that afterwarde they myght stande before the kynge.
Dan.1.6	Amonge these nowe were certayne of the chyldren of Iuda: namely Daniel, Ananias, Misael and Azarias.
Dan.1.7	Unto these, the chefe chamberlayne gaue other names, and called Daniel, Balthasar: Ananias, Sidrach, Misael, Misach: and Asarias, Abednago.
Dan.1.8	But Daniel was at a poynt with hym selfe, that he wolde not be defyled thorowe the kynges meate, ner the wyne which he droncke. And this he desyred of the chefe chamberlayn, lest he shuld defyle hym selfe.
Dan.1.9	So God gaue Daniel fauoure and grace before the chefe chamberlay
Dan.1.10	that he sayde vnto him: I am afrayde of my Lorde the kyng, which hath appoynted you your meate and drincke: lest he spye your faces to be worse lykyng then the other springaldes of your age, and so ye shall make me lose my head vnto the kynge.
Dan.1.11	Then Daniel answered Melassar, whom the chefe chamberlayne had set ouer Daniel, Ananias, Misael and Asarias, and sayd:
Dan.1.12	O proue but ten dayes with thy seruauntes, and let vs haue potage to eate, Ꟶ water to drincke:
Dan.1.13	then loke vpon oure faces, Ꟶ theyrs that eate of the kinges meate. And as thou seyst, so deale with thy seruauntes.
Dan.1.14	So he consented to them in thys matter, Ꟶ proued them .x. dayes.
Dan.1.15	And after the ten dayes, theyr faces were better lykinge and fatter, then all the yonge springaldes, which dyd eate of the kynges meate.
Dan.1.16	Thus Melassar toke awaye their meate and wyne, and gaue them potage therfore.
Dan.1.17	God gaue nowe these foure springaldes connynge and lernyng in all scripture and wysdome: but vnto Daniel specially, he gaue vnderstandynge of all visyons and dreames.
Dan.1.18	Nowe when the tyme was expyred, that the kynge had appoynted to bryng in these yong spryngaldes vnto hym: the chefe chamberlayne brought them before Nabuchodonosor,
Dan.1.19	and the kinge communed with them. But among them all were founde none soche as Daniel, Ananias, Misael, and Asarias. Therfore stode they before the kinge
Dan.1.20	which in all wysdome and matters of vnderstandinge, that he enquered of them, founde them ten tymes better, then all the sothsayers and charmers, that were in all his realme.
Dan.1.21	And Daniel abode styll, vnto the fyrst yeare of kynge Cyrus.
Dan.2.1	In the seconde yeare of the raygne of Nabuchodonosor, had Nabuchodonosor a dreame, where thorow his sprete was vexed, and his slepe brake from hym.
Dan.2.2	Then the kynge commaunded to call to gether all the sothsayers, charmers, witches and caldees, for to shewe the kynge hys dreame. So they came, and stode before the kynge.
Dan.2.3	And the kynge sayde vnto them: I haue dreamed a dreame, and my sprete was so troubled therwith, that I haue clene forgotten, what I dreamed.
Dan.2.4	Upon this the Caldees answered the kynge in the Syrians speache: O kynge, God saue thy lyfe for euer. Shewe thy seruauntes the dreame, and we shal shewe the, what it meaneth.
Dan.2.5	The kynge gaue the Caldees theyr answere and sayde: It is gone fro me. Yf ye wyll not make me vnderstande the dreame with the interpretacyon therof, ye shall dye, and youre houses shalbe prysed.
Dan.2.6	But yf yee tell me the dreame and the meanynge therof, ye shall haue of me gyftes, rewardes and greate honoure: onely, shewe me the dreame and the signifycacyon of it.
Dan.2.7	They answered agayne, and sayde: the kynge must shewe his seruauntes the dreame, and so shall we declare what it meaneth.
Dan.2.8	Then the kynge answered, saying: I perceaue of a trueth, that ye do but prolonge the tyme: for so moche as ye se, that the thynge is gone fro me.
Dan.2.9	Therfore ye wyll not tell me the dreame, ye shall all haue one iudgement. But ye fayne Ꟶ dissemble wt vayne wordes, which ye speake before me, to put of the tyme. Therfore tell me the dreame, Ꟶ so shall I knowe, yf ye can shewe me, what it meaneth.
