Deut.0.0	¶ The fyfth boke of Moses called in the Hebrue: elle Haddebarim, Ꟶ in the Latin. Deuteronomium.
Deut.1.1	These be the wordes which Moses spake vnto all Israel, on the other syde Iordan in the wildernesse, in the plaine ouer agaynst the redd see, betwene Pharan and Tophel, Laban, Hazeroth and Disahab,
Deut.1.2	eleuen dayes iourney from Horeb vnto Cades barne, by mount Seir.
Deut.1.3	And it fortuned the fyrst daye of the eleuenth moneth in the fortieth yere, that Moses spake vnto the chyldren of Israel accordinge vnto all that the Lorde had geuen him in commaundement vnto them,
Deut.1.4	after that he had smytten Sehon the kynge of the Amorites which dwelt in Hesbon, and Og kyng of Basan which dwelt at Astaroth in Edrai.
Deut.1.5	On the other syde Iordan in the lande of Moab, begane Moses to declare thys lawe sayinge:
Deut.1.6	the Lorde oure God spake vnto vs in Horeb saying: Ye haue dwelt longe ynough in this mount.
Deut.1.7	departe therfore Ꟶ take youre iourney, and go vnto the hyll of the Amorites and vnto all places nye there vnto: both vnto the playne, and hylles and dales: to the south, to the sees syde, to the lande of Canaan, and vnto Libanon: euen vnto the greate ryuer Euphrates.
Deut.1.8	Beholde, I haue set the land before you: goo in and possesse the lande whych the Lorde sware vnto youre fathers Abraham, Isaac and Iacob, to geue vnto them and theyr seede after them.
Deut.1.9	And I spake vnto you the same ceason sayinge: I am not able to beare you my selfe alone.
Deut.1.10	For the Lorde youre God had multiplyed you: and beholde, ye are thys daye as the starres of heauen in nombr
Deut.1.11	(the Lorde God of youre fathers make you a thousande tymes so many moo as ye are, and blesse you as he hath promysed you)
Deut.1.12	howe can I my selfe alone, beare the combraunce, charge and stryfe that is amonge you?
Deut.1.13	brynge (from amonge you) men of wysdome and of vnderstandynge, and experte, accordynge to youre trybes, and I wyll make them ruelars ouer you.
Deut.1.14	And ye answered me and sayde: that whyche thou hast spoken is good for vs to do.
Deut.1.15	And out of youre trybes I toke the captaynes, (men of wysdome and that were experte) and made them ruelars ouer you: captaynes ouer thousandes Ꟶ ouer hundredes ouer fyftye and ouer ten, and offycers amonge youre trybes.
Deut.1.16	And I charged youre Iudges that same tyme saying: heare the cause of your brethren and iudge ryghteously betwene euery man and hys brother, and the straunger that is with hym.
Deut.1.17	Se that ye knowe no faces in Iudgement: but heare the small as well as the greate, and be afrayed of no man, for the iudgement is Gods. And the cause that is to harde for you, brynge vnto me, and I will heare it.
Deut.1.18	And I commaunded you the same ceason, all the thynges whyche ye shulde do.
Deut.1.19	And when we departed from Horeb, we went thorowe all that greate and terrible wyldernesse, as ye haue sene alonge by the waye of the hyll of the Amorites, as the Lorde oure God commaunded vs, and came to Cades Barne.
Deut.1.20	And I sayde vnto you: Ye are come vnto the hyll of the Amorites, which the Lord oure God wyll geue vnto vs.
Deut.1.21	Beholde, the Lorde thy God hath set the lande before the: goo vp and conquere it, as the Lorde God of thy fathers hath sayde vnto the feare not, nether be discouraged.
Deut.1.22	But ye came vnto me euery one and sayde we wyll sende men before vs, to searche vs oute the lande, and to brynge vs worde agayne, what waye we must go vp by, Ꟶ vnto what cyties we shall come.
Deut.1.23	And the sayinge pleased me well, and I toke twelue men of you, of euery trybe one.
