Eph.0.0	¶ The epistle of saynct Paul the apostle to the Ephesyans.
Eph.1.1	Paul an Apostle of Iesus Christ, by the wyll of God. To the saynctes which are at Ephesus, and to them which beleue on Iesus Christ
Eph.1.2	Grace be with you, Ꟶ peace from God our father, and from the Lorde Iesus Christ.
Eph.1.3	Blessed be God the father of oure Lorde Iesus Christ, which hath blessed vs with all maner of spirituall blessyng in heuenly thinges by Christ
Eph.1.4	accordinge as he had chosen vs in hym, before the foundacions of the worlde were layde, that we shulde be holy, and without blame before hym, thorowe loue.
Eph.1.5	Which ordeyned vs before thorowe Iesus Christ to be heyres vnto hym selfe, accordinge to the good pleasure of hys wyll,
Eph.1.6	to the prayse of the glory of hys grace, wherwith he hath made vs accepted thorowe the beloued.
Eph.1.7	By whome we haue redempcyon thorowe his bloude, euen the forgeuenes of synnes, accordinge to the ryches of grace:
Eph.1.8	wherof he hath minystred vnto vs aboundantlye in all wisdome and prudence.
Eph.1.9	And hath opened vnto vs the mystery of hys wyll, accordynge to hys good pleasure, which he had purposed in hym selfe,
Eph.1.10	to haue it declared whan the tyme was full come, that he myght set vp all thynges perfectly by Christ (both the thynges which are in heuen, and the thynges which are in earth)
Eph.1.11	euen by hym by whom we are made heyres, and were therto predestinate accordynge to the purpose of hym by whose power all thynges are wrought accordinge to the purpose of hys awne wyll:
Eph.1.12	that we (which before beleued in Christ) shuld be vnto the prayse of hys glory.
Eph.1.13	In whom also we beleue, for asmoche as we haue hearde the worde of trueth, euen the Gospell of youre saluacyon: wherin, whan ye had beleued ye were sealed with the holy sprete of promes
Eph.1.14	which is the ernest of oure inheritaunce, for the recouerynge of the purchassed possessyon, vnto the prayse of hys glory.
Eph.1.15	Wherfore I also (after that I hearde of the fayth, which ye haue in the Lorde Iesu, Ꟶ loue vnto all the saynctes)
Eph.1.16	cease not to geue thankes for you, makynge mencyon of you in my prayers:
Eph.1.17	that the God of oure Lorde Iesus Chryst, the father of glory, maye geue vnto you the sprete of wysdome and reuelacyon, by the knowledge of him selfe,
Eph.1.18	and lyghten the eyes of youre myndes, that ye maye knowe what the hope is, where vnto he hath called you, and howe riche the glorye is of his inheritaunce vpon the saynctes,
Eph.1.19	and what is the excedinge greatnes of his power to vs warde, which beleue accordynge to the workynge of that his mighty power,
Eph.1.20	which he wrought in Christ, when he raysed him from the deed, and set him on his ryght hande in heauenly thinges,
Eph.1.21	aboue all rule, Ꟶ power, Ꟶ myght and dominion, and aboue euery name that is named, not in this worlde onely, but also in the worlde to come:
Eph.1.22	and hath put all thynges vnder his fete, and hath made him aboue all thinges the heed of the congregacyon,
Eph.1.23	which is his body and the fulnes of him, that fylleth all in all.
Eph.2.1	And you hath he quickened where as ye were deed in treaspasses and synnes,
Eph.2.2	in the which in tyme passed ye walked, accordyng to the course of this worlde, euen after the gouerner that ruleth in the ayer, the sprete that nowe worketh in the chyldren of vnbelefe
Eph.2.3	amonge whom we all had oure conuersacyon also in tyme past, in the lustes of oure flesshe, and fulfylled the wyll of the flesshe and of the mynde: and were by nature the chyldren of wrath, euen as well as other.
Eph.2.4	But God which is riche in mercy (for his greate loue wher with he loued vs,
Eph.2.5	euen when we were deed by synnes) quyckened vs together in Christ (by grace are ye saued)
Eph.2.6	and raysed vs vp together with hym and made vs sytte together with him amonge them of heauen in Christ Iesu.
Eph.2.7	That in tymes to come he myght shewe the exceadynge, ryches of hys grace, in kyndnes to vs warde thorowe Chryst Iesu.
Eph.2.8	For by grace are ye made safe thorow fayth, and that not of youre selues. It is the gyfte of God,
Eph.2.9	and commeth not of workes, lest eny man shulde boast him selfe
Eph.2.10	For we are his worckmanshyppe, created in Chryst Iesu vnto good workes, whiche God ordeyned, that we shulde walke in them.
Eph.2.11	Wherfore, remember that ye beynge in tyme passed gentyls in the flesshe, were called vncircumcisyon from that whych is called circumcisyon in the flesshe, which circumcision is made by handes:
Eph.2.12	remember (I saye) that at that tyme ye were without Chryst, beynge aliauntes from the comen welth of Israel, and straungers from the testamentes of the promes hauynge no hope, and beynge with out God in this worlde.
Eph.2.13	But nowe by the meanes of Christ Iesu, ye which somtyme were farre of, are made nye by the bloude of Chryst.
Eph.2.14	For he is oure peace, which hath made of both one, and hath broken downe the wall that was a stoppe betwene vs,
Eph.2.15	and hath also put awaye thorowe his flesshe, the cause of hatred, euen the lawe of commaundementes contayned in the lawe wrytten, for to make of twayne one newe man in hym selfe, so makynge peace,
Eph.2.16	and to reconcyle both vnto God in one body thorowe the crosse, Ꟶ slewe hatred therby:
Eph.2.17	and came, and preached peace to you which were a farre of, and to them that were nye.
Eph.2.18	For thorowe hym we both haue an intraunce, in one sprete vnto the father.
Eph.2.19	Now therfore, ye are not straungers, and foreyners: but citesyns with the sayntes Ꟶ of the housholde of God:
Eph.2.20	and are buylt vpon the foundacyon of the Apostles and Prophetes, Iesus Chryst him selfe beynge the heed corner stone,
Eph.2.21	in whom what buyldynge soeuer is coupled together, it groweth vnto an holy temple in the Lorde,
Eph.2.22	in whom ye also are buylt together, to be an habitacion of God thorowe the ghost.
Eph.3.1	For this cause, I Paul am a presoner of Iesus Chryst for you Hethen:
Eph.3.2	If ye haue hearde of the ministracyon of the grace of God which is geuen me to you warde.
Eph.3.3	For by reuelacion shewed he the mistery vnto me, as I wrote afore in feawe wordes
Eph.3.4	wherby when ye reade, ye maye vnderstand my knowledge in the mistery of Christ,
Eph.3.5	which mistery in tymes passed was not opened vnto the sonnes of men, as it is nowe declared vnto hys holy Apostles and Prophetes by the sprete:
