Esth.0.0	¶ The boke of Esther
Esth.1.1	It fortuned in the dayes of Ahasuerus whych raygned from India vnto Ethiopia (ouer an hundreth and seuen and twenty landes)
Esth.1.2	euen in those dayes whan the kyng Ahasuerus sate on his seate royall, which was in Susan the chefe cytie,
Esth.1.3	in the thirde yeare of his raygne, he made a feast vnto all his princes Ꟶ seruauntes. And the myghtye men of Persia Ꟶ Media, the capitaynes also Ꟶ rulers of his countrees were before him,
Esth.1.4	Ꟶ he shewed the riches and glorye of his kyngdome, Ꟶ the glorious worshippe of hys greatnesse, many dayes longe, euen an hundreth and foure score dayes.
Esth.1.5	And when these dayes were expyred, the kyng made a feast vnto all the people, that were in Susan the chefe cytie, both vnto great and small, seuen dayes long in the court of the garden by the kynges palace:
Esth.1.6	where there hanged white, grene Ꟶ yalow clothes, fastened with coardes of fyne sylke Ꟶ purple in syluer rynges, vpon pylers of Marble stone. The benches also were of golde Ꟶ syluer made vpon a pauement of grene, white, yalow and black Marble.
Esth.1.7	And they dranke in vessels of golde, Ꟶ chaunged vessell after vessell. And the kynges wyne was moch, accordyng to the power of the kyng.
Esth.1.8	And the drinke was so apoynted that none shulde compell anye man, for so the kyng had commaunded by the officers of his house, that euery one shuld do as it liked him.
Esth.1.9	And the quene Uasti made a feast also for the wemen in the palace of Ahasuerus.
Esth.1.10	And on the seuenth daye when the kyng was mery after the wyne, he commaunded Mehuman, Biztha, Harbona, Bigtha, Abagthan, zethar Ꟶ Carchas, the seuen chamberlaynes (that dyd seruice in the presence of kyng Ahasuerus)
Esth.1.11	to fetch the quene Uasti with the crowne regal into the kynges presence that he myght shewe the people and princes her fairnesse, for she was bewtifull.
Esth.1.12	But the quene Uasthi wolde not come at the kinges word by his chamberlaynes. Then was the kyng very wroth, Ꟶ his indignacion kyndled in him.
Esth.1.13	And the kyng spake to the wyse men, that had vnderstanding in the ordinaunces of the land, for the kynges matters must be handled before all soch as haue knowledge of the lawe and iudgement:
Esth.1.14	and the next vnto him were, Carsena, Sethar, Admata, Tharsis, Mares, Marsena, Ꟶ Mamucan, the seuen princes of Persia, and Media, whych sawe the kynges face, Ꟶ sat aboue in the kyngdom
Esth.1.15	what lawe (saieth the king) shuld be executed vpon the quene Uasthi, because she dyd not accordyng to the worde of the kyng Ahasuerus, whych he commaunded by his chamberlaynes?
Esth.1.16	And Memucan answered before the kyng and the princes: the quene Uasthi hath not onely done euell agaynst the kynge, but also agaynst all the princes and agaynst all the people that are in all the landes of kyng Ahasuerus:
Esth.1.17	for this dede of the quene shall come abrode vnto all wemen, so that they shall despised their husbandes before their eyes, and shal saye: the kyng Ahasuerus commaunded Uasthi the quene to be brought in before hym, but she wold not come.
Esth.1.18	And so shall the princesses in Persia and Media saye likewyse vnto all the kynges princes, when they heare of this dede of the quene, thus shall there aryse to moch despitefulnes Ꟶ wrath.
Esth.1.19	If it please the kyng therfore, let there go a commaundment from him, Ꟶ let it be written according to the lawes of the Persians and Medians (and not to be transgressed) that Uasthi come nomore before kyng Ahasuerus, Ꟶ let the king geue her kingdome vnto another, that is better then she.
Esth.1.20	And when this commaundement of the kyng (which shalbe made) is published thorow out all his empire (whych is greate) all wemen shall hold their husbandes in honoure both among great and small.
Esth.1.21	This pleased the kyng Ꟶ the prynces: and the kyng dyd according to the word of Memucan.
Esth.1.22	For he sent letters forth in to all the kynges landes, in to euery land, accordyng to the wryting therof, Ꟶ to euery people after their language, that euery man shulde be lord in his awne house. And this caused he to be spoken after the language of his people.
Esth.2.1	After these actes, when the displeasure of king Ahasuerus was now layed, he thought vpon Uasthi, Ꟶ what she had done, and what was concluded agaynst her.
Esth.2.2	Then sayd the kynges seruauntes that ministred vnto him: Let there be fayre young virgins sought for the kyng,
Esth.2.3	and the kyng appointed certayne men in all the landes of his empyre, whom he charged that they shuld bryng together all the fayre yong virgins vnto Susan the head cite, to the wemens buylding, vnder the hand of Hagei the kynges chamberlayne, that kepte the wemen, to geue them their apparell.
Esth.2.4	And that the damsell whych pleased the kynge shuld be quene in Uasthis steade. And this pleased the kyng, and he dyd so.
Esth.2.5	In the cyte of Susan there was a Iewe, whose name was Mardocheus, the sonne of Iair, the sonne of Semei, the sonne of Cis a man of Iemini,
Esth.2.6	which was caryed awaye from Ierusalem, whan Iekonia the kyng of Iuda was led awaye, (whom Nabuchodonozor the kyng of Babilon caryed thence)
Esth.2.7	Ꟶ he norished Hadassa (that is Esther) his vncles daughter: for she had nether father nor mother, and she was a fayre Ꟶ beutyfull damsell: whom Mardocheus (when her father Ꟶ mother was deed) receaued for his awne daughter.
Esth.2.8	So it fortuned that when the kynges commaundement Ꟶ commission was published, and many damosels were brought together in the cite of Susan vnder the hande of Hagei. Esther was brought also vnto the kynges house vnder the hand of Hagei the keper of the wemen,
Esth.2.9	Ꟶ the damsell pleased him, and she founde fauoure in his syght. And he caused ornamentes to be geuen her Ꟶ soch thynges as belonged to her, and appoynted her seuen comlye damsels out of the kynges house, Ꟶ fauoured both her and her gentyll wemen singularly in the house of the wemen.
Esth.2.10	But Esther shewed not her people Ꟶ her kynred: for Mardocheus had charged her, that she shuld not tell it.
Esth.2.11	And Mardocheus walked euery daye before the court of the wemens house, that he myght knowe howe Esther dyd, and what shulde become of her.
Esth.2.12	And when the appoynted tyme of euery damsell came, that she shuld go into the kyng Ahasuerus, after that she had bene twelue monethes in the deckynge of the wemen (for their deckynge must haue so moch tyme, namely syxe monethes with Balme Ꟶ Myrre, and syxe monethes with good spices, so were the wemen beutyfyed)
Esth.2.13	then went there one damosell vnto the kyng, and whatsoeuer she requyred that must be geuen her to go wyth her out of the wemens buylding vnto the kynges palace.
Esth.2.14	In the euenyng she went, and in the morow agayne into the seconde house of the wemen abyding vnder the hand of Saasgas the kynges chamberlayne, whych kept the concubines. And she came in vnto the kyng nomore, excepte it pleased the kyng to haue her, and that he called her by name.
Esth.2.15	Now when the tyme came of Esther the daughter of Abihan the vncle of Mardocheus (whych had receaued her as hys awne daughter) that she shuld come into the kyng, she desyred nothyng, but what Hagei the kynges chamberlayne the keper of the wemen, sayde. And Esther found fauoure in the syght of all them that loked vpon her.
Esth.2.16	And Esther was taken vnto kyng Ahasuerus into his house royall, in the tenth moneth which is the moneth Tebeth, in the seuenth yeare of his raygne.
Esth.2.17	And the kyng loued Esther aboue all the wemen, Ꟶ she found grace and fauoure in hys syght before all the virgins: so that he set the crowne of the kyngdome vpon hir head, and made her quene in steade of Uasthi.
Esth.2.18	And the kyng made a great feast vnto all his princes and seruauntes (which feast was because of Esther) Ꟶ caused the landes to be in quyernes, Ꟶ gaue giftes, as became the royaltye of a king.
Esth.2.19	And when the virgins were gathered together the seconde tyme, Mardocheus sat in the kynges gate.
