Exod.0.0	¶ The second boke of Moses called in the Hebrue: Ueelleh Schemoth: And in the Latin, Exodus.
Exod.1.1	These are the names of the children of Israel, which came to Egypte wyth Iacob, euery man came wt hys housholde:
Exod.1.2	Ruben, Simeon, Leui, and Iuda,
Exod.1.3	Isachar zabulon, and Beniamin,
Exod.1.4	Dan Nephtali, Gad and Aser.
Exod.1.5	All the soules that came out of the loynes of Iacob were .lxx. But Ioseph was in Egypte allredie.
Exod.1.6	And Ioseph dyed and all hys brethren and all that generacyon,
Exod.1.7	and the chyldren of Israel grewe, encreased, multiplyed, and waxed exceadinge myghtye: and the lande was full of them.
Exod.1.8	But there rose vp a newe kynge in Egypte whych knewe not Ioseph.
Exod.1.9	And he sayde vnto his folke: beholde, the people of the chyldren of Israel are greater and myghtyer than we.
Exod.1.10	Come on, let vs playe wisely wyth them, lest they multiplye, Ꟶ lest it happen, that (yf there chaunce any warre) they ioyne them selues vnto oure enemyes and fyghte agaynst vs, and so gete them out of the lande.
Exod.1.11	Therfore dyd they sette taskmasters ouer them, to kepe them vnder wt burthens. And they bylte vnto Pharao treasure cities: Phiton and Rameses.
Exod.1.12	But the more they vexed them, the moare they multiplyed and grewe, so that they abhorred the chyldren of Israel.
Exod.1.13	And the Egyptians helde the chyldren of Israel in bondage without mercye.
Exod.1.14	Therfore was their lyfe bytter vnto them in that cruell bondage, in claye Ꟶ brycke, and all maner of worke in the feldes. For all their bondage which they serued them, was full of tyrannye.
Exod.1.15	And the kynge of Egypte sayde vnto the mydwiues of the Hebrues women, of which the ones name was Sephora and the other Phua:
Exod.1.16	when ye do the offyce of a mydwife to the women of the Ebrues and se in the byrth tyme that it is a boye, ye shall kyll it. But yf it be a daughter, it shall lyue.
Exod.1.17	Not withstondynge the mydwiues feared God and dyd not as the kynge of Egypte commaunded them: but saued the men chyldren.
Exod.1.18	And the kynge of Egypte called for the mydwiues and sayde vnto them: why haue ye delt on thys maner, and haue saued the menchyldren?
Exod.1.19	And the mydwiues answered Pharao, that the Hebrues wemen are not as the wemen of Egypte: for they are sturdie women, and are delyuered yer the midwyues come at them.
Exod.1.20	And God therfore delt well with the midwyues. And the people multiplyed and waxed very myghtye.
Exod.1.21	And it fortuned because the midwyues feared God, he made them houses.
Exod.1.22	And Pharao charged all hys people, sayinge: All the menchyldren that are borne, cast into the ryuer, and saue the maydechyldren alyue.
Exod.2.1	And ther went a man of the house of Leui. And toke a daughter of Leui.
Exod.2.2	And the wyfe conceaued and bare a sonne. And when she sawe that it was a proper chylde she hyd hym thre monethes.
Exod.2.3	And when she coulde no longer hyde hym, she toke a basket of bulrusshes and dawbed it with slyme and pytche, and layde the chylde therin, and put it in the flagges by the ryuers brynke.
Exod.2.4	And his sister stode a farre of, to wete what wold come of it.
Exod.2.5	And the daughter of Pharao came doune to washe herselfe in the ryuer, and hyr maydens walked alonge by the ryuers syde. And when the sawe the basket amonge the flagges, she sent hyr mayde to fetch it.
Exod.2.6	And when she had opened it, she sawe it was a chylde: and beholde, the babe wepte. And she had compassyon on it, and sayde: it is one of the Hebrues chyldren.
Exod.2.7	Then sayde hys syster vnto Pharaos daughter: shall I go and call vnto the a nurse of the Hebrues wemen, to nurse the, the chylde?
Exod.2.8	Pharaos daughter answered her: Goo. And the mayde ranne and called the chyldes mother.
Exod.2.9	To whom Pharaos daughter sayde: Take thys chylde a waye, and nurse it for me, I wyll rewarde the. And the woman toke the chylde, and nursed it vp.
Exod.2.10	The chylde grewe, Ꟶ she brought it vnto Pharaos daughter, Ꟶ it was made hyr sonne, Ꟶ she called the name of it Moses, because (sayde she) I toke him out of the water.
Exod.2.11	And it happened in those dayes, when Moses was waxed great, that he went out vnto his brethren and loked on their burdens, Ꟶ spied an Egyptian smytynge an Hebrue whych was one of hys brethren.
Exod.2.12	And he loked rounde aboute, and when he sawe no man by, he slewe the Egyptian, and hyd him in the sonde.
Exod.2.13	And whan he was gone out another daye: beholde two Hebrues stroue to gether. And he sayde vnto hym that dyd the wronge: wherfore smytest thou thy felowe?
Exod.2.14	He answered: who made the a man of auctoryte to iudge vs? Speakest thou to kyll me, as thou kylledst the Egyptian? And Moses feared Ꟶ sayde: of a suertie thys thynge is knowne:
Exod.2.15	And Pharao herde of it, and went aboute to slee Moses: And Moses flyenge from the face of Pharao, dwelt in the lande of Midian, and he sat doune by a welles syde.
Exod.2.16	The preast of Midian had .vij. daughters which came and drewe water, and fylled the troughes, for to water their fathers shepe.
Exod.2.17	And the shepardes came Ꟶ droue them awaye: but Moses stode vp and helped them, and watered their shepe:
Exod.2.18	And when they came to Raguel their father, he sayde: howe happeneth it that ye are come so soone to daye?
Exod.2.19	And they answered: a man of Egypte delyuered vs from the hande of the shepardes, and so drewe vs water, Ꟶ watered the shepe.
Exod.2.20	He sayde vnto hys daughters. And wher is he? why haue ye so lefte the man? Call hym that he maye eate bread.
Exod.2.21	And Moses was content to dwell with the man. And he gaue Moses zephora hys daughter,
Exod.2.22	which whan she bare a sonne. called him Gerson: for he sayde: I haue bene a straunger in a straunge lande.
Exod.2.23	And it chaunced in processe of tyme, that the kynge of Egypte dyed, and the chyldren of Israel syghed by the reason of bondage, and cryed.
Exod.2.24	And their complaynt came vp vnto God from the bondage: and God hearde their mone. And God remembred hys promyse with Abraham, Isaac and Iacob.
Exod.2.25	And God loked vpon the chyldren of Israel, and God had respecte vnto them.
Exod.3.1	Moses kepte the shepe of Iethro hys father in lawe, preest of Midian, and he droue the flocke to the backesyde of the desert, and came to the mountayne of God, Horeb.
Exod.3.2	And the angell of the Lorde appeared vnto him in a flame of fyre out of the myddes of a bush. And he loked, Ꟶ beholde, the bush burned wt fyre, and the bush was not consumed.
Exod.3.3	Therfore Moses sayde: I wyll goo nowe, and see thys greate syght, howe it cometh that the bushe burneth not.
Exod.3.4	And when the Lorde sawe that he came for to see, God called vnto him out of the myddes of the bushe, and sayde: Moses, Moses. He answered: here am I.
Exod.3.5	And he sayde: come not hyther, put thy shooes of thy fete: for the place where on thou stondest is holy grounde.
Exod.3.6	And he sayde I am the God of thy father, the God of Abraham, the God of Isahac Ꟶ the God of Iacob And Moses hyd his face, for he was afrayed to loke vpon God.
Exod.3.7	And the Lorde sayde: I haue surely sene the trouble of my people whych are in Egypte, and haue herde theyr crye from the face of their taskemasters. For I knowe their sorowes,
