Ezek.0.0	¶ The booke of the Prophete Ezechiel.
Ezek.1.1	It chaunsed in the .xxx. yeare, the fyfthe daye of the fourth moneth, that I was among the presoners by the ryuer of Cobar: where the heauens opened, and I sawe a visyon of God.
Ezek.1.2	Nowe the fyfth daye of the moneth made out the fyfth yeare of Kynge Ioachins captyuite.
Ezek.1.3	At the same tyme came the worde of the Lorde vnto Ezechiel the sonne of Buzi the preste, in the lande of the Chaldees by the water of Cobar, where the hande of the Lorde came vpon hym.
Ezek.1.4	And I loked, and beholde a stormy wynde came out of the North with a greate cloude full of fyre, which with hys glystre lyghtened all rounde aboute. And in the middest of the fyre it was all cleare lyke the face of an angell,
Ezek.1.5	and as it were the lykenes of foure beastes, and thys was there lykenesse. They were fashyoned lyke a man: sauynge,
Ezek.1.6	that euery one had foure faces and foure wynges.
Ezek.1.7	Theyr legges were streight, but theyr fete were lyke bullockes fete, and they glystered, as it had bene fayre scoured metall.
Ezek.1.8	Under theyr wynges, vpon all the foure corners they had mens handes. Theyr faces and theyr wynges were towarde the foure corners:
Ezek.1.9	yet were the wynges so, that one euer touched another. When they went, they turned them not aboute: but eche one went streight forwarde.
Ezek.1.10	Furthermore thys was the symilitude of theyr faces. Upon the ryght syde of these foure, theyr faces were lyke the face of a man, and the face of a lyon. But vpon the lefte syde,
Ezek.1.11	they had the face of an oxe, and the face of an Aegle. Theyr faces also and theyr wynges were spred out aboue: so that two wynges of one touched euer two wynges of another, Ꟶ with the other they couered their body.
Ezek.1.12	Euery one when it wente, it wente streyght forwarde. Where as the sprete led them, thyther they wente, and turned not aboute in theyr goynge.
Ezek.1.13	The fashyon and countenaunce of the beastes was lyke hoate coales of fyre, euen as though burning cressettes had bene among the beastes: and the fyre gaue a glistre, and out of the fyre there went lyghtenynge.
Ezek.1.14	When the beastes wente forwarde Ꟶ backward, one wold haue thought it had lyghtened.
Ezek.1.15	Now when I had well consydered the beastes, I saw a worcke of wheles vpon the earth with foure faces also nye vnto the beastes.
Ezek.1.16	The fashyon and worcke of the wheles was lyke the see. The foure wheles were ioyned and made (to loke vpon) as it had bene one whele in another.
Ezek.1.17	When one wente forwarde, they wente all foure, and turned them not about in theyr goinges.
Ezek.1.18	They were large greate and horrible to loke vpon. Theyr backes were full of eyes rounde about them all foure. When the beastes wente, the wheles wente also with them.
Ezek.1.19	And when the beastes lyfte them selues vp from the earth, the wheles were lyft vp also.
Ezek.1.20	Whithersoeuer the sprete wente, thyther went they also, and the wheles were lyfte vp, and folowed them: for the sprete of lyfe was in the wheles.
Ezek.1.21	When the beastes wente forth, stode styll, or lyft them selues from the earth, then the wheles also wente, stode styll, and were lyfte vp, for the breth of lyfe was in the wheles.
