Ezra.0.0	¶ The fyrst booke of Esdras.
Ezra.1.1	In the firste yere of Cyrus kynge of Persia (that the word of the Lord spoken by the mouth of Ieremy might be fulfilled) the Lord stered vp the spret of Cyrus kynge of Persia, that he caused to be proclaymed thorow out all hys empire, Ꟶ to be wryten, saying:
Ezra.1.2	Thus sayth Cirus the kynge of Persia: The Lorde God of heauen hath geuen me all the kyngdomes of the earth, and hath commaunded me to buylde hym an house at Ierusalem which is in Iuda.
Ezra.1.3	Whosoeuer now among you is of his people, the Lorde his God be with hym, and let him go vp to Ierusalem in Iuda, Ꟶ builde the house of the Lorde God of Israell. He is the God that is at Ierusalem.
Ezra.1.4	And whosouer remayneth yet in eny maner of place (where he is a straunger) let the men of that place helpe hym wt syluer and golde, with good Ꟶ catell, besyde that which they wyllyngly offer, for the house of God that is at Ierusalem.
Ezra.1.5	Then gat vp the principal fathers of Iuda and Beniamin, Ꟶ the prestes Ꟶ leuites, and all they whose sprete God had raysed to go vp, Ꟶ to buylde the house of the Lord, which is at Ierusalem.
Ezra.1.6	And al they that were about them strengthed their hand, wt vessels of syluer, Ꟶ golde, with good and catell, Ꟶ Iewels: in so moch that euery one shewed hym selfe liberall.
Ezra.1.7	And kyng Cyrus brought forth the vessels of the house of the Lord, which Nabuchodonosor had taken out of Ierusalem, and had put in the house of his God.
Ezra.1.8	Those dyd Cyrus the kyng of Persia bryng forth by the hande of Mithridates the treasurer, and nombred them vnto Sesbazar the prince of Iuda.
Ezra.1.9	And this is the nombre of them .xxx. chargers of gold .M. chargers of syluer .xxix. knyues
Ezra.1.10	.xxx. basens of gold and of other siluer basens .iiij.C. Ꟶ .x. Ꟶ of other vessels: .M.
Ezra.1.11	All the vessels of gold and syluer, were .v.M. and .iiij.C. All these dyd Sesbazar carye awaye with them that came vp oute of the captyuite of Babylon vnto Ierusalem.
Ezra.2.1	These are the chyldren of the lande that went vp oute of the captyuite (whom Nabuchodonosor the king of Babylon had caryed awaye vnto Babylon) and came agayne vnto Ierusalem, and into Iuda, euery one vnto hys cytie.
Ezra.2.2	They that came with zorobabell are these. Iesua, Nehemiah, Saraia, Raelaia Mardochai, Bilsan, Mispar, Biguai, Rehum, Baana. Thys is the nombre of the men of the people of Israel.
Ezra.2.3	The children of Phares, two thousand, an hundred, and two and seuentye:
Ezra.2.4	the chyldren of Saphatia, thre hundred, and two and seuenty:
Ezra.2.5	the chyldren of Arath, seuen hundred, and fyue and seuenty:
Ezra.2.6	the chyldren of the captayne of Moab among the chyldren of Iesua and Ioab, two thousande, eyght hundred and twelue:
Ezra.2.7	the chyldren of Elam, a thousande, two hundred, and foure and fyftye:
Ezra.2.8	the chyldren of zathu, nyne hundred, and fyue and fourtye:
Ezra.2.9	the chyldren zaccai, seuen hundred, and thre score:
Ezra.2.10	the children of Bani, syxe hundred, and two and fourty:
Ezra.2.11	the chyldren of Bebai, syxe hundred and thre and twentye:
Ezra.2.12	the chyldren of Asgad, a thousand, two hundred, and two and twenty:
Ezra.2.13	the chyldren of Adonicam, syx hundred, and syxe and syxty:
Ezra.2.14	the chyldren of Beguai, two thousande, and syx and fyfty:
Ezra.2.15	the chyldren of Adin, foure hondred and foure Ꟶ fyfty:
Ezra.2.16	the chyldren of Ater of Hezekia, eyght and nyntye:
Ezra.2.17	the chyldren of Bezai, thre hundred, and thre and twentye:
Ezra.2.18	the chyldren of Iora, an hundred and twelue:
Ezra.2.19	the chyldren of Hasum, two hundred, and thre and twentye:
Ezra.2.20	the chyldren of Gebar, fyue and nyntye:
Ezra.2.21	the chydren of Bethlehem, an hundred and thre and twentye:
Ezra.2.22	the men of Netopha, syxe and fyftye:
Ezra.2.23	the men of Anathoth, an hundred, and eyght and twentye:
Ezra.2.24	the chyldren of Asmaueth, two and fourty:
Ezra.2.25	the chyldren of Kyriath Iarim, euen the chyldren of Cephira and Beeroth, seuen hundred and thre and fourty:
Ezra.2.26	the children of Harama and Geba, syx hundred, and one and twenty:
Ezra.2.27	the men of Michmas, an hundred, and two and twentye:
Ezra.2.28	the men of Bethell and Hai, two hundred, and thre and twenty:
Ezra.2.29	the children of Nebo, two and fyfty:
Ezra.2.30	the chyldren of Magbis, an hundred, and syxe and fyftye:
Ezra.2.31	the children of the other Elam, a thousande, Ꟶ two hundred, and foure and fyfty:
Ezra.2.32	the chyldren of Harym, the hundred and twentye:
Ezra.2.33	the chyldren of Lodhadid and Ono, seuen hundred, and fyue and twentye:
Ezra.2.34	the chyldren of Iericho, thre hundred, and fyue and fourtye:
Ezra.2.35	the children of Senaa, thre thousand, syxe hundred and thyrtye.
Ezra.2.36	The prestes of the chyldren of Iedaia of the house of Iesua, nyne hundred, and thre Ꟶ seventye:
Ezra.2.37	the children of Immer, a thousand and two and fyfty:
Ezra.2.38	the children of Phashur, a thousande, two hundred, and seuen and fourtye:
Ezra.2.39	the children of Harim, a thousande, and seuentene.
Ezra.2.40	The leuites. The children of Iesua, and Cadmiel of the children of Hodauia, foure Ꟶ seuentye.
