Gal.0.0	¶ The epistle of saynct Paul the Apostle to the Galathians.
Gal.1.1	Paul an apostle, not of men, nether by man: but by Iesus Christ, and by God the father, which raysed him vp from deeth:
Gal.1.2	and all the brethren which are with me. Unto the congregacions of Galacia.
Gal.1.3	Grace be with you, and peace from God the father, Ꟶ from oure Lorde Iesus Christ,
Gal.1.4	which gaue hym selfe for our synnes to delyuer vs from thys present euyll worlde, accordynge to the wyll of God oure father,
Gal.1.5	to whom be prayse for euer and euer. Amen.
Gal.1.6	I maruayle, that ye are so soone turned (from Christ which called you by grace) vnto another Gospe
Gal.1.7	which is nothinge elles, but that there be some which trouble you, Ꟶ intende to peruerte the Gospell of Christ.
Gal.1.8	Neuerthelesse, though we oure selues, or an angell from heauen, preache any other Gospell vnto you, then that which we haue preached vnto you, let him be acursed.
Gal.1.9	As we said before, so saye I nowe agayne, yf eny man preache eny other Gospell vnto you, then that ye haue receaued, lett hym be acursed.
Gal.1.10	Do I now perswade men, or God? Other do I seke to please men? For yf I had hythereto studyed to please men, I were not the seruaunt of Christ.
Gal.1.11	I certifye you brethren, that the Gospell which was preached of me, was not after the maner of men.
Gal.1.12	For I nether receaued it, ner learned it of man, but by the reuelacyon of Iesus Christ.
Gal.1.13	For ye haue hearde of my conuersacyon in tyme past, in the Iewes waye, howe that beyonde measure, I persecuted the congregacyon of God, and spoyled it,
Gal.1.14	and preuayled in the Iewes waye aboue many of my companions in myne awne nacyon beynge a very feruent mayntener of the tradicyons of the elders.
Gal.1.15	But when it pleased God, which seperated me from my mothers wombe, and called me here unto by hys grace,
Gal.1.16	for to declare hys sonne by me, that I shulde preache hym amonge the Heathen: immediatly I commened not of the matter with flessh Ꟶ bloude,
Gal.1.17	nether returned to Ierusalem, to them which were apostles before me: but went my wayes into Arabia, and came agayne vnto Damasco.
Gal.1.18	Then after thre yeare, I returned to Ierusalem to se Peter, and abode with hym fyftene dayes.
Gal.1.19	Other of the apostles sawe I none, saue Iames the Lordes brother.
Gal.1.20	The thinges therfore which I wryte vnto you: beholde, before God I lye not.
Gal.1.21	After that I came into the coastes of Siria and Cilicia,
Gal.1.22	and was vnknowen as touchinge my person vnto the congregacions of Iewry, which were in Christ.
Gal.1.23	But thys they hearde onely, that he which persecuted vs in tyme past, nowe preacheth the fayth, which before he destroyed.
Gal.1.24	And they glorified God in me.
Gal.2.1	Then fouretene yeares thereafter, I went vp agayne to Ierusalem with Barnabas, and toke Titus with me.
Gal.2.2	I went vp also by reuelacyon, and commened with them of the Gospell which I preache amonge the Gentyls (but specially) with them which were counted chyefe, leest I shulde runne or had runne in vayne.
Gal.2.3	Also Titus which was wt me, though he were a greke, yet was not compelled to be circumcised:
Gal.2.4	and that because of incommers beynge false brethren, which came in preuely to spye out oure libertye which we haue in Christ Iesu, that they myght bringe vs in to bondage.
Gal.2.5	To whom we gaue no rowme, no not for the tyme (by waye of subieccyon) because that the trueth of the Gospell myght contynue with you.
Gal.2.6	Of them which semed to be somwhat, what they were in tyme passed it make the no matter to me. God loketh on the outwarde appearaunce of no man. Neuertheles they which semed greate, added nothynge to me.
Gal.2.7	But contrary wyse, when they sawe that the gospell ouer the vncircumcision was committed vnto me, as the gospell ouer the circumcisyon was commytted vnto Peter.
Gal.2.8	For he that was myghty in Peter in the Apostleshyppe ouer the circumcisyon, the same was myghty in me amonge the Gentyls.
Gal.2.9	When they perceaued the grace that was geuen vnto me, then Iames, Cephas and Iohn, which semed to be pyllers, gaue to me and Barnabas the ryght handes of that felowshyppe, that we shulde be Apostles among the Heythen, and they in the circumcisyon:
Gal.2.10	onely that we shuld remember the poore. Wherin also I was diligent to do the same.
Gal.2.11	But when Peter was come to Antioche I withstode him openly, because he was worthy to be blamed.
Gal.2.12	For yer that certayne cam from Iames, he dyd eate with the Gentyls. But when they were come, he withdrue and separated hym selfe from them, fearynge them which were of the circumcisyon.
Gal.2.13	And the other Iewes dissembled as well as he: in so moche that Barnabas also was brought into their symulacion.
Gal.2.14	But when I sawe that they went not the right waye after the trueth of the Gospell, I sayde vnto Peter before them all: yf thou beynge a Iewe, lyuest after the maner of the Gentyls, and not as do the Iewes: why causest thou the Gentyls to lyue as do the Iewes?
Gal.2.15	For we which are Iewes by nature, and not synners of the Gentyls,
Gal.2.16	knowe that a man is not iustifyed by the dedes of the lawe, but by the fayth of Iesus Christ: And we haue beleued on Iesus Chryst, that we might be iustifyed by the faith of Christ, and not by the dedes of the lawe: because by the dedes of the lawe no flesshe shalbe iustifyed.
Gal.2.17	If whyle we seke to be made ryghtewes by Christ, we our selues are founde synners, is then Christ the minyster of synne? God forbyd.
Gal.2.18	For yf I buylde agayne the thynges which I destroyed, then make I my selfe a trespasser.
Gal.2.19	For I (thorowe the lawe) haue bene deed to the lawe, that I myght lyue vnto Christ.
Gal.2.20	I am crucified wt Christ. Neuertheles I lyue: yet nowe not I, but Christ lyueth in me. The lyfe which I nowe lyue in the flesshe, I lyue by the fayth of the sonne of God which loued me, and gaue hym selfe for me.
Gal.2.21	I despyse not the grace of God. For yf ryghtewesnes come of the lawe, then Christ is deed in vayne.
Gal.3.1	O ye folysshe Galathyans: who hath bewitched you, that ye shulde not beleue the trueth? To whom Iesus Christ was described before the eyes and amonge you crucifyed.
Gal.3.2	This only wold I learne of you whether ye receaued the spirite by the dedes of the lawe or by the preaching of the fayth?
Gal.3.3	Are ye soche fooles, that after ye haue begonne in the sprete, ye nowe ende in the flesshe?
Gal.3.4	So many thynges ye haue suffred in vayne, yf it be also in vayne.
Gal.3.5	Moreouer, he that minystreth to you the sprete, and worketh myracles amonge you, doeth he it thorowe the dedes of the lawe, or by preachyng of the fayth?
Gal.3.6	Euen as Abraham beleued God, Ꟶ it was ascribed to hym for ryghtewesnesse.
Gal.3.7	Ye knowe therfore, that they which are of fayth, the same are the chyldren of Abraham.
Gal.3.8	For the scripture seinge afore hande, that God wold iustifye the Hethen thorowe fayth, shewed before hande glad tydynges vnto Abraham sayinge: In the shall all nacyons be blessed.
Gal.3.9	So then, they which be of fayth, are blessed with faythfull Abraham.
Gal.3.10	For as many as are of the dedes of the lawe, are subiecte to the curse. For it is written: cursed be euery one that contynueth not in all thinges which are written in the boke of the lawe to fulfyll them.
Gal.3.11	That no man is iustifyed by the lawe in the syght of God, it is euydent. For the iuste shall lyue by fayth.
Gal.3.12	The lawe is not of fayth: but the man that fulfylleth the thinges shal lyue in them.
Gal.3.13	Christ hath deliuered vs from the curse of the lawe, in as moche as he was made accursed for vs: For it is written: cursed is euery one, that hangeth on tree,
Gal.3.14	that the blessynge of Abraham myght come on the Gentyls thorowe Iesus Christ, that we myght receaue the promes of the sprete thorowe fayth.
Gal.3.15	Brethren, I speake after the maner of men. Though it be but a mans testament. Yet yf it be alowed, no man despyseth it: or addeth eny thynge thereto.
Gal.3.16	To Abraham and hys seede were the promyses made. He sayth not in the seedes, as many: but in thy seede, as of one, which is Christ.
Gal.3.17	Thys I saye, that the lawe which beganne afterwarde, beyonge foure hundred and thyrtye yeares, doeth not disanull the testament, that was comfermed afore of God vnto Christ ward, to make the promes of one effecte.
Gal.3.18	For yf the inheritaunce come of the lawe, it commeth not nowe of promesse. But God gaue it vnto Abraham by promes.
Gal.3.19	Wherfore then serueth the lawe? It was added because of transgression (tyll the seed came, to whom the promes was made) and it was ordeyned by angels in the hand of a mediator.
Gal.3.20	A mediator is not a mediator of one, but God is one.
Gal.3.21	Is the lawe then agaynst the promes of God? God forbyd. For yf there had bene a lawe geuen which coulde haue geuen lyfe: then no doute ryghtewesnes shulde come by the lawe.
Gal.3.22	But the scripture concluded all thinges vnder synne, that the promes by the fayth of Iesus Christ shulde be geuen vnto them that beleue.
Gal.3.23	But before that fayth came, we were kepte vnder the lawe, and were shut vp vnto the fayth which shulde afterwarde be declared.
Gal.3.24	Wherfore, the lawe was oure scolemaster vnto Christ, that we shulde be iustifyed by fayth.
Gal.3.25	But after that fayth is come, we are no lenger vnder the scolemaster.
Gal.3.26	For ye are all chyldren of God, because ye beleue in Christ Iesu.
Gal.3.27	For all ye that are baptised haue put on Christ.
Gal.3.28	There is no Iewe, nether Gentyll: there is nether bonde, ner fre: there is nether man, ner woman. For ye are all one in Christ Iesu.
Gal.3.29	If ye be Christes, then are ye Abrahams seede, and heyres accordynge to the promes.
Gal.4.1	And I saye, that the heyre (as longe as he is a chylde) differth not from a seruaunt, though he be Lord of all,
Gal.4.2	but is vnder tuters and gouerners, vntyll the tyme that the father hath appoynted.
Gal.4.3	Euen so we also, when we were chyldren, were in bondage vnder the ordynaunces of the worlde.
Gal.4.4	But when the tyme was full come, God sent hys sonne, made of a woman, and made bonde vnto the lawe,
Gal.4.5	to redeme them which were bonde vnto the lawe: that we (thorowe eleccion) might receaue the inheritaunce that belongeth vnto the naturall sonnes.
Gal.4.6	Because ye are sonnes, God hathe sent the sprete of hys sonne into oure hertes, cryinge: Abba father.
Gal.4.7	Wherfore nowe, thou art not a seruaunt: but a sonne. If thou be a sonne, thou arte also an heyre of God, thorowe Christ.
Gal.4.8	Notwithstandynge, when ye knewe not God, ye dyd seruice vnto them which by nature are no Goddes.
Gal.4.9	But nowe after that ye haue knowen God (yee rather are knowen of God) how is it that ye tourne agayn vnto the weake and beggarly ordinaunces, wherunto agayne ye desyre afresshe to be in bondage?
Gal.4.10	Ye obserue dayes, and monethes, and tymes, and yeares.
Gal.4.11	I am in feare of you, lest I haue bestowed on you laboure in vayne.
Gal.4.12	Brethren, I besech you, be ye as I am: for I am as ye are. Ye haue not hurt me at all.
Gal.4.13	Ye knowe how thorowe infirmitie of the flesshe, I preached the Gospell vnto you at the fyrst.
Gal.4.14	And my temptacyon which was in the flesshe, ye despysed not, nether abhorred: but receaued me as an angell of God: euen as Christ Iesus.
Gal.4.15	What is then youre felicyte? for I beare you record, that yf it had bene possible ye wolde haue plucked out your awne eyes, and haue geuen them to me.
Gal.4.16	Am I therfore become your enemye, because I tell you the trueth?
Gal.4.17	They are gelous ouer you amysse. Yee, they intende to exclude you, that ye shuld be feruent to them ward.
Gal.4.18	It is good allwayes to be feruent in a good thinge, and not onely whan I am present with you.
Gal.4.19	My lytell chyldren, of whom I trauayle in byrth agayne, vntill Christ be fasshyoned in you,
