Gen.0.0	¶ The fyrst booke of Moses / called in the Hebrue Bereschit : and in the latyn: Genesis.
Gen.1.1	In the begynnynge God created heauen and earthe.
Gen.1.2	The earth was voyde and emptye: and darcknes was vpon the face of the depe: and the sprete of God moued vpon the face of the waters.
Gen.1.3	And God sayde: let there be made lyght, and there was light made.
Gen.1.4	And God sawe the light that it was good. And God made a diuision betwene the light and darknesse.
Gen.1.5	And God called the light, daye: and the darknesse called he, nyght. And the euenyng and the morning was made one daye.
Gen.1.6	And God sayde: let there be a firmament betwene the waters: and let it make a diuision betwene waters and waters.
Gen.1.7	And God made the firmament, and set a diuision betwene the waters which were vnder the firmament and the waters that were aboue the firmament. And it was so.
Gen.1.8	And God called the firmament, Heauen. The euenynge also and the mornyng was made the second daye.
Gen.1.9	And God sayde: let the waters vnder heauen be gathered together into one place, that the drye lande maye be sene. And so it came to passe.
Gen.1.10	And God called the drye lande Earth: and the gatheryng together of waters called he the sees. And God sawe that it was good.
Gen.1.11	And God sayde: let the earth bring forth grene herbe, which maye engendre seed: and frutefull tre, yeldyng frute after hys kynde, whose seed maye be in it self vpon the earth. And it came to passe.
Gen.1.12	And the earth brought forth grene herbe, makynge seede after hys kynde: and tree yeldynge frute, whose seed was in it selfe after hys kynde. And God sawe that it was good.
Gen.1.13	The euenynge also and the mornynge was made the thyrde daye.
Gen.1.14	And God sayde: let there be made lyghtes in the firmament of heauen: and let them make a difference betwene the daye and the nyght, and let them be vnto signes, and vnto appoynted seasons, and vnto dayes, and vnto yeares.
Gen.1.15	And let them be vnto lyghtes in the firmament of heauen, that they maye geue lyght vpon the earthe. And so it came to passe.
Gen.1.16	And God made two greate lyghtes: a greater lyght to rule the daye, Ꟶ a lesse lyght to rule the night (And he made) sterres also.
Gen.1.17	And God set them in the firmament of heauen, that they myght geue lyght vpon the earth,
Gen.1.18	and that they might rule the daye and the night: and to make a difference betwene the lyght and the darknes. And God sawe that it was good.
Gen.1.19	The euenyng also and the mornyng was made the fourth daye.
Gen.1.20	And God sayde: let the waters bryng forth mouynge creature that hath lyfe, and foule that maye flye vpon the earth in the face of the firmament of heauen.
Gen.1.21	And God created great whalles and euery lyuing and mouyng creature, which the waters brought forth after their kynde: and euery fethered foule after their kynde. And God sawe that it was good.
Gen.1.22	And God blessed them, sayinge: Growe Ꟶ increace and fyll the waters of the see: and let fethred foules be multiplyed in the earth.
Gen.1.23	The euenynge also and the mornyng was made the fyfth daye.
Gen.1.24	And God sayde: let the earth bring forth lyuing creature after his kynde: catell, worme and beast of the erth after his kynde: and so it came to passe.
Gen.1.25	And God made the beast of the earth after his kynde, and catell after their kynde: and euery thynge that crepeth vpon the earth after his kynde. And God sawe that it was good.
