Hab.0.0	¶ The booke of the Prophet Abacuck.
Hab.1.1	This is the heuy burthen, which the Prophet Abacuk dyd se.
Hab.1.2	O Lorde, how longe shall I crie, Ꟶ thou wylt not heare? How longe shall I complayne vnto the, suffrynge wronge, Ꟶ thou wylt not helpe?
Hab.1.3	Why lettest thou me se werynesse and laboure? Tyranny Ꟶ violence are before me, power ouergoeth right:
Hab.1.4	for the lawe is toarne in peces, Ꟶ there can not right iudgement go forth And why? the vngodly is more set by then the ryghtuous: this is the cause, that wronge iudgement procedeth.
Hab.1.5	Beholde, amonge the Heathen, and loke well, wondre at it, and be abashed: for I wyll do a thynge in your tyme, whych though it be tolde you, ye shall not beleue.
Hab.1.6	For lo, I wil rayse vp the Caldees, that bitter and swyfte people: which shall go as wyde as the land is, to take possession of dwelling places, that be not their awne.
Hab.1.7	A grymme and boysterous people is it, these shall sit in iudgement Ꟶ punishe.
Hab.1.8	Their horses are swyfter then the cattes of the mountayne, Ꟶ byte sorer then the wolues in the euening. Their horsemen come by greate heapes from farre, they fle hastely to deuour as the Aegle.
Hab.1.9	They come all to spoyle: out of them commeth an east wynde, whych bloweth and gathereth their captiues, lyke as the sande.
Hab.1.10	They shal mocke the kynges, and laughe the princes to scorne. They shall not set by eny stronge holde, for they shall laye ordinaunce agaynst it, and take it.
Hab.1.11	Then shall they take a fresh corage vnto them, to go forth Ꟶ to do more euel, and so ascribe the power vnto their God.
Hab.1.12	But thou O Lorde my God my holy one, thou art from the begynninge, therfore shal we not dye. O Lord, thou hast ordened them for a punishement, and sett them to reproue the myghtye.
Hab.1.13	Thyne eyes are clene, thou mayest not se euel, thou canst not beholde, the thinge that is wycked. Wherfore then dost thou loke vpon the vngodly, and holdest thy tunge, when the wycked deuoureth the man that is better then him selfe?
Hab.1.14	Thou makest men as the fishe in the see, and lyke as the crepyng beastes, that haue no gyde,
Hab.1.15	they take vp all with their angle, they catch it in their net, Ꟶ gather it in their yarne: wherof they reioice and are glad.
Hab.1.16	Therfore offre they vnto their net, Ꟶ do sacrifice vnto their yarne: because that thorowe it their porcyon is become so fat, Ꟶ their meate so plenteous.
Hab.1.17	Wherfore, they cast out their net agayne, Ꟶ neuer cease to slaye the people.
Hab.2.1	I stode vpon my watch, Ꟶ set me vpon my bulworcke, to loke and se what he wolde saye vnto me, and what answere I shulde geue him that reproued me.
Hab.2.2	But the Lord answered me, Ꟶ sayde: Wryte the vision playnely vpon thy tables, that who so commeth by, maye rede it
Hab.2.3	for the vision is yet farre of for a tyme, but at the last it shal come to passe, Ꟶ not fayle. And though he tary, yet wayte thou for him, for in very dede he will come, Ꟶ not be slacke.
Hab.2.4	Beholde, the vnrighteouse thinketh him selfe in sauegarde as in a strong holde: but the iust shal lyue by his fayth.
Hab.2.5	Lyke as the wyne disceaueth the dronckarde, euen so the proude shall fayle and not endure. He openeth his desire wyde vp as the hel, Ꟶ is as vnsaciable as death. All Heathen gathereth he to hym, and heapeth vnto him all people.
Hab.2.6	But shall not all these take vp a prouerbe agaynst him, Ꟶ mocke him with a byworde, Ꟶ saye: Wo vnto him that heapeth vp other mens goodes? How longe will he lade hym selfe with thicke claye?
Hab.2.7	O how sodenly wyll they stande vp, that shal byte, Ꟶ awake, that shal teare the in peces? yee, thou shalt be their praye?
Hab.2.8	Seinge thou hast spoyled many Heathen, therfore shal the remnaunt of the people spoyle the: because of mens bloude, Ꟶ for the wronge done in the lande, in the citye and vnto all them that dwell therin.
Hab.2.9	Wo vnto him, that couetously gathereth euell gotten goodes into his house: that he maye set hys nest an hye, to escape from the power of misfortune.
Hab.2.10	Thou hast deuysed the shame of thine awne house, for thou hast slayne to moch people, and hast wilfully offended:
Hab.2.11	so that the very stones of the wall shal crie out of it, and the tymbre that lyeth betwyxte the ioyntes of the buylding shall answere.
Hab.2.12	Wo vnto him, that buyldeth the towne with bloude, Ꟶ maynteneth the citye with vnrightuousnes.
Hab.2.13	Shall not the Lord of hostes bringe this to passe, that the labourers of the people shal be brent with a greate fyre, Ꟶ that the thinge wher vpon the people haue weeried them selues, shalbe lost?
Hab.2.14	For the earth shalbe full of knowledge of the Lordes honoure, lyke as the waters that couer the see.
Hab.2.15	Wo vnto him that geueth his neyghboure dryncke, puttynge in gall and makyng him droncken, that he maye se hys preuytees.
Hab.2.16	Therfore with shame shalt thou be filled, in steade of honoure. Dryncke thou also, tyll thou stombre with all: for the cuppe of the Lordes right hande shall compasse the aboute, and shamefull spewing in steade of thy worshype.
