Hos.0.0	¶ The booke of the Prophete Oseas.
Hos.1.1	This is the worde of the Lorde, that came vnto Oseas the sonne of Beery in the days of Oseas, Ioathan, Ahas and Iezekias kynges of Iuda: and in the tyme of Ieroboam sonne of Ioas kinge of Israel.
Hos.1.2	Fyrst, when the Lorde spake vnto Oseas he sayde vnto hym. Go thy waye, take an harlott to thy wyfe, and get chyldren by her: for the lande hath commytted greate whordome agaynst the Lorde.
Hos.1.3	So he wente, Ꟶ toke Gomer the daughter of Deblaim: whych conceaued, and brought forth a sonne.
Hos.1.4	And the Lorde sayde vnto hym: call hys name Iesrael, for I wyll shortly auenge the bloude of Iesrael vpon the house of Iehu, Ꟶ wyll brynge the kyngdome of the house of Israel to an ende.
Hos.1.5	Then wyll I breake the bowe of Israel, in the valley of Iesrael.
Hos.1.6	She conceaued yet agayne, and bare a daughter. And he sayde vnto hym. Call her name. Loruhamah (that is, not optayninge mercy) for I wyll haue no pytie vpon the house of Israel, but forget them and put them cleane out of remembraunce.
Hos.1.7	Neuerthelesse, I wyll haue mercy vpon the house of Iuda, and wyll saue them, euen thorowe the Lorde theyr God. But I wyll not delyuer them thorowe eny bowe, swearde, battell, horses or horsmen.
Hos.1.8	Nowe, when she had weaned Loruhamah, she conceaued agayne, and bare a sonne.
Hos.1.9	Then sayde he: call hys name, Loamy. For why? ye are not my people, therfore will not I be your God.
Hos.1.10	And though the nombre of the chyldren of Israel be as the sande of the see, whych can nether be measured ner tolde: yet in the place where it is sayde vnto them ye be not my people: euen there shall it be thus reported of them they be the chyldren of the lyuynge God.
Hos.1.11	Then shall the chyldren of Iuda and the chyldren of Israel be gathered together agayne and chose them selues one head, and then departe out of the lande: for greate shalbe the daye of Israel.
Hos.2.1	Tell youre brethren, that they are my people: and youre systerne, that they haue optayned mercy.
Hos.2.2	As for youre mother, ye shall chyde wt her, and reproue her for she is not my wyfe, nether am I her husbande, onlesse she put awaye her whordome out of my syght, Ꟶ her aduoutry from her brestes.
Hos.2.3	If no I shall stryppe her naked, Ꟶ sett her euen as she came into the worlde: yee, I shall laye her waste, and make her lyke a wyldernesse, Ꟶ slaye her for thyrste.
Hos.2.4	I shall haue no pite also vpon her children for they be the chyldren of fornicacyon.
Hos.2.5	Their mother hath broken her wedlocke, and she that bare them is come to confusion. For she sayd: I will go after my louers, that geue me my water and my bread, my woll Ꟶ flaxe, my oyle and my dryncke.
Hos.2.6	But I will hedge her waye with thornes, and stoppe it, that she shall not fynde her fotesteppes:
Hos.2.7	and though she runne after her louers, yet shall she not get them: she shall seke them, but not fynde them. Then shall she saye: well, I wyll go turne againe to my fyrst housbande, for at that tyme was I better at ease, then nowe
Hos.2.8	But this wolde she not knowe, where as I yet gaue her corne, wyne, oyle, syluer Ꟶ gold whych she hath hanged vpon Baal.
Hos.2.9	Wherfore, nowe will I go take my corne and wyne agayne in their season, and fet agayne my woll Ꟶ my flax, whych I gaue her, to couer her shame.
Hos.2.10	And nowe will I discouer her foolyshnesse, euen in the syght of her louers, Ꟶ no man shall delyuer her out of my handes.
Hos.2.11	Moreouer, I will take awaye all her myrth her holy dayes, her newmoones; her Sabbathes and all her solempne feastes:
Hos.2.12	I wyll destroye her vyneyardes Ꟶ fygg trees, though she sayeth: lo, heare are my rewardes, that my louers haue geuen me. I wyll make it a wodde, and wylde beestes shall eate it vp.
Hos.2.13	I wyll punysh her also for the dayes of Baal wherin she censed hym, deckynge hym wyth her earynges Ꟶ cheynes: when she folowed her louers, and forgat me, sayeth the Lorde.
Hos.2.14	Wherfore beholde, I wyll call her agayne bringe her into a wyldernes, Ꟶ speake frendly vnto her:
Hos.2.15	there will I geue her her vyniardes agayne, yee Ꟶ the valley of Achor also to shewe her hope and comforte. Then shall she synge there as in the tyme of her youth, and lyke as in the daye when she came out of the lande of Egypte.
Hos.2.16	Then (sayeth the Lorde she shall saye vnto me) O my housbande, Ꟶ shall call me nomore Baal:
Hos.2.17	for I wyll take awaye those names of Baal from her mouth, yee, she shall neuer remembre their names eny more.
Hos.2.18	Then wyll I make a couenaunt with them, with the wylde beastes, with the foules of the ayre, and wyth euery thynge that crepeth vpon the earth. As for bowe, swerde and battel, I will destroye soch out of the lande, Ꟶ wyll make them to slepe safely.
Hos.2.19	Thus wyll I mary the vnto myne awne selfe for euermore: yee, euen to my selfe wyll I mary the, in ryghteousnesse, in equite, in louynge kyndnesse and mercy.
