Isa.0.0	¶ The booke of the prophete Esay
Isa.1.1	The vision of Esay the sonne of Amos which he sawe vpon Iuda and Ierusalem: in the dayes of Uzia and Ioatham, Ahaz Ꟶ Iehezikiah kynges of Iuda.
Isa.1.2	Heare, O heauen, Ꟶ Herken O earth: For the Lorde hath spoken: I haue norished and promoted children, but they haue done wyckedly against me.
Isa.1.3	The oxe hath knowne his owner Ꟶ the asse his masters cribb: but Israel hath receaued no knowledge, my people hath no vnderstandyng.
Isa.1.4	Alas for thys synfull nacion, a people of great iniquitie: a seed of vngracious people corruptinge ther wayes. They haue forsaken the Lorde, they haue prouoked the holy one of Israel vnto anger, and are gone backward.
Isa.1.5	Wherby shulde ye be plaged any more for ye are euer fallinge awaye. The whole head is syck, Ꟶ the hert is heuy.
Isa.1.6	From the sole of the fote vnto the head, there is no whole parte in all your body: but all are woundes, botches, sores, Ꟶ strypes, whych can nether be helped, bounde vp, molifyed, ner eased wt any oyntment.
Isa.1.7	Your land lyeth waste, your cyties are brent vp, your enemyes deuoure youre lande, Ꟶ ye must be fayne to stande, Ꟶ loke vpon it: Ꟶ it is desolate, as they were subuerted that were alienate from the Lorde.
Isa.1.8	Moreouer, the daughter of Syon ys left alone lyke a cotage in a vineyard, lyke a lodge in a garden of cucumbers, lyke a wasted cytie.
Isa.1.9	And excepte the Lorde of Hostes had left vs a fewe alyue: we shuld haue bene as Sodoma, and lyke vnto Gomorra.
Isa.1.10	Heare the worde of the lorde ye Lordes of Sodoma: Ꟶ herken vnto the lawe of our God, thou people of Gomorra.
Isa.1.11	Why offre ye so many sacrifices vnto me saith Lorde? I am full of the brentoffrynges of wethers, and of the fatnesse of fedbeastes. I haue no pleasure in the bloud of bullokes, lambes and goates.
Isa.1.12	When ye come to apeare before me, who requireth this of you to treade within my porches?
Isa.1.13	Therfore offre me no mo oblacions, for it is but lost laboure. Incense is an abhominable thinge vnto me. I Maye not awaye with youre newe moones, your Sabbathes Ꟶ gatheringe togyther at the solempne dayes.
Isa.1.14	I hate your newe mone dayes Ꟶ solempne feastes, euen fro my very hert. I can not awaye wt suche vanitie Ꟶ holdinge in of the people.
Isa.1.15	They lye vpon me as a burthen, and I am wery of beringe them. Whan ye holde out your handes, I will turne myne eyes from you. And though ye make many prayers, yet wil I heare nothynge at all, seyng your handes are ful of bloude.
Isa.1.16	Wash you therfore, and make you cleane, put awaye your euell ententes out of my syght, cease from doynge of euell.
Isa.1.17	Lerne to do ryght, applye your selues to equite, delyuer the oppressed, helpe the fatherles to his ryght, let the widowes complainte come before you.
Isa.1.18	Come I praye ye (sayeth the Lorde) let vs reason oure matter together. Though youre sinnes be as read as scarlet, thei shalbe as white as snowe. And though they were lyke purple, they shalbe as whit as wolle.
