Jas.0.0	¶ The Epistle of Saynct Iames.
Jas.1.1	Iames the seruaunt of God Ꟶ of the Lorde Iesus Christ, sendeth gretyng to the twelue trybes which are scattered abroade.
Jas.1.2	My brethren, count it for an excedyng ioye, when ye fall into diuers temptacyons:
Jas.1.3	knowyng this, that the trying of your fayth gendreth pacience:
Jas.1.4	and let pacience haue her parfect worke, that ye maye be parfecte and sounde, lackyng nothyng.
Jas.1.5	If eny of you lacke wysdome, let hym aske of him that geueth it: euen God, which geueth to all men indifferentlye, and casteth no man in the teeth: and it shalbe geuen him.
Jas.1.6	But let him aske in fayth, and wauer not, For he that douteth, is lyke a waue of the see, which is tost of the wyndes and caryed with violence.
Jas.1.7	Nether let that man thinke, that he shall receaue eny thing of the Lorde.
Jas.1.8	A wauerynng mynded man, is vnstable in all his wayes.
Jas.1.9	Let the brother which is of lowe degre reioyce whan he is exalted.
Jas.1.10	Agayne: let hym that is riche, reioyce whan he is made lowe. For euen as the flower of the grasse, shall he passe awaye.
Jas.1.11	For as the sonne ryseth with heat, Ꟶ the grasse wydereth, Ꟶ hys flower falleth awaye, and the beautie of the fassyon of it perissheth: euen so shall the rich man perisshe in his wayes.
Jas.1.12	Happy is the man that endureth temptacyon: for when he is tryed, he shall receaue the crowne of lyfe, which the Lorde hath promysed to them that loue hym.
Jas.1.13	Let no man saye when he is tempted, that he is tempted of God, for as God can not be tempted with euill, so nether he hymselfe tempt the eny man.
Jas.1.14	But euery man is tempted, whan he is drawne awaye, Ꟶ entysed of hys awne concupiscence.
Jas.1.15	Then, when lust hath conceaued, she bryngeth forth synne: Ꟶ synne when it is finisshed, bryngeth forth deeth.
Jas.1.16	Do not erre my deare brethren,
Jas.1.17	Euery good gyfte, and euery parfayt gyft, is from aboue, and commeth downe from the father of lyghtes wt whome is no variablenes, nether is he chaunged vnto darcknes.
Jas.1.18	Of hys awne wyll begat he vs with the worde of trueth, that we shulde be the fyrst frutes of hys creatures.
Jas.1.19	Wherfore (deare brethren) let euery man be swyfte to heare, slowe to speake, slowe to wrath.
Jas.1.20	For the wrath of man worketh not that which is ryghteous before God.
Jas.1.21	Wherfore laye a parte all fylthynes Ꟶ superfluyte of maliciousnes, and receaue wt meknes, the worde that is graffed in you, which is able to saue your soules.
Jas.1.22	And se that ye be doars of the worde Ꟶ not hearers onely, deceauing your awne selues.
Jas.1.23	For yf eny man heare the worde and declareth not the same by his workes, he is lyke vnto a man beholding his bodely face in a glasse.
Jas.1.24	For assone as he hath loked on hym selfe, he goeth his waye, Ꟶ forgetteth immediatly what hys fassyon was.
Jas.1.25	But who so loketh in the parfayt lawe of libertye, and contynueth therin (yf he be not a forget full hearer, but a doar of the worke) the same shalbe happye in his dede.
Jas.1.26	If eny man among you seme to be deuoute Ꟶ, refrayneth not hys tong, but deceaueth hys awne hert, thys mannes deuocyon is in vayne.
Jas.1.27	Pure deuocyon and vndefyled before God the father, is this: to visyt the fatherlesse Ꟶ widdowes in theyr aduersyte, Ꟶ to kepe him selfe vnspotted of the worlde.
Jas.2.1	My brethren, esteme not the fayth of our Lorde Iesus Christ the Lorde of glory wt respecte of persons.
Jas.2.2	For if ther come into youre company a man wearyng a golden ryng, clothed in goodly aparell, and ther come in also a poore man in vyle rayment,
Jas.2.3	Ꟶ ye haue a respecte to him that weareth the gaye clothing, and say vnto him: Syt thou here in a good place: and saye vnto the poore: stande thou there, or syt here vnder my fote stole:
Jas.2.4	are ye not parciall in youre selues, and haue iudged after euyll thoughtes?
Jas.2.5	Harken my deare beloued brethren. Hath not God chosen the poore of thys worlde, soch as are ryche in faythe, Ꟶ heyres of the kyngdome, whych he promysed to them that loue hym?
