Jer.0.0	¶ The boke of the prophete Ieremye.
Jer.1.1	These are the Sermons of Ieremy the sonne of Helkiah the Preste, one of them that dwelt at Anathoth in the lande of Ben Iamin:
Jer.1.2	when the Lorde had fyrst spoken with him, in the tyme of Iosiah the sonne of Amon kynge of Iuda, in the .xiij. yeare of his reygne:
Jer.1.3	and so durynge vnto the tyme of Iehoakim the sonne of Iosiah kynge of Iuda, and vntyll the .xi. yeare of zedekiah the sonne of Iosiah kynge of Iuda were ended: when Ierusalem was taken, euen in the fyfth Moneth.
Jer.1.4	The worde of the Lorde spake thus vnto me:
Jer.1.5	Before I fasshioned the in thy mothers wombe, I dyd knowe the. And or euer thou wast borne, I sanctifyed the, and ordeyned the, to be a prophete vnto the people.
Jer.1.6	Then sayde I: Oh Lorde God, I canne not speake, for I am yet but younge.
Jer.1.7	And the Lorde answered me thus: Saye not so, I am to younge: For thou shalt goo to all that I shall sende the vnto, and whatsoeuer I commaunde the, that shalt thou speake.
Jer.1.8	Be not afrayed of their faces, for I am with the, to delyuer the, sayeth the Lorde.
Jer.1.9	And with that, the Lorde stretched oute his hande, and touched my mouth, Ꟶ the same lorde sayde vnto me. Behold, I put my wordes in thy mouth,
Jer.1.10	and beholde thys daye do I set the ouer the people Ꟶ kyngdomes: that thou mayest rote out, breake of, destroye, Ꟶ make waste: and that thou mayest buylde vp Ꟶ plante.
Jer.1.11	After this, the Lorde spake vnto me sayinge: Ieremy, what seyst thou? And I sayde: I se a rodde of an almond tree.
Jer.1.12	Then sayde the Lorde vnto me: thou hast sene right, for I wyll make haste spedelye vpon my worde, to perfourme it.
Jer.1.13	It happened afterwarde, that the Lorde spake to me agayne, and sayde: What seest thou? And I sayde: I do se a seethynge pot, lokynge from out of the north.
Jer.1.14	Then sayde the Lorde vnto me: Out of the north shall come a plage vpon all the dwellers of the lande.
Jer.1.15	For lo I wyll call all the kinredes of the kyngdomes of the north (sayeth the Lorde.) And they shall come, Ꟶ euery one shall sett his seate in the gates of Ierusalem, and in all their walles rounde aboute Ꟶ in all cyties of Iuda.
Jer.1.16	And thorowe them shall I declare my iudgement, vpon all the wyckednesse of those men that haue forsaken me: that haue burnt incense vnto straunge goddes, Ꟶ worshypped the workes of there awne handes.
Jer.1.17	And therfore girde vp thy loynes, aryse, and tell them all, that I geue the in commaundement. Feare them not, lest I destroye the before them.
Jer.1.18	For beholde, this daye do I make the a stronge fensed towne, an yron pyler, and a brasen wall agaynst the whole lande, agaynst the kynges and myghtye men of Iuda, agaynst the prestes and people of the lande.
Jer.1.19	They shall fyght agaynst the: but they shall not be able to ouercomme the for I am wyth the, to delyuer the, sayeth the Lorde.
Jer.2.1	Moreouer, the worde of the Lorde came vnto me sayinge:
Jer.2.2	Go thy waye, crye in the eares of Ierusalem, Ꟶ saye: Thus sayeth the Lord: I remembre the, for the kyndenesse of thy youth, and because of thy stedfast loue: at the tyme of thy despousynge, in that thou folowdest me thorowe the wyldernesse, in an vntylled lande.
Jer.2.3	Israel was an halowed thynge vnto the Lorde, and so was his fyrst frutes. All they that deuoure Israel shall offende: mysfortune shall fall vpon them, sayeth the Lorde.
Jer.2.4	Heare therfore the worde of the Lorde, O thou house of Iacob, and all the generacyons of the house of Israel.
Jer.2.5	Thus sayeth the Lorde. What vnfaythfulnesse founde youre fathers in me, that they wente so farre awaye fro me, fallynge to lightnesse, and beynge so vayne?
Jer.2.6	They thought not in their hertes. Where haue we left the Lorde, that brought vs oute of the lande of Egypte that led vs thorowe the wildernesse, thorowe a deserte Ꟶ rough lande, thorowe a drye and a deedly lande, yee, a lande that no man had gone thorowe, and wherin no man had dwelt.
Jer.2.7	And when I had brought you into a pleasaunt welbuylded lande, that ye myght enioye the frutes and all the commodyties of the same: ye went forth and defyled my lande, Ꟶ brought myne herytage to abhominacyon.
Jer.2.8	The Prestes them selues sayde not: Where is the Lorde? They that had the lawe in theyr handes, knewe me not: The shepherdes offended agaynst me. The prophetes dyd seruyce vnto Baal, Ꟶ folowed soch thynges as shall brynge them no profyt.
Jer.2.9	Wherfore, I am constrayned (sayeth the Lord) to make my complaynte vpon you, Ꟶ vpon youre childers chyldren.
Jer.2.10	Go in to the Iles of Cethim, and loke well: sende vnto Cedar, take diligent hede: and se, whether soch thynges be done there,
Jer.2.11	whether the Gentils them selues deale so falsly and vntruly wt their goddes, (which yet are no goddes in dede) But my people hath geuen ouer their hye honoure, for a thynge that maye not helpe them.
Jer.2.12	Be astonyshed (O ye heauens) be afrayde, Ꟶ abashed at soch a thinge, sayeth the Lorde.
Jer.2.13	For my people hath done two euels. They haue forsaken me the well of the water of lyfe, and dygged them pyttes, yee vyle and broken pyttes, that can holde no water.
Jer.2.14	Is Israel a bonde seruaunt, or one of the housholde? Why then is he so spoyled?
Jer.2.15	Why do they roare and crye then vpon him, as a lyon? They haue made his lande waste, hys cyties are so brent vp, that there is no man dwellynge in them.
Jer.2.16	Yee, the chyldren of Noph and Taphnes haue defyled thy neck.
Jer.2.17	Commeth not this vnto the, because thou hast forsaken the Lorde thy God, euer sence he led the by the waye?
Jer.2.18	And what hast thou now to do in the strete of Egypte? to drincke the water of Nilus? Ether, what makest thou in the waye of Assyria? To dryncke water of the floude?
