Job.0.0	¶ The boke of Iob.
Job.1.1	In the lande of Hus there was a man whose name was Iob: Ꟶ the same was a perfect Ꟶ iust man, soch a one as feared God Ꟶ exchued euell.
Job.1.2	And he had seuen sonnes, Ꟶ thre daughters
Job.1.3	His substaunce also was seuen .M. shepe, Ꟶ thre .M. camels, .v.C. youck of oxen, Ꟶ fyue .C. she asses, and a very greate housholde: so that he was one of the most principall men among all them of the east countre.
Job.1.4	And his sonnes went and made banckettes: one daye in one house, another daye in another, and sent for theyr thre systers, to eat Ꟶ drincke with them.
Job.1.5	And it fortuned, that when they had passed ouer the tyme of their bancketting rounde aboute, Iob sent for them, and sanctified them, and gat vp early, and offered for euery one a brentofferynge. For Iob sayde: lest peraduenture my sonnes haue done some offence, Ꟶ haue bene vnthankfull to God in their hertes. Thus did Iob euery daye.
Job.1.6	And vpon a daye when the children of God cam Ꟶ stode before the Lord, it fortuned that Sathan cam also among them.
Job.1.7	And the Lorde sayde vnto Sathan. From whence commest thou? Sathan answered the Lord, and sayde: I haue gone about the lande, and walcked thorow it.
Job.1.8	And the Lorde sayde vnto Sathan: hast thou not considered my seruaunt Iob, how that there is none lyke him in the land? a perfect Ꟶ a iust man: soch a one as feareth God, and exchueth euell?
Job.1.9	Sathan answered, and sayde vnto the Lord. Doth Iob feare God for naught?
Job.1.10	hast thou not preserued him, Ꟶ his house, and all that he hath on euery syde? Thou hast blessed the worckes of hys handes, and hys possessyon is encreased in the lande.
Job.1.11	But laye thyne hand now vpon hym and touch all that he hath, and he shal curse the to thy face.
Job.1.12	And the Lorde sayde vnto Satan: lo, all that he hath, be in thy power: onely vpon hym selfe se that thou laye not thyne hande. And Satan went forth from the presence of the Lorde.
Job.1.13	And vpon a certayn daye it fortuned, that his sonnes and daughters were eatyng and drincking wyne in their eldest brothers house,
Job.1.14	and there came a messenger vnto Iob, and sayde: Whyle the oxen were a plowyng, and the asses goynge in the pasture besyde them,
Job.1.15	the Sabees came in vyolently, and toke them awaye: yee, they haue slayne thy seruauntes with the edge of the sweard, and I onely ranne my waye, to tell the.
Job.1.16	Whyle he was yet speakyng, there came another, and sayde: The fyre of God is fallen from heauen, and hath brent vp all thy shepe and seruantes, and consumed them: Ꟶ I onely ranne my waye, to tell the.
Job.1.17	And whyle he was yet speakinge, there came another, and sayde: The Caldees made thre armyes, and fell in vpon the camels, and haue caryed them awaye, yee, and slayne thy seruauntes with the swearde: and I onely am gotten awaye, to tell the.
Job.1.18	And whyle he was yet speakyng, there came another, and sayde: Thy sonnes and thy daughters were eatynge and drynckynge wyne in theyr eldest brothers house,
Job.1.19	and beholde, there came a myghtye greate wynde out of the south, and smote the foure corners of the house: which fell vpon thy children, and they are deed, and I am gotten a waye alone to tell the.
Job.1.20	Then Iob stode vp, and rent his clothes, and shaued hys heade, fell downe vpon the grounde, worshipped,
Job.1.21	and sayd: Naked came I out of my mothers wombe, and naked shall I turne thyther agayne. The Lord gaue, and the Lorde hath taken awaye blessed be the name of the Lord.
Job.1.22	In all these thynges dyd Iob not offende, ner murmured foolyshly agaynst God.
Job.2.1	And the children of God came and stode before the Lorde, and Satan came also amonge them, and stode before the Lorde.
Job.2.2	And the Lord sayde vnto Satan: From whence commest thou? Satan answered the Lorde, and sayde: I haue gone about the land, and walcked thorow it.
Job.2.3	And the Lorde sayde vnto Satan: hast thou not consydered my seruaunt Iob? for there is none lyke him in the land. For he is a perfect and iust man, soch a one as feareth God, and exchueth euell, Ꟶ contynueth styll in hys godlynesse. And thou mouedest me agaynst him, that I shulde punysh him for naught.
Job.2.4	And Satan answered the Lord, Ꟶ sayde: Skyn for skynne? yee, a man wyll geue all that euer he hath, for his lyfe.
Job.2.5	But laye thyne hand now vpon him, and touch once his bone and flesh, and he shall curse the to thy face.
Job.2.6	And the Lorde sayde vnto Satan: lo, there hast thou hym in thy power, but spare hys lyfe.
Job.2.7	So went Satan forth from the presence of the Lord, and smote Iob with maruelous sore byles, from the sole of hys fote vnto hys crowne:
Job.2.8	so that he sat vpon the ground in the asshes, and scraped of the fylth of hys sores with a potsherde.
Job.2.9	Then sayde hys wyfe vnto hym: Dost thou contynue yet in thy perfectnesse? curse God Ꟶ dye.
Job.2.10	But Iob sayde vnto her: Thou speakest lyke a folysh woman. Shal we receaue prosperite at the hand of God, and not receaue aduersite? In all these thinges, did not Iob synne with his lyppes.
Job.2.11	Now when Iobs frendes hearde of all the trouble, that happened vnto hym, there came thre of them, euery one from hys awne place: namely, Eliphas the Themanite, Bildad the Suhite, Ꟶ zophad the Naamathite. And they were agreed together to come, to shewe their compassion vpon him, and to comforte hym.
