Joel.0.0	¶ The booke of Ioel the prophete,
Joel.1.1	Thys is the worde of the Lorde, that came vnto Ioell the sonne of Phatuel.
Joel.1.2	Heare, O yee elders: pondre this well, all ye that dwell in the lande: yf euer there happened soch a thinge in your dayes, or in the dayes of youre fathers.
Joel.1.3	Tell youre chyldren of it, and lett them shewe it vnto their chyldren, and so they to certifye theyr posteryte therof.
Joel.1.4	Loke what the caterpyller hath lefte, that hath the greshoper eaten vp: what the greshoper lefte, that hath the locuste eaten vp: and what the locuste hath left, that hath the blastynge consumed.
Joel.1.5	Wake vp ye dronckardes, and wepe: mourne all ye wynesuppers, because of youre swete wyne, for it shall be taken awaye from youre mouth.
Joel.1.6	Yee, a myghtye and an innumerable people shall come vp into my lande: these haue teeth lyke the teeth of lyons, and chaftbones lyke the lyonesses.
Joel.1.7	They shall make my vyneyarde waste, they shall pyll of the darckes of my fyggetrees, strype them bare, cast them awaye, and make the braunches whyte.
Joel.1.8	Make thy moone as a vyrgin doth that gyrdeth her selfe with sacke, because of her bryde grome.
Joel.1.9	For the meate and drynckoffringe shalbe taken awaye from the house of the Lorde, and the prestes the Lordes minysters shall mourne.
Joel.1.10	The felde shalbe wasted, the lande shalbe in a myserable case: for the corne shalbe destroyed, the swete wyne shall come to confusyon, and the oyle vtterly desolate.
Joel.1.11	The housbandmen and the wyne gardeners shall loke pyteously and make lamentacyon, for the wheate, wyne and barly, and because the haruest vpon the felde is so clene destroyed.
Joel.1.12	The grapegatherers shall make greate mone, when the vyneyarde and fyggetrees be so vtterly wasted. Yee, all the pomgarnettes, palmetrees, apletrees, Ꟶ the other trees of the felde shall wyther awaye. Thus the mery cheare of the chyldren of men, shall come to confusyon.
Joel.1.13	Gyrde you, and make youre mone, O ye prestes, mourne ye minystres of the aulter: goo your waye in, and slepe in sack cloth, O ye officiers of my God: for the meat Ꟶ drinkofferinge shall be taken awaye from the house of youre God.
Joel.1.14	Proclayme a fastinge, call the congregacyon, gather the elders and all the inhabitours of the lande together into the house of the Lorde your God, and crye vnto the Lorde:
Joel.1.15	alas, alas for thys daye. And why? the daye of the Lorde is at hande, and cometh as a destroyer from the almyghtye.
Joel.1.16	Shall not the meates be taken awaye before oure eyes, the myrth also and ioye from the house of our God?
Joel.1.17	The sede shall peryshe in the grounde, the garners shall lye waste, the flores shalbe broken downe, for the corne shall be destroyed.
