John.0.0	¶ The Gospell of Sayncte Iohn.
John.1.1	In the begynnynge was the worde, and the worde was wyth God: and God was the worde.
John.1.2	The same was in the begynnyng wyth God.
John.1.3	All thinges were made by it, Ꟶ wythout it, was made nothynge that was made.
John.1.4	In it was lyfe, and the lyfe was the lyght of men,
John.1.5	and the lyght shyneth in darcknes, and the darcknes comprehended it not.
John.1.6	There was sent from God a man, whose name was Iohn.
John.1.7	The same cam as a wytnes to beare wytnes of the lyght, that all men through hym myght beleue.
John.1.8	He was not the lyght: but was sent to beare wytnes of the lyght.
John.1.9	That lyght was the true lyght, whych lyghteth euery man that cometh into the worlde.
John.1.10	He was in the worlde, and the worlde was made by hym: and the worlde knewe hym not.
John.1.11	He cam amonge hys awne, and hys awne receaued him not.
John.1.12	But as many as receaued hym to them gaue he power to be the sonnes of God: euen them that beleued on hys name:
John.1.13	whych were borne, not of bloude nor of the wyll of the flesshe, nor yet of the wyll of man: but of God.
John.1.14	And the same worde became flesshe, and dwelt amonge vs: and we sawe the glory of it, as the glory of the onely begotten sonne of the father, full of grace and trueth.
John.1.15	Iohn beareth wytnes of hym, and cryeth sayinge: Thys was he of whom I spake: which though he came after me, went before me, for he was before me.
John.1.16	And of hys fulnes haue all we receaued, euen grace for grace.
John.1.17	For the lawe was geuen by Moses, but grace Ꟶ trueth came by Iesus Christ.
John.1.18	No man hath sene God at eny tyme. The onely begotten sonne, whych is in the bosome of the father, he hath declared hym.
John.1.19	And thys is the recorde of Iohn: when the Iewes sent Prestes and Leuites from Ierusalem, to aske hym, what art thou?
John.1.20	And he confessed Ꟶ denyed not, Ꟶ sayde playnly. I am not Chryst.
John.1.21	And they asked him: what then? art thou Helyas? And he sayeth: I am not. Arte thou that Prophete? And he answered no.
John.1.22	Then sayde they vnto hym: what art thou, that we maye geue an answer to them that sent vs. What sayest thou of thy selfe?
John.1.23	He sayde I am the voyce of a criar in the wildernes, make strayght the waye of the Lorde, as sayde the Prophete Esaias.
John.1.24	And they whych were sent, were of the Pharyses:
John.1.25	And they asked him, Ꟶ sayde vnto him: why baptisest thou then, yf thou be not Christ, nor Helias, nether that Prophet?
John.1.26	Iohn answered them sayinge I baptise with water: but there stondeth one amonge you, whom ye knowe not,
John.1.27	he it is which though he came after me, was before me, whose sho latchet I am not worthy to vnlose.
John.1.28	These thynges were done in Bethabara beyonde Iordan where Iohn dyd baptise.
John.1.29	The nexte daye, Iohn seeth Iesus comminge vnto hym, and sayeth beholde the lambe of God, whych taketh awaye the synne of the worlde.
John.1.30	Thys is he of whom I sayd: After me cometh a man, whych went before me, for he was before me,
John.1.31	and I knewe him not: but that he shuld be declared to Israell, therfore am I come baptysinge with water.
John.1.32	And Iohn bare recorde, sayinge: I sawe the sprete descende from heauen, lyke vnto a doue, Ꟶ abode vpon him,
John.1.33	and I knewe hym not. But he that sent me to baptise in water, the same sayde vnto me: vpon whom thou shalt se the sprete descende, and tary styll on hym, the same is he whych baptiseth wyth the holy goost.
John.1.34	And I sawe, and bare recorde, that he is the sonne of God.
John.1.35	The nexte daye after, Iohn stode agayne, Ꟶ two of his disciples,
John.1.36	and he behelde Iesus as he walked by, Ꟶ sayeth: beholde the lambe of God.
John.1.37	And the two disciples hearde hym speake, and they folowed Iesus.
John.1.38	And Iesus turned about, and sawe them folowe hym, Ꟶ sayeth vnto them: what seke ye? They sayd vnto hym: Rabbi (whych is to saye yf one interprete it Master) where dwellest thou?
John.1.39	He sayeth vnto them: come Ꟶ se. They came, Ꟶ sawe where he dwelt: Ꟶ abode with hym that daye. For it was about the tenth houre.
John.1.40	One of the two which hearde Iohn speake, and folowed him, was Andrew Simon Peters brother.
John.1.41	The same founde hys brother Simon fyrst, and sayeth vnto him: we haue founde Messias (whych is by interpretacion, annoynted)
John.1.42	and brought him to Iesus. And Iesus behelde hym, and sayde: thou art Simon the sonne of Ionas, thou shalt be called Cephas: which is by interpretacion a stone.
John.1.43	The daye folowyng. Iesus wolde go into Galile, and founde Philip, and sayeth vnto him: folowe me
John.1.44	Philip was of Bethsaida the citie of Andrew and Peter.
John.1.45	Philip founde Nathanael, and sayeth vnto him: We haue founde hym, of whome Moses in the lawe and the Prophetes dyd wryte, Iesus the sonne of Ioseph of Nazareth.
John.1.46	And Nathanael sayd vnto him can there eny good thynge come out of Nazareth? Philip sayeth vnto him come and se.
John.1.47	Iesus sawe Nathanael comynge to him, Ꟶ sayeth of him: Beholde a ryght Israelyte, in whom is no gyle.
John.1.48	Nathanael sayeth vnto him: whence knowest thou me? Iesus answered, and sayde vnto him. Before that Philip called the, when thou wast vnder the fygge tree, I sawe the.
John.1.49	Nathanael answered and sayd vnto him: Rabbi, thou art euen the very sonne of God, thou art the kyng of Israel.
John.1.50	Iesus answered, and sayde vnto him: Because I sayde vnto the, I sawe the vnder the fygge tree, thou beleuest. Thou shalt se greater thynges then these.
John.1.51	And he sayeth vnto him: Uerely, verely, I saye vnto you: herafter shall ye se heauen open, Ꟶ the angels of God ascendynge Ꟶ descendynge ouer the sonne of man.
John.2.1	And the thyrd daye, was ther a mariage in Cana a cytie of Galile, Ꟶ the mother of Iesus was there.
John.2.2	And Iesus was called (Ꟶ his disciples) vnto the mariage
John.2.3	And when the wyne fayled, the mother of Iesus sayeth vnto him: they haue no wyne.
John.2.4	Iesus sayeth vnto her: woman what haue I to do wyth the, myne houre is not yet come.
John.2.5	His mother sayeth vnto the ministres: whatsoeuer he sayeth vnto you, do it.
John.2.6	And ther were standynge there, syxe waterpottes of stone after the maner of the purifyenge of the Iewes, contaynynge two or thre fyrkins a pece.
John.2.7	Iesus sayeth vnto them: fyll the water pottes with water. And they fylled them vp to the brym.
John.2.8	And he sayeth vnto them: drawe out now, Ꟶ beare vnto the gouerner of the feaste And they bare it.
John.2.9	When the ruler of the feast had tasted the water that was turned vnto wyne, and knewe not whence it was (but the mynistres whych drue the water knewe) He calleth the brygdegome,
John.2.10	and sayeth vnto hym: Euery man at the begynninge doth sett forth good wyne, and when men be droncke, then that whych is worse. But thou hast kept the good wyne, vntyll now.
John.2.11	Thys begynninge of myracles dyd Iesus in Cana of Galile, and shewed hys glory, Ꟶ his disciples beleued on him.
John.2.12	After this he wente downe to Capernaum, he Ꟶ his mother, and his brethren, and his disciples, and there continued not manye dayes.
John.2.13	And the Iewes ester was euen at hande, and Iesus went vp to Ierusalem,
John.2.14	Ꟶ founde syttynge in the temple, those that solde oxen and shepe and doues, Ꟶ chaungers of money.
John.2.15	And when he had made (as it were) a scourge of smal coardes, he droue them all out of the temple, with the shepe Ꟶ oxen, and powred out the chaungers money, and ouerthrue the tables,
John.2.16	Ꟶ sayde vnto them that solde doues: Haue these thinges hence, Ꟶ make not my fathers house an house of marchaundyse.
John.2.17	And his disciples remembred it that is wrytten: the zele of thyne house hath euen eaten me.
John.2.18	Then answered the Iewes and sayde vnto him: what token shewest thou vnto vs, seinge that thou dost these thynges?
John.2.19	Iesus answered Ꟶ sayde vnto them: destroye thys temple, and in thre dayes I wyll reare it vp.
John.2.20	Then sayde the Iewes .xlvj. yeres was thys temple a byldynge: Ꟶ wylt thou reare it vp in thre dayes?
John.2.21	But he spake of the temple of his body.
John.2.22	Assone therfore as he was rysen from deeth agayne, his disciples remembred that he thus had sayde. And they beleued the scripture, Ꟶ the wordes which Iesus had sayde
John.2.23	When he was in Ierusalem at Easter in the feast daye, many beleued on his name, when they sawe his myracles whych he dyd.
John.2.24	But Iesus dyd not commit him selfe vnto them, because he knewe all men,
John.2.25	and neded not, that eny man shuld testifye of him. For he knewe what was in man.
John.3.1	Ther was a man of the Pharises named Nycodemus, a ruler of the Iewes.
John.3.2	The same cam to Iesus by nyght, and sayde vnto him: Rabbi, we knowe that thou arte a teacher come from God: for no man coulde do suche myracles as thou doest, except God were wt him.
John.3.3	Iesus answered Ꟶ sayd vnto him: Uerely, verely, I saye vnto the, except a man be borne from aboue, he cannot se the kyngdom of God.
John.3.4	Nicodemus sayeth vnto hym how can a man be borne when he is olde? can he enter into hys mothers wombe and be borne agayne?
John.3.5	Iesus answered verely, verely, I saye vnto the: except a man be borne of water Ꟶ of the sprete, he cannot enter into the kyngdom of God,
John.3.6	That whych is borne of the flesshe, is flesshe, and that which is borne of the sprete, is sprete.
John.3.7	Maruayle not thou that I sayd to the, ye must be borne from aboue.
John.3.8	The wynde bloweth where it lysteth, Ꟶ thou hearest the sounde therof but canst not tell whence it commeth Ꟶ whether it goeth. So is euery one that is borne of the sprete.
John.3.9	Nicodemus answered and sayde vnto hym how can these thynges be?
John.3.10	Iesus answered Ꟶ sayde vnto hym: art thou a master in Israel, Ꟶ knowest not these thinges?
John.3.11	Uerely, verely I saye vnto the: we speake that we do knowe, Ꟶ testify that we haue sene: and ye receaue not oure wytnes.
John.3.12	If I haue tolde you earthly thinges, and ye beleue not: how shall ye beleue, yf I tell you of heauenly thynges.
John.3.13	And no man ascendeth vp to heauen, but he that came doune from heauen, euen the sonne of man whych is in heauen:
John.3.14	And as Moses lyfte vp the serpent in the wyldernes, euen so must the sonne of man be lyfte vp,
John.3.15	that whosoeuer beleueth in him, perysshe not, but haue eternall lyfe.
John.3.16	For God so loue the worlde, that, he gaue is only begotten sonne, that whosoeuer beleueth in him, shulde not perisshe, but haue euerlastyng lyfe.
John.3.17	For God sent not his sonne into the worlde, to condempne the worlde but that the world through him myght be saued.
John.3.18	He that beleueth on him, is not condemned. But he that beleueth not, is condemned all ready, because he hath not beleued in the name of the onely begotten sonne of God,
John.3.19	And thys is the condemnacion: that lyght is come into the world, and men loued darcknes more then light, because their dedes were euyll.
John.3.20	For euery one that euyll doeth, hateth the lyght: nether commeth to the lyght, lest his dedes shuld be reproued.
John.3.21	But he that doth trueth, commeth to the lyght, that hys dedes maye be knowen, how that they are wrought in God.
John.3.22	After these thinges cam Iesus Ꟶ his disciples into the land of Iewry Ꟶ ther he taried with them. and baptysed,
John.3.23	And Iohn also baptised in Enon besydes Salim, because ther was moch water there, Ꟶ they came Ꟶ were baptised.
John.3.24	For Iohn was not yet cast into preson.
John.3.25	And ther arose a question betwene Iohns disciples and the Iewes, aboute purifyinge.
John.3.26	And they came vnto Iohn, Ꟶ sayde vnto him: Rabbi, he that was wyth the beyonde Iordan (to whom thou barest wytnes) beholde the same baptiseth Ꟶ all men come to hym.
John.3.27	Iohn answered, Ꟶ sayde: a man can receaue nothinge, except it be geuen him from heauen.
John.3.28	Ye youre selues are witnesses how that I sayd: I am not Christ, but am sent before him:
John.3.29	He that hath the bryde, is the brydegrome. But the frende of the brydegrome, whych standeth and heareth hym, reioyseth greatly because of the brydegromes voyce. This my ioye therfore is fulfilled.
John.3.30	He must increace: but I must decreace.
John.3.31	He that commeth from an hye, is aboue all: He that is of the erth, is earthly, and speaketh of the erth. He that commeth from heauen, is aboue all,
John.3.32	Ꟶ what he hath sene and hearde: that he testifieth: and no man receaueth hys testimonye.
John.3.33	He that hath receaued hys testimonie hath set to hys seale, that God is true.
John.3.34	For he whom God hath sent, speaketh the wordes of God: For God geueth not the sprete by measure vnto him.
John.3.35	The father loueth the sonne Ꟶ hath geuen all thynges into hys hande
John.3.36	He that beleueth on the sonne hath euerlastinge lyfe: He that beleueth not the sonne, shall not se lyfe, but the wrath of God abydeth on him.
John.4.1	As sone as the Lord knewe, how the Pharises had hearde, that Iesus made and baptised moo disciples then Iohn
John.4.2	(though that Iesus him selfe baptised not: but his disciples)
John.4.3	he lefte Iewry, and departed agayne into Galile.
John.4.4	For it was so that he must nedes goo thorowe Samaria
John.4.5	Then came he to a cytie of Samaria (which is called Sichar) Besydes the possessyon that Iacob gaue to his sonne Ioseph,
John.4.6	And there was Iacobs well. Iesus then beyng werye of hys iorney, sate thus on the well. And it was about the syxte houre:
John.4.7	and there came a woman of Samaria to drawe water. Iesus sayeth vnto her: geue me drinke.
John.4.8	For his disciples were gone awaye vnto the towne, to bye meate.
John.4.9	Then sayeth the woman of Samaria vnto him: howe is it, that thou beinge a Iewe, askest drincke of me, which am a Samaritane? For the Iewes medle not with the Samaritans.
John.4.10	Iesus answered and sayde vnto hyr: yf thou knewest the gyfte of God, and who it is that sayeth to the geue me drincke, thou woldest haue asked of him, Ꟶ he wolde haue geuen the water of lyfe.
John.4.11	The woman sayeth vnto him: Syr, thou hast nothynge to drawe wyth, Ꟶ the well is depe: from whence then hast thou that water of lyfe?
John.4.12	Art thou greater then oure father Iacob which gaue vs the well, and he him selfe, drancke therof, and his children, and his catell?
John.4.13	Iesus answered, and sayde vnto hyr: whosoeuer drincketh of thys water, shall thyrst agayne.
John.4.14	But whosoeuer drincketh of the water that I shall geue him, shall neuer bemore a thyrst: but the water that I shall geue him, shalbe in him a well of water, spryngynge vp into euerlastinge lyfe.
John.4.15	The woman sayeth vnto him: Syr, geue me of that water, that I thyrst not, nether come hyther to drawe.
John.4.16	Iesus sayeth vnto her: Go, call thy husband, and come hyther.
John.4.17	The woman answered and sayde vnto him: I haue no husband.
John.4.18	Iesus sayde vnto her: Thou hast well sayd, I haue no husband. For thou hast had fyue husbandes, Ꟶ he whom thou now hast, is not thy husband. In that saydest thou truely.
John.4.19	The woman sayeth vnto hym: Syr, I perceaue that thou art a prophet.
John.4.20	Oure fathers worshypped in thys mountayne Ꟶ ye saye that in Ierusalem is the place, where men ought to worshyppe.
John.4.21	Iesus sayeth vnto her: woman beleue me, the houre commeth, when ye shall (nether in this mountayne, nor yet at Ierusalem) worshyppe the fathers:
John.4.22	Ye worsshyp ye wote not what: we knowe what we worshyppe. For saluaciom commeth of the Iewes.
John.4.23	But the houre commeth Ꟶ now is, when the true worshyppers shall worshyppe the father in sprete, Ꟶ in the treuth. For such the father also requyreth to worshyppe hym.
John.4.24	God is a sprete: and they that worshyppe hym, must worshyppe hym in sprete and in the treuth.
John.4.25	The woman sayeth vnto him: I wote, that Messias shall come, whych is called Chryst. When he is come, he wyll tell vs all thynges Iesus sayeth vnto hyr.
John.4.26	I that speake vnto the am he.
John.4.27	And immediatly came hys disciples, Ꟶ marueyled that he talked with the woman. Yet no man sayd: what meanest thou or why talkest thou with her?
John.4.28	The woman then lefte her waterpot, and went her waye into the cytie, Ꟶ sayeth to the men:
John.4.29	Come, se a man whych tolde me all thynges that euer I dyd. Is not he Christ?
John.4.30	Then they went out of the cytie, and came vnto him.
John.4.31	In the meane whyle his disciples prayed him, saying: Master, eate.
John.4.32	He sayde vnto them: I haue meate to eate, that ye knowe not of.
John.4.33	Therfore sayde the disciples amonge them selues: hath eny man brought him ought to eate?
John.4.34	Iesus sayeth vnto them: my meate is to do the will of him that sent me, Ꟶ to fynisshe his worcke.
John.4.35	Saye not ye: there are yet foure monethes, Ꟶ then commeth haruest? Beholde I saye vnto you: lyfte vp youre eyes, and loke on the regions: for they are whyte all ready vnto haruest.
John.4.36	And he that reapeth, receaueth rewarde, and gathereth frute vnto lyfe eternall: that both he that soweth, Ꟶ he that reapeth, myght reioyse together.
John.4.37	And herin is the saying true, that one soweth Ꟶ another reapeth.
John.4.38	I sent you to reape that wheron ye bestowed no laboure. Other men laboured, Ꟶ ye are entred into their labours.
John.4.39	Many of the Samaritans of that cytie beleued on him, for the saying of the woman, which testified that he tolde her all that euer she dyd.
John.4.40	So, when the Samaritans were come vnto him, they besought him, that he wolde tary with them. And he abode there two dayes.
John.4.41	And many moo beleued because of his awne wordes,
John.4.42	and sayde vnto the woman. Now we beleue, not because of thy sayinge: for we haue herde him oure selues, and knowe that thys is euen Christ, the sauioure of the worlde.
John.4.43	After two dayes he departed thence, and went awaye into Galile.
John.4.44	For Iesus hym selfe testified, that a Prophete hath none honoure in his awne countre.
John.4.45	Then, as sone as he was come into Galile, the Galileans receaued him: whan they had sene all the thynges that he dyd at Ierusalem at the daye of the feast. For they went also vnto the feast daye
John.4.46	So Iesus cam agayne into Cana of Galile wher he turned the water into wyne. And ther was a certayne ruler, whose sonne was sycke at Capernaum.
John.4.47	As sone as the same herde that Iesus was come out of Iewry into Galile, he went vnto him, Ꟶ besought him, that he wolde come downe, and heale his sonne. For he was euen at the poynt of death.
John.4.48	Then sayde Iesus vnto him: excepte ye se signes Ꟶ wondres, ye wyll not beleue.
John.4.49	The ruler sayeth vnto him: Syr, come downe, or euer that my sonne dye.
John.4.50	Iesus sayeth vnto hym: Go thy waye, thy sonne lyueth. The man beleued the worde that Iesus had spoken vnto him. And he went his waye.
John.4.51	And as he was now going downe, the seruauntes mett him, Ꟶ tolde him, sayinge: thy sonne lyueth.
John.4.52	Then enquyred he of them the houre, when he beganne to amende. And they sayd vnto him: Yester daye at the seuenth houre, the feuer lefte him.
John.4.53	So the father knewe, that it was the same houre, in the which Iesus sayde vnto him: Thy sonne lyueth. And he beleued, and all his housholde.
John.4.54	This is agayne the seconde myracle, that Iesus dyd, whan he was come out of Iewry into Galile.
John.5.1	After thys was there a feast daye of the Iewes, and Iesus went vp to Ierusalem.
John.5.2	And ther is at Ierusalem, by the slaughterhouse, a pole (which is called in the Ebrue tonge, Bethseda) hauing fyue porches,
John.5.3	in whych laye a greate multitude of sycke folcke, of blinde, halt, and wythered, waytinge for the mouinge of the water.
John.5.4	For an angell went doune at a certayne ceason into the pole, and stered the water. Whosoeuer then fyrst (after the steringe of the water) stepped in, was made whoale of whatsoeuer disease he had.
John.5.5	And a certayne man was there, whych had bene dyseased .xxxviij. yeres.
John.5.6	When Iesus sawe him lye, and knewe that he now longe tyme had bene dyseased, he sayeth vnto him: Wylt thou be made whole?
John.5.7	The sycke man answered hym: Syr, I haue no man when the water is troubled, to put me into the pole. But in the meane time, whyle I am aboute to come, another steppeth downe before me.
John.5.8	Iesus sayeth vnto hym ryse, take vp thy bed, Ꟶ walke.
John.5.9	And immediatly the man was made whole, and toke vp hys bed, and walked. And the same daye was the Saboth.
John.5.10	The Iewes therfore sayde vnto hym that was made whole: It is the Saboth daye, it is not laufull for the to cary thy bed.
John.5.11	He answered them: he that made me whole, sayde vnto me: take vp thy bed, and walke.
John.5.12	Then asked they hym: what man is that, whych sayd vnto the, take vp thy bed Ꟶ walke?
John.5.13	And he that was healed, wist not who it was. For Iesus had gotten him selfe awaye, because that ther was preace of people in that place.
John.5.14	Afterwarde, Iesus founde him in the temple, and sayde vnto him: beholde, thou art made whole, synne nomore, lest a worsse thinge happen vnto the.
John.5.15	The man departed Ꟶ tolde the Iewes, that it was Iesus, which had made hym whole.
John.5.16	And therfore the Iewes dyd persecute Iesus, and sought the meanes to slee him, because he had done these thynges on the Sabboth daye.
John.5.17	And Iesus answered them. My father worketh hitherto, and I worke.
John.5.18	Therfore, the Iewes sought the more to kyll him, not onely because he had broken the Sabboth: but sayde also that God was hys father and made hym selfe equall with God.
John.5.19	Then answered Iesus, Ꟶ sayde vnto them: verely, verely. I saye vnto you the sonne can do nothinge of him selfe, but that he seeth the father do. For whatsoeuer he doeth, that doeth the sonne also.
John.5.20	For the father loueth the sonne, and sheweth hym all thinges that he hym selfe doeth. And he will shewe him greater workes then these, because ye shuld maruayle.
John.5.21	For lykewyse as the father rayseth vp the deed, and quyckeneth them, euen so the sonne quyckeneth whom he wyll
John.5.22	Nether iudgeth the father eny man: but hath commytted all iudgement vnto the sonne,
John.5.23	because that all men shuld honoure the sonne euen as they honoure the father. He that honoureth not the sonne, the same honoureth not the father which hath sent hym.
John.5.24	Uerely, verely I saye vnto you. He that heareth my worde, Ꟶ beleueth on him that sent me, hath euerlasting lyfe, and shall not come into damnacyon: but is scaped from deeth vnto lyfe.
John.5.25	Uerely, verely, I saye vnto you the houre shall come, Ꟶ nowe it is, when the deed shall heare the voyce of the sonne of God. And they that heare, shall lyue.
John.5.26	For as the father hath lyfe in hym selfe, so lykewyse hath he geuen to the sonne to haue lyfe in hym selfe:
John.5.27	and hath geuen him power also to iudge, because he is the sonne of man.
John.5.28	Maruayle not at this: for the houre shal come, in that which, all that are in the graues, shall heare hys voyce,
John.5.29	and shall come forth: they that haue done good, vnto the resurreccion of lyfe: and they that haue done euyll, vnto the resurreccion of damnacion.
John.5.30	I can of myne awne selfe do nothing. As I heare, I iudge, and my iudgment is iust, because I seke not myne awne wyll, but the wyll of the father whych hath sent me
John.5.31	If I shulde beare wytnes of my selfe, my wytnes were not true.
John.5.32	Ther is another that beareth witnes of me: Ꟶ I am sure, that the wytnes which he beareth of me, is true.
John.5.33	Ye sent vnto Iohn, Ꟶ he bare wytnes vnto the trueth.
John.5.34	But I receaue not the recorde of man. Neuerthelesse, these thinges I saye that ye myght be safe.
John.5.35	He was a burnynge, Ꟶ a shyninge lyght, Ꟶ ye wolde for a season haue reioysed in hys lyght
John.5.36	But I haue greater wytnes, then the wytnes of Iohn For the worckes which the father hath geuen me to finyshe, the same workes that I do, beare wytnes of me, that the father hath sent me.
John.5.37	And the father him selfe which hath sent me hath borne witnes of me. Ye haue not hearde hys voyce at eny tyme nor sene hys shape,
John.5.38	hys word haue ye not abydinge in you. For whom he hath sent, him ye beleue not.
John.5.39	Search the scriptures, for in them ye thinke ye haue eternall lyfe Ꟶ they are they which testify of me.
