Judg.0.0	¶ The boke of Iudges, called in the Hebrue Sophtim and in the Latin Iudicum.
Judg.1.1	After the death of Iosua it came to passe, that the children of Israel asked the Lorde saying: who shall go vp for vs against the Cananites, and who shall first fight agaynst them.
Judg.1.2	And the Lorde sayde: Iuda shall go vp beholde I haue delyuered the lande in to hys handes.
Judg.1.3	And Iuda sayde vnto Simeon hys brother: come vp with me in my lotte, that we maye fight agaynst the Cananites: And I lykewyse wyll go with the into thy lotte. And so Symeon went with him.
Judg.1.4	And Iuda went vp, and the Lorde delyuered the Cananites Ꟶ Pheresites into theyr handes. And they slewe of them in Bezek ten thousand men.
Judg.1.5	And they founde Adoni bezek in Bezek. And they fought against him, and slewe the Cananites and Pheresites.
Judg.1.6	But Adonibezek fled, Ꟶ they folowed after hym, and caught hym, and cut of his thombes and his great toes.
Judg.1.7	And Adonibezek sayde: thre skore Ꟶ ten kynges hauing their thombes and great toes cut of, geathered their meate vnder my table: as I haue done, so God hath done to me againe. And they brought him to Ierusalem, and there he dyed.
Judg.1.8	The children of Iuda fought agaynst Ierusalem, and toke it and smote it wyth the edge of the swerde, and set the cytie on fire,
Judg.1.9	After warde the children of Iuda went to fight against the Cananites, that dwelt in the mountayne, and towarde the south, Ꟶ in the lowe contreye.
Judg.1.10	And Iuda went against the Cananites that dwelt in Hebron, which before time was called kariath Arbe. And slew Sesai, Ahiman Ꟶ Thalmai.
Judg.1.11	And from thence they went to the inhabiters of Dabir, whose name in olde tyme was called kariathsepher.
Judg.1.12	And Caleb sayde he that smyteth Kariathsepher, Ꟶ taketh it, to him will I geue Acsah my daughter to wyfe.
Judg.1.13	And Othoniel the sonne of kenez Calebs younger brother toke it: to whom he gaue Acsah hys daughter to wyfe,
Judg.1.14	and as they went, she counceled hym to aske of her father a felde. And then she lyghted of her asse: and Caleb sayde vnto her: What ayleth the?
Judg.1.15	She answered vnto hym: geue me a blessynge: for thou hast geuen me a Southward (or drie) lande, geue me also sprynges of water. And Caleb gaue her springes both aboue Ꟶ benethe.
Judg.1.16	And the children of the kenite Moses father in lawe went vp out of the cytie of palme trees with the children of Iuda into the wyldernesse of Iuda, that lieth in the Southe of Arad, and they went and dwelt amonge the people.
Judg.1.17	And Iuda went with Simeon his brother, and they slew the Cananites that enhabited zephath, and vtterlye destroyed it, and called the name of the cytie Horma.
Judg.1.18	And at the last Iuda toke Azah wyth the coastes therof, and Askalon wyth the coastes therof, and Abaron with the coastes therof,
Judg.1.19	And the lorde was wyth Iuda, and he conquered the mountaynes, but coulde not dryue out that enhabiters of the valeyes because they had charettes of yron.
Judg.1.20	And they gaue Hebron vnto Caleb, as Moses sayde, And he expelled thence the thre sonnes of Enach.
Judg.1.21	And the children of Beniamin dyd not cast out the Iebusites, that enhabited Ierusalem, but the Iebusites dwell wyth the chyldren of BenIamin in Ierusalem vnto this daye.
Judg.1.22	And in lyke maner they that were of the house of Ioseph went vp to Bethel Ꟶ the lord was wyth them,
Judg.1.23	Ꟶ the house of Ioseph serched out Bethel, which before tyme was called Lus.
Judg.1.24	And the spyes sawe a man come out of the cytie, and they sayde vnto hym: shew vs the waye into the cytie, and we wyll shewe the mercy.
Judg.1.25	And whan he had shewed them the waye into the cytie, they smote it wyth the edge of the swerd, but let the man and all hys housholde goo free.
Judg.1.26	And the man went into the lande of the Hethites, and bylt a cytie, and called the name therof Lus which is the name therof vnto this daye.
Judg.1.27	Nether dyd Manasses expelle Bethsean with her townes, Thaanach wyth her townes, the enhabitoures of Dor with her townes, the enhabitoures of Ieblaam wyth her townes, nether the enhabitoures of Magedo wyth her townes, but the Cananites were bolde to dwell in the lande.
Judg.1.28	But it came to passe that as sone as Israell was waxed myghtie, they put the Cananites to tribute and expelled them not.
Judg.1.29	In lyke maner Ephraim expelled not the Cananytes that dwelt in Gazer, but the Cananytes dwelt stille in Gazer amonge them.
Judg.1.30	Nether dyd zabulon expelle the enhabytoures of ketron, nether the enhabytoures of Nahalol: But the Cananytes dwelt amonge them, and became trybutaries.
Judg.1.31	Nether dyd Aser cast out the enhabytoures of Acho, nether the enhabytoures of zidon, Ꟶ of Ahalab, Aczib, Ꟶ Halbah, Aphek, ner of Rohob,
Judg.1.32	but the Aserites dwelt amonge the Cananites the enhabytoures of the lande, for they might not dryue them out.
Judg.1.33	Nether dyd Nephthalim dryue out the enhabytoures of Bethsames, nor the enhabytoures of Bethanath, but dwelt amongest the Cananytes the enhabytoures of the lande. Neuerthelesse the enhabytoures of Bethsames Ꟶ of Bethanath became trybutaries vnto them.
Judg.1.34	And the Amorites troubled the chyldren of Dan in the mountayne, and soffered them not to come downe to the valeye.
Judg.1.35	And the Amorites were content to dwell in mount Heres in Hailon and in Salabim. And the hand of Ioseph preuayled, so that they became tributaries:
Judg.1.36	Ꟶ the coaste of the Amorytes was from the goyng vp to Acrabim, and from the rocke vpwarde.
Judg.2.1	And the angell of the Lorde came vp from Gilgall to Bochim, Ꟶ sayde: I made you to come out of Egypte, and haue brought you vnto the lande which I sware vnto youre fathers. And I sayd: I wyll not breake myne appoyntment that I made with you.
Judg.2.2	And ye also shall make no couenant wyth the enhabytoures of this lande, but shall breake downe their aultares: Neuertheles ye haue not herkened vnto my voice, why haue ye this done?
Judg.2.3	Wherfore, I haue lykewyse determyned, that I wyll not cast them out before you: but they shalbe thornes vnto you, and their goddes shalbe a snare vnto you.
Judg.2.4	And when the angell of the Lorde spake these wordes vnto all the chyldren of Israel, the people cryed out and wepte:
Judg.2.5	And called the name of the sayde place. Bochim, and offered sacrifyces vnto the Lorde.
Judg.2.6	And when Iosua had sent the people awaye, the chyldren of Israel went euerye man into hys enheritaunce to possesse the lande.
Judg.2.7	And the people serued the Lord all the dayes of Iosua, and all the dayes of the elders that out lyued Iosua, and had sene all the great workes of the lord that he dyd for Israel:
Judg.2.8	and Iosua the sonne of Nun the seruaunt of the Lorde dyed, when he was an hundred Ꟶ ten yeres olde:
Judg.2.9	whom they buryed in the costes of hys enheritaunce: euen in. Thamnath Hares in mount Ephraim on the northside of the hyll Gaas.
Judg.2.10	And euen so all that generacyon were put vnto their fathers, and there arose another generacyon after them whych nether knewe the Lorde, nor yet the worckes whych he had done for Israel.
Judg.2.11	And then the children of Israel dyd wyckedlye in the syght of the lorde, and serued Baalim,
Judg.2.12	and forsoke the Lorde God of their fathers, whych brought them out of the land of Egypte, and folowed straunge goddes, euen of the goddes of the nacyons that were round aboute them, and bowed them selues vnto them and angred the lorde.
Judg.2.13	They forsoke the lord, and serued Baal and Astharoth
Judg.2.14	and the wrath of the lorde waxed hote agaynst Israel, and he delyuered them into the handes of raueners, that spoyled them, and solde them into the handes of their enemyes rounde aboute them, so that they had no power any longer to stande before their enemyes.
Judg.2.15	But whethersoeuer they went out, the hand of the lord was agaynst them with euell lucke, euen as the lord promysed them, Ꟶ as he sware vnto them. And he punyshed them sore.
Judg.2.16	Neuerthelesse the lorde raysed vp Iudges, which delyuered them out of the handes of their oppressers,
Judg.2.17	and yet for all that they wold not harken vnto their Iudges: But rather went a whoryng after straunge goddes, and bowed them selues vnto them, and turned quicklye out of the waye, which their fathers walked in, obeying the commaundementes of the Lord: But they dyd not so.
Judg.2.18	And when the lord raysed them vp Iudges, he was with the Iudge, and delyuered them out of the handes of their enemyes all the dayes of the Iudge for the Lorde had compassyon ouer their sorowinges, whych they had, by the reason of them that oppressed them Ꟶ vexed them:
Judg.2.19	yet for all that as sone as the iudge was dead, they turned and dyd worsse that their fathers, in folowinge straunge goddes, and in seruyng them, and ceased not from their owne inuencyons, nor from their malycyouse waye.
Judg.2.20	And the wrath of the Lorde was moued agaynst Israel, Ꟶ he sayde: because this people hath transgressed myne appointement which I commaunded their fathers, Ꟶ haue not herkened vnto my voyce,
Judg.2.21	I wyll hence furth not cast out before them one man of the nacyons, which Iosua leaft when he dyed,
Judg.2.22	that through them I maye proue Israel, whether they wyll kepe the waye of the Lorde, Ꟶ walke therin, as their fathers dyd or not
Judg.2.23	And so the Lord leaft those nacions, Ꟶ droue them not out ymmedyatlye, nether delyuered them into the hande of Iosua.
Judg.3.1	These are the nacyons which the lord left, that he myght proue Israel by them: euen as manye of Israell as had not knowen all the warres of Canaam:
Judg.3.2	Onlye for the lernyng of the generacyon of the children of Israel: that he also myght teach them warre, in asmuch as they that were before them, knew nothing therof,
Judg.3.3	Of those whom he left, there were fyue lordes of the Philistines, Ꟶ all the Cananites, Ꟶ the Sodonites, and the Heuites that dwelt in mount Libanon: euen from mount Baal Hermon vnto Hemath.
Judg.3.4	Those remayned to proue Israel by, and to wete, whether they wold herken vnto the commaundementes of the lorde, which he commaunded their fathers by the hand of Moses.
Judg.3.5	And the children of Israel dwelt amonge the Cananites, Hethites, Amorites, Pheresites, Heuites, and Iubusytes,
Judg.3.6	Ꟶ toke the daughters of them to be their wyues, Ꟶ gaue their owne daughters to their sonnes, Ꟶ serued their Goddes,
Judg.3.7	And the children of Israell did wickedlye in the syght of the lord, and forgate the lord their God, and serued Baalim Ꟶ Aseroth.
Judg.3.8	Therfore the lord was angrye with Israel, Ꟶ delyuered them into the handes of Chusan Risathaim kyng of Mesopotamia, and the children of Israell serued Chusam Risathaim .viii. yeres.
Judg.3.9	And when the children of Israel cryed vnto the lorde, the lorde stered vp a sauer, to the children of Israel, Ꟶ saued them: one Othoniel the sonne of kenes. Calebs younger brother.
Judg.3.10	And the sprete of the lorde came vpon him. And he iudged Israel, and went out to warre. And the lorde delyuered Chusan Risathaim kyng of Mesopotamia into his hande, Ꟶ his hande preuayled agaynst Chusan Risathaim.
Judg.3.11	And the lande had rest fourtye yeres, and Othoniel the sonne of kenes died.
Judg.3.12	And the children of Israel went to agayne, Ꟶ committed wickednesse in the sight of the lord. And the Lord strengthed Eglon the kyng of the Moabites, agaynst the children of Israel, because they had committed wickednesse before the lord.
Judg.3.13	And this (Eglon) geathered vnto hym the children of Ammon, and the Amalekites, and went and smote Israel, Ꟶ conquered the citye of Paulme trees.
Judg.3.14	And so the children of Israel serued Eglon the king of Moab .xviii. yeres.
Judg.3.15	But when they cryed vnto the lorde, the lorde stered them vp a sauer, Ahud the sonne of Gera the sonne of Iemini a man that coulde do nothing handsomlye with his ryght hande. And by him the chyldren of Israel sent a present vnto Eglon the king of Moab:
Judg.3.16	but Ahud made him a dagger with two edges, of a cubyte length, Ꟶ he dyd gyrde yt vnto his rayment vpon his right thygh,
Judg.3.17	and caryed the present vnto Eglon the kynge of Moab: And Eglon was a very fatte man.
Judg.3.18	And it fortuned that when he had presented the present, he sent the people that bare it awaye,
Judg.3.19	but he him selfe turned agayne (from the place of grauen ymages, that was by Gilgal) and sayde: I haue a secret errand vnto the, O kyng. Which sayde: kepe sylence. And all that stode before hym, went out from hym.
Judg.3.20	And Ahud came vnto hym, and in a somer parler, which he had, sat he him selfe alone, and Ahud sayde I haue a message vnto the from God. And he arose out of hys seate.
Judg.3.21	And Ahud put forth hys lefte hande, Ꟶ toke the dagger from his ryght thyghe, Ꟶ thrust it into hys belye,
