Lam.0.0	¶ The lamentacyons of Ieremy,
Lam.1.1	Alas, howe sytteth the cytie so desolate, that somtyme was full of people? Howe is she become lyke a wedowe, which was the lady of all nacyons? Howe is she brought vnder trybute, that ruled all landes.
Lam.1.2	She wepeth sore in the nyght so that the teares runne downe her chekes: for amonge all her louers, there is none that geueth her eny comforte: ye her nexte frendes transgresse agenst her, and are become her enemyes.
Lam.1.3	Iuda is taken presoner, because she was defyled: and for seruynge so many straunge goddes, she dwelleth nowe amonge the Heythen. She fyndeth no rest, all they that persecuted her, toke her, in strayte places wher she coulde not escape.
Lam.1.4	The streates of Sion mourne, because no man commeth nomore to the solempne feastes. All her gates are desolat, her prestes make lamentacion, her maydens are carefull: Ꟶ she her selfe is in great heuynesse.
Lam.1.5	Her enemies haue bene rulers ouer her, and her enemyes haue prospered: because the Lorde hath chastened her for her greate wyckednes: her chyldren are ledde awaye captiue before theyr enemye.
Lam.1.6	All the bewtie of the daughter of Sion is awaye, her princes are become lyke hertes that fynde no pasture. They are dryuen awaye before theyr enemie, so that they haue nomore power.
Lam.1.7	Nowe doth Ierusalem remembre the tyme of her misery and disobedience, yee, the ioye and pleasure that she hath had in tymes past seynge her people is brought downe thorow the power of theyr enemye, and there is no man for to helpe her: her enemyes stande lokynge at her, and laugh her Sabbath dayes to scorne.
Lam.1.8	Ierusalem hath synned euer, more and more, therfore is she come in decaye. All they that had her in honoure despyse her: for they haue sene her fylthynes. Yee, she sygheth, and is ashamed of her selfe.
Lam.1.9	Her skyrtes are defyled, she remembred not what wolde folowe: therfore is her fall so wonderfull, and there is no man to comforte her. O Lorde, consydre my trouble, for myne enemye hath the vpperhande.
Lam.1.10	The enemye hath put hys hande to all the precious thynges that she had, yee, euen before her eyes came the Heathen in and out of the Sanctuary: whom thou (neuertheles) hast forbydden to come within thy congregacyon.
Lam.1.11	All her people seke theyr breade with heuynes, and loke what precyous thing euery man hath, that geueth he for meate, to saue hys lyfe. Consydre, O Lorde, and se, how vyle I am become.
Lam.1.12	Haue ye no regarde O all ye that go fore by, be holde and se, yf there be eny sorow lyke vnto myne, wherwith the Lorde hath troubled me, in the daye of his fearfull wrath.
Lam.1.13	From aboue hath he sent downe a fyre into my bones and it burneth them cruellye: he hath layed a net for my fete and throwen me wyde open: he hath made me desolate, so that I must euer be mournynge.
Lam.1.14	The yocke of my transgressyon is come at the last, with hys hande hath he taken it vp, and put it aboute my neck. My strength is gone: the Lorde hath delyuered me into those handes, wherout I cannot quyte my selfe.
Lam.1.15	The Lorde hath destroyed all the myghtye men, that were in me He hath proclaymed a feaste, to slaughter all my best men. The Lorde hath troden downe the daughter, of Iuda, lyke as it were in a wyne presse.
Lam.1.16	Therfore do I wepe, and myne eyes gusshe oute of water: for the comforte that shulde quycken me, is farre fro me. My chyldren are dryuen awaye, for why? the enemy hath gotten the ouerhande.
Lam.1.17	Syon casteth out her handes, and there is no man to comforte her. The Lorde hath laied the enemyes rounde aboute Iacob, and Ierusalem is become abominacyon in the myddest of them.
