Lev.0.0	¶ The thyrde boke of Moses called in the Hebrue Uariah: and in the Latyn. Leuiticus
Lev.1.1	And the Lorde called Moses, Ꟶ spake vnto hym oute of the tabernacle of witnesse sayinge.
Lev.1.2	Speake vnto the chyldren of Israel, and thou shalt saye vnto them. Yf a man of you brynge a sacrifyce vnto the Lorde, ye shall brynge youre sacrifyce from amonge these catell, euen from amonge the oxen and the shepe.
Lev.1.3	Yf hys sacrifyce be a burntofferynge, let hym offre a male of the oxen without blemyshe, and brynge hym (of hys own voluntary wyll) vnto the dore of the Tabernacle of witnesse before the Lorde.
Lev.1.4	And he shal put hys hande vpon the heade of the brent sacrifyce, and it shalbe accepted for him, to be hys attonement.
Lev.1.5	And he shall kyll the calfe of the droue before the Lord. And the prestes Aarons sonnes, shall brynge the bloude, and sprynckle it rounde aboute vpon the altare, that is by the dore of the Tabernacle of witnesse.
Lev.1.6	And then shall he slaye the burntofferynge, and hewe hym in peces.
Lev.1.7	And the sonnes of Aaron the preaste shall put fyre vpon the altare,
Lev.1.8	and put wodd vpon the fyre. And the preastes Aarons sonne shall laye the partes (euen the heade and the fatt) vpon the wodd that is on the fyre in the altare.
Lev.1.9	But the inwardes and the legges ther of shall he wasshe in water, and the preast shall burne all in the altare, that they maye be a burnt sacrifyce for a swete odoure vnto the Lorde.
Lev.1.10	And yf his sacrifyce be of the flockes (namely of the shepe or goates) let hym brynge a male without blemysh for a burntoffering.
Lev.1.11	And let hym kyll it on the northsyde of the alter, before the Lorde. And the Preastes Aarons sonnes shall spryncle the bloude of it rounde aboute vpon the alter.
Lev.1.12	And it shall be cut in peces: euen with hys heed and hys fatt, and the Preaste shall put them vpon the wodd that lyeth vpon the fyre in the alter.
Lev.1.13	But he shall washe the inwardes and the legges with water, and the preste shall bringe all together, and burne it vpon the alter for a burntofferynge of a swete sauoure vnto the Lorde.
Lev.1.14	If the burntofferynge for the sacrifyce of the Lorde be of the foules, he shal bring hys sacrifice of the turtill doues or of the yong pygeons.
Lev.1.15	And the preaste shall brynge it vnto the alter, and wrynge the necke a sundre of it, and burne it on the alter. But the bloud therof shall runne oute vpon, by the syde of the alter.
Lev.1.16	And he shal plucke awaye his croppe with hys fethers, and cast them besyde the alter on the easte parte in the place of asshes.
Lev.1.17	And he shall breke the wynges of it, but plucke them not asundre. And the Preaste shall burne it vpon the alter, euen vpon the wodd that is vpon the fyre, that it maye be a burnt sacrifyce for a swete sauoure vnto the Lord.
Lev.2.1	The soule that wyll offer a meateofferynge vnto the Lorde, the same offerynge shalbe of fyne floure, and he shall poure oyle, vpon it, and put franckencens theron,
Lev.2.2	and shall brynge it vnto Aarons sonnes the preastes. And he shall take therout his handfull of the floure, and of the oyle wyth all the franckencens, and the preaste shall burne it for a memoriall of hym vpon the alter: to be an offerynge for a swete sauoure vnto the Lorde.
Lev.2.3	And the remnaunt of the meateofferynge shalbe Aarons and his sonnes, a thynge most holy of the sacrifyces of the Lorde:
Lev.2.4	If thou bringe also a meatofferynge that is baken in the ouen, let it be a swete cake of fyne floure myngled with oyle, or an vnleuened wafer anoynted wt oyle.
Lev.2.5	If thy meateofferynge be baken in the fryenge pan, it shalbe of swete floure myngled with oyle.
Lev.2.6	And thou shalt mynce it small, Ꟶ powre oyle theron, that it maye be a meateofferynge.
Lev.2.7	And yf thy meateofferynge be a thynge broyled vpon the gredyren, let it be of floure myngled with oyle.
Lev.2.8	And thou shalt brynge the meateofferynge (that is made of these thynges) vnto the Lorde, and shalt delyuer it vnto the preaste, that he maye offre it vpon the alter,
Lev.2.9	and the preaste shall take of the meateofferynge a memoriall, and shal burne it vpon the alter: that it maye be a burntofferyng for a swete sauoure vnto the Lorde.
Lev.2.10	And that whyche is lefte of the meatofferynge shall be Aarons and hys sonnes, It is a thynge most holy of the offerynges of the Lorde.
Lev.2.11	All the meateofferynges which ye shall brynge vnto the Lord, shalbe made without leuen. For ye shal nether burne leuen nor honye in any offerynge of the Lorde:
Lev.2.12	Notwithstandynge ye shall brynge the fyrstlynges of them vnto the Lorde: but they shall not come vpon the alter for a swete sauoure.
Lev.2.13	All the meatofferynges also shalt thou season with salt: neyther shalt thou suffre the salt of the couenaunt of thy God to be lackynge from thy meateofferyng: but vpon all thyne offerynges thou shalt brynge salt.
