Luke.0.0	¶ The Gospell of S. Luke.
Luke.1.1	For as moche as many haue taken in hande to set forth the declaracion of those thinges, which are most surely to be beleued amonge vs,
Luke.1.2	euen as they delyuered them vnto vs, whych from the begyndyng sawe them them selues with their eyes, and were ministers of the thinges that they declared:
Luke.1.3	I determyned also (as sone as I had searched out dyligently all thinges from the begynnyng) that then I wolde wryte vnto the, good Theophilus:
Luke.1.4	that thou myghtest knowe the certente of those thinges wherof thou hast bene infourmed.
Luke.1.5	There was in the dayes of Herode the Kynge of Iurie, a certayne Preste named zacharias of the course of Abia. And his wyfe was of the daughters of Aaron: and her name was Elizabeth:
Luke.1.6	they were, both ryghteous before God, and walked in all the lawes and ordynaunces of the Lorde, that no man coulde fynde fawte with them.
Luke.1.7	And they had no chylde, because that Elizabeth was barren, and they booth were now well stricken in age.
Luke.1.8	And it came to passe, that whan zachary executed the Preastes offyce before God, as hys course came
Luke.1.9	(accordyng to the custome of the prestes office) hys lot fell to burne incence.
Luke.1.10	And he went into the temple of the Lorde, Ꟶ the whoale multitude of the people were without in prayer, whill the incense was a burninge.
Luke.1.11	And ther appeared vnto him an Angell of the Lorde, standynge on the ryght syde of the aultare of incense.
Luke.1.12	And when zacharias sawe him, he was abashed, Ꟶ feare cam on him.
Luke.1.13	But the Angell sayde vnto him: feare not zachary, for thy prayer is hearde. And thy wyfe Elizabeth shall beare the a sonne, and thou shalt call his name Iohn,
Luke.1.14	and thou shalt haue ioye and gladnes, and many shall reioyce at his byrth.
Luke.1.15	For he shalbe greate in the syght of the Lorde, and shall nether drincke wyne ner stronge drincke. And he shalbe fylled with the holy goost, euen from his mothers wombe:
Luke.1.16	and many of the chyldren of Israel shall tourne to their Lord God.
Luke.1.17	And he shall go before him in the sprite Ꟶ power of Helias to tourne the hertes of the fathers to the children, and the vnbeleuers to the wysdome of the iuste men, to make readye a perfecte people for the Lorde.
Luke.1.18	And zacharias sayde vnto the angell: by what token shall I knowe this? For I am olde, and my wyfe well strycken in yeres.
Luke.1.19	And the angell answered, and sayd vnto him. I am Gabriel, that stande in the presens of God, and am sent to speake vnto the: and to shewe the these glad tydinges.
Luke.1.20	And beholde it shall come to passe, that thou shalt be domme, and not be hable to speake, vntill the daye that these thinges be performed, because thou beleuedst not my wordes, which shalbe fulfylled in their season.
Luke.1.21	And the people wayted for zacharias, and merueyled that he taryed in the temple.
Luke.1.22	And when he came out, he coulde not speke vnto them. And they perceaued, that he had sene a visyon in the temple. And he beckened vnto them, and remayned speachlesse.
Luke.1.23	And it fortuned, that as sone as the dayes of his office were out, he departed into his awne house.
Luke.1.24	And after those dayes, his wyfe Elizabeth conceaued, Ꟶ hid her selfe fyue monethes, sayinge:
Luke.1.25	Thys wyse hath God dealte with me, in the dayes wherin he hath loked on me, to take from me my rebuke amonge men.
Luke.1.26	And in the syxt moneth the angell Gabriel was sent from God vnto a cytie of Galile, named Nazareth,
Luke.1.27	to a virgin spoused to a man, whose name was Ioseph, of the house of Dauid, and the virgins name was Mary.
Luke.1.28	And the angell went in vnto her, and sayde. Hayle full of grace, the Lorde is with the: blessed art thou amonge wemen.
Luke.1.29	When she sawe him, she was abasshed at his sayinge: and cast in her mynde, what maner of salutacion that shulde be.
Luke.1.30	And the angell sayde vnto her: feare not Mary: for thou hast founde grace with God.
Luke.1.31	Behold, thou shalt conceaue in thy wombe, Ꟶ beare a sonne, Ꟶ shalt call his name Iesus.
Luke.1.32	He shalbe greate, Ꟶ shalbe called the sonne of the hyest. And the Lorde God shall geue vnto him the seate of his father Dauid
Luke.1.33	and he shall raygne ouer the house of Iacob for euer, and of his kyngdome there shalbe none ende.
Luke.1.34	Then sayde Mary vnto the angell: How shall this be, seynge I knowe not a man?
Luke.1.35	And the angell answered, Ꟶ sayde vnto her. The holy goost shall come vpon the, and the power of the hyest shall ouer shaddowe the. Therfore also that holy thynge which shalbe borne, shalbe called the sonne of God.
Luke.1.36	And beholde, thy cosyn Elizabeth, she hath also conceaued a sonne in her age. And this is her syxt moneth, which was called barren:
Luke.1.37	for with God shall nothinge be vnpossible.
Luke.1.38	And Mary sayde: beholde the hande mayden of the Lorde, be it vnto me according to thy worde, And the angell departed from her.
Luke.1.39	And Mary arose in those dayes, Ꟶ went into the mountayns with haste into the cytie of Iewrie,
Luke.1.40	and entred into the house of zachary, and saluted Elizabeth.
Luke.1.41	And it fortuned, that whan Elizabeth hearde the salutacyon of Mary, the babe sprange in her wombe. And Elizabeth was fylled with the holy ghost,
Luke.1.42	Ꟶ cried with a loude voyce, and sayde: Blessed art thou among wemen, and blessed is the frute of thy wombe.
Luke.1.43	And whence happeneth this to me, that the mother of my Lorde shulde come to me?
Luke.1.44	For lo, as sone as the voyce of thy salutacion sownded in myne eares, the babe sprange in my wombe for ioye.
Luke.1.45	And blessed art thou that hast beleued: for those thinges shalbe performed, which were tolde the from the Lorde.
Luke.1.46	And Mary sayde. My soule magnifieth the Lord.
Luke.1.47	And my sprete hath reioysed in God my sauyour
Luke.1.48	For he hath loked on the lowe degre of hys hande mayden: for lo: now from hence forth shall all generacions call me blessed.
Luke.1.49	Because he that is myghty, hath done to me greate thinges, Ꟶ holye is his name.
Luke.1.50	And his mercy is on them that feare him, from generacion to generacion.
Luke.1.51	He hath shewed strength with his arme, he hath scattered them that are proude in the ymaginacyon of their herte.
Luke.1.52	He hath putte downe the myghty from theyr seates, and exalted them of lowe degre.
Luke.1.53	He hath fylled the hongrye with good thynges: and sent awaye the ryche emptye.
Luke.1.54	He hath helped hys seruaunt Israel, in remembraunce of hys mercye.
Luke.1.55	Euen as he promysed to oure fathers, Abraham, and to his seede for euer.
Luke.1.56	And Mary abode with her aboute a .iij. monethes, and retourned agayne to her awne house.
Luke.1.57	Elizabeths tyme came that she shulde be delyuered, and she brought forth a sonne.
Luke.1.58	And her neyghboures and her cosyns hearde howe the Lorde had shewed greate mercy vpon her, and they reioysed with her.
Luke.1.59	And it fortuned that in the eyght daye, they came to circumcyse the chylde: and called his name zacharias, after the name of hys father.
Luke.1.60	And his mother answered and sayde: not so but he shalbe called Iohn.
Luke.1.61	And they sayd vnto her: Ther is none in thy kynred, that is named with this name:
Luke.1.62	And they made sygnes to his father, howe he wolde haue him called.
Luke.1.63	And he asked for wrytinge tables, and wrote, saying: his name is Iohn. And they maruelled all.
Luke.1.64	And hys mouth was opened immediatly, Ꟶ his tonge also, Ꟶ he spake, and praysed God.
Luke.1.65	And feare came on all them that dwelt nye vnto them. And all these sayinges were noysed abroade throughout all the hyll countre of Iurie:
Luke.1.66	and all they that herde them layde them vp in their hertes, saying: What maner of chylde shall this be? And the hande of the Lorde was with him:
Luke.1.67	And his father zacharias was filled with the holy goost, and prophisyed sayinge?
Luke.1.68	Praysed be the Lord God of Israel, for he hath visited and redemed his people:
Luke.1.69	And hath raysed vp an horne of saluacion vnto vs, in the house of his seruaunt Dauid.
Luke.1.70	Euen as he promysed by the mouth of his holy prophetes, which were sens the worlde began.
Luke.1.71	That we shulde be saued from oure enemies, and from the hande of all that hate vs.
Luke.1.72	That he wolde deale mercifully with oure fathers, and remember his holy couenaunt.
Luke.1.73	And that he wolde performe the oothe, which he sware to oure father Abraham,
Luke.1.74	for to geue vs. That we deliuered oute of the handes of oure enemies, might serue him with out feare,
Luke.1.75	all the dayes of oure lyfe, in such holynes and rightewesnes as are accept before him
Luke.1.76	And thou chylde shalt be called the Prophet of the hiest: for thou shalt go before the face of the Lorde, to prepare his wayes:
Luke.1.77	to geue knowlege of saluacyon vnto his people for the remission of synnes.
Luke.1.78	Through the tender mercy of oure God, wherby the daye springe from an hye hath visited vs.
Luke.1.79	To geue light to them that sate in darcknes Ꟶ in the shadowe of deathe, to gyde oure fete into the waye of peace.
Luke.1.80	And the child grewe and wexed strong in sprete, and was in wildernes, tyll the daye came, when he shulde shewe him selfe vnto the Israelites.
Luke.2.1	And it chaunced in those dayes: that ther went oute a commaundement from Augustus the Emperour, that all the world shulde be taxed.
Luke.2.2	And thys taxinge was the fyrst, Ꟶ executed when Syrenius was leftenaunt in Syria.
Luke.2.3	And euery man went vnto his awne cytie to be taxed.
Luke.2.4	And Ioseph also ascended from Galile, out of a cytie called Nazareth, into Iewry: vnto the cytie of Dauid, which is called Bethlehem, because he was of the house and lynage of Dauid,
Luke.2.5	to be taxed with Mary his spoused wyfe, which was with childe.
Luke.2.6	And it fortuned that while they were there, her tyme was come that she shulde be deliuered.
Luke.2.7	And she broughte forth her fyrst begotten sonne, Ꟶ wrapped him in swadlinge clothes, and layde him in a maunger, because ther was no rowme for them in the ynne.
Luke.2.8	And ther were in the same region shepherdes, watchynge and kepinge their flocke by night.
Luke.2.9	And lo, the angell of the Lorde stode harde by them, and the brightnes of the Lorde shone rounde aboute them, Ꟶ they were sore afrayed.
Luke.2.10	And the angell sayde vnto them: Be not afrayed. For beholde, I bringe you tydinges of greate ioye, that shall come to all people:
Luke.2.11	for vnto you is borne this daye in the cytie of Dauid, a saueoure which is Christ the Lord.
Luke.2.12	And take this for a sygne: ye shall fynde the childe wrapped in swadlinge clothes, Ꟶ layed in a manger.
Luke.2.13	And streyght waye ther was with the angel a multitude of heauenly sowdyers, praysing God: Ꟶ sayinge:
Luke.2.14	Glory to God on hye, and peace on the erth, Ꟶ vnto men a good wyll.
Luke.2.15	And it fortuned, as sone as the angels were gone awaye from them into heauen, The shepherdes sayde one to another: let vs go now euen vnto Bethlehem, and se this thing that we heare saye is happened, which the Lorde hath shewed vnto vs.
Luke.2.16	And they came wt hast, Ꟶ founde Mary and Ioseph Ꟶ the babe layde in a manger.
Luke.2.17	And when they had sene it, they publisshed a brode the sayinge, which was tolde them of that chylde.
Luke.2.18	And all they that hearde it, wondred at those thynges which were tolde them of the shepherdes.
Luke.2.19	But Mary kepte all those saienges, and pondered them in her hert.
Luke.2.20	And the shepherdes retourned, praysynge and laudinge God for all the thinges that they had herde and sene, euen as it was tolde vnto them.
Luke.2.21	And when the eyght daye was come that the childe shulde be circuncised his name was called Iesus which was named of the Angell, before he was conceaued in the wombe.
Luke.2.22	And when the tyme of their purificacion (after the lawe of Moses) was come, they brought him to Hierusalem, to present him to the Lorde
Luke.2.23	(as it is wrytten in the lawe of the Lorde euery man chylde that fyrst openeth the matrix, shalbe called holy to the Lord)
Luke.2.24	and to offer (as it is sayde in the lawe of the Lorde) a payre of turtle doues, or two yonge pigions.
Luke.2.25	And beholde, ther was a man in Hierusalem whose name was Simeon. And the same man was iuste Ꟶ godly, Ꟶ loked for the consolacion of Israel, and the holy goost was in him.
Luke.2.26	And an answer had he receaued of the holy goost that he shulde not se deeth, excepte he fyrst sawe the Lordes Christ.
Luke.2.27	And he came by inspiracion into the temple. And when the father Ꟶ mother brought in the chylde Iesus: to do for him after the custome of the lawe,
Luke.2.28	then toke he him vp in his armes, Ꟶ sayd:
Luke.2.29	Lorde, now lettest thou thy seruaunt departe in peace, accordynge to thy promes.
Luke.2.30	For myne eyes haue sene the saluacion:
Luke.2.31	which thou hast prepared before the face of all people
Luke.2.32	A lyght to lighten the gentyls, Ꟶ the glory of thy people Israel.
Luke.2.33	And his father Ꟶ mother: meruylled at those thinges, whych were spoken of hym.
Luke.2.34	And Simeon blessed them, and sayde vnto Mary his mother: beholde, this chyld is sett to be the fall and vprising agayne of many in Israel, Ꟶ for a sygne which is spoken agaynst.
Luke.2.35	And moreouer, the swearde shall pearce thy soule that the thoughtes of manyhertes maye be opened.
Luke.2.36	And ther was a Prophetisse, one Anna, the daughter of Phanuel of the trybe of Aser: which was of a greate age, Ꟶ had lyued with an husbande .vij. yeres from her virginite.
Luke.2.37	And she had bene a wedowe aboute .iiij. scoore Ꟶ .iiij. yere, which departed not from the temple, but serued God with fastinges and prayers nyght Ꟶ daye.
Luke.2.38	And she came forth that same houre, and praysed the Lorde, Ꟶ spake of him, to all them that loked for redempcyon in Hierusalem.
Luke.2.39	And whan they had perfourmed all thinges accordyng to the lawe of the Lorde, they returned into Galile, to their awne citie Nazareth.
Luke.2.40	And the chylde grewe, and wexed stronge in sprete, Ꟶ was fylled with wysdome, Ꟶ the grace of God was vpon him.
Luke.2.41	And his father Ꟶ mother went to Hierusalem euery yere at the feaste of easter.
Luke.2.42	And when he was .xij. yere olde, they went vp to Hierusalem after the custome of the feast daye.
Luke.2.43	And when they had fulfylled the dayes: as they returned home, the chylde Iesus a bode styll in Ierusalem, Ꟶ hys father Ꟶ mother knewe not of it:
