Mark.0.0	¶ The Gospell of S. Marke.
Mark.1.1	The begynnynge of the Gospell of Iesu Chryst the sonne of God,
Mark.1.2	as it is written in the Prophetes, behold, I sende my messenger before thy face which shall prepare thy waye before the.
Mark.1.3	The voyce of a cryer in the wildernes: prepare ye the waye of the Lorde, Ꟶ make his pathes strayte.
Mark.1.4	Iohn dyd baptyse in the wyldernes, and preached the baptyme of repentaunce, for the remissyon of synnes.
Mark.1.5	And all the lande of Iewrie and they of Ierusalem, went out vnto hym, and were all baptised of him in the ryuer Iordan, confessynge their synnes.
Mark.1.6	Iohn was clothed with camilles herr, and wt a gerdyll of a sayng about hys loynes. And he dyd eate locustes and wilde hony,
Mark.1.7	and preached sayinge. He that is stronger then I, commeth after me, whose sho latchet I am not worthy to stoupe downe, and vnlose,
Mark.1.8	I haue baptysed you wyth water: but he shall baptyse you with the holy gost.
Mark.1.9	And it came to passe in those dayes, that Iesus cam from Nazareth, of Galile: and was baptysed of Iohn in Iordan:
Mark.1.10	And assone as he was come vp out of the water: he sawe heauen open, Ꟶ the sprete descendynge vpon him lyke adoue:
Mark.1.11	And ther came a voyce from heauen. Thou art my deare sonne in whom I delyte.
Mark.1.12	And immediatly sprete droue him into wildernes:
Mark.1.13	and he was there in the wyldernes .xl. dayes, and was tempted of Satan, Ꟶ was with wilde beastes. And the angels minystred vnto hym.
Mark.1.14	After that Iohn was taken Iesus came into Galile preachinge the Gospell, of the kyngdom of God,
Mark.1.15	Ꟶ sayinge. the tyme is come, Ꟶ the kyngdom of God is at hand repent, and beleue the Gospell.
Mark.1.16	As he walked by the see of Galile, he sawe Simon Ꟶ Andrew his brother, castynge nettes into the see, for they were fisshers.
Mark.1.17	And Iesus sayde vnto them: folowe me, Ꟶ I will make you to become fysshers of men.
Mark.1.18	And strayght waye, they forsoke their nettes, and folowed him.
Mark.1.19	And when he had gone a lytell further thence, he sawe Iames the sonne of zebede, and Iohn his brother, which also were in the shyppe, mendynge their nettes.
Mark.1.20	And anone he called them. And they leeft their father zebede in the shyp wyth the hyred seruauntes, and folowed hym.
Mark.1.21	And they came into Capernaum: and streyght waye on the Saboth dayes, he entred into the synagoge, Ꟶ taught.
Mark.1.22	And they were astonnyed at hys learnynge. For he taught them as one that had auctorite, Ꟶ not as the Scribes.
Mark.1.23	And there was in their Sinagoge a man vexed with an vnclene spirite, and he cryed
Mark.1.24	sayinge: Alas, what haue we to do with the thou Iesus of Nazareth? Art thou come to destroye vs? I knowe the what thou art euen that holy one of God.
Mark.1.25	And Iesus rebuked hym sayinge: holde thy peace, and come out of the man.
Mark.1.26	And whan the vncleane spirite had toarne him, Ꟶ cryed with a loude voyce, he came out of him.
Mark.1.27	And they were all amased, in so moch that they demaunded one of another amonge them selues sayinge: what thyng is this? What newe doctrine is thys? For with auctorite commaunded he the foule spirites, and they obeyed hym.
Mark.1.28	And immediatly his fame spred abroad through out all the region borderinge on Galile.
Mark.1.29	And forth with, whan they were come out of the Synagoge they entred into the house of Symon and Andrew, wyth Iames and Iohn.
Mark.1.30	But Simons mother in lawe laye sycke of a feuer. And anone they tell him of her.
Mark.1.31	And he came, Ꟶ toke her by the hande: Ꟶ lifte her vp: Ꟶ ymediatly the feuer forsoke hyr, Ꟶ she mynistred vnto them.
Mark.1.32	And at euen when the sonne was downe, they brought vnto him all that were dyseased, and them that were vexed with deuyls.
Mark.1.33	And all the cytie was gathred to gether at the dore,
Mark.1.34	and he healed many that were sycke of dyuers deseases, and cast out many deuyls, Ꟶ suffred not the deuyls to speake, because they knewe him.
