Matt.0.0	¶ The newe Testame{n}t in englyshe translated after the Greke
Matt.0.0	¶ The Gospell of S. Mathew
Matt.1.1	Thys ys the booke of the generacyon of Iesus Chryst, the sonne of Dauid, the sonne of Abraham.
Matt.1.2	Abraham begat Isaac. Isaac begat Iacob. Iacob begat Iudas and hys brethren.
Matt.1.3	Iudas begat Phares and zaram of Thamar. Phares begat Esrom. Esrom begat Aram.
Matt.1.4	Aram begat Aminadab. Aminadab begat Naasson. Naasson begat Salmon.
Matt.1.5	Salmon begat Boos of Rahab. Boos begat Obed of Ruth. Obed begat Iesse.
Matt.1.6	Iesse begat Dauid the kynge. Dauid the kynge begat Salomon, of her that was the wyfe of Urye.
Matt.1.7	Salomon begat Roboam. Roboam begat Abia. Abia begat Asa.
Matt.1.8	Asa begat Iosaphat. Iosaphat begat Ioram. Ioram begat Osias.
Matt.1.9	Osias begat Ioatham. Ioatham begat Achas. Achas begat Ezechias.
Matt.1.10	Ezechias begat Manasses. Manasses begat Amon. Amon begat Iosias.
Matt.1.11	Iosias begat Ieconias and hys brethren about the tyme they were caryed awaye to Babylon.
Matt.1.12	And after they were brought to Babylon, Iechonias begat Salathiel. Salathiel begat zorobabel.
Matt.1.13	zorobabel begat Abiud. Abiud begat Eliachim. Eliachim begat Azor.
Matt.1.14	Azor begat Sadoc. Sadoc begat Achin. Achin begat Eliud.
Matt.1.15	Eliud begat Eleasar. Eleasar begat Matthan: Matthan begat Iacob.
Matt.1.16	Iacob begat Ioseph the husbande of Mary, of whom was borne Iesus, euen he that is called Chryst.
Matt.1.17	And so all the generacyons from Abraham to Dauid, are fourtene generacyons. And from Dauid vnto the captyuyte of Babylon, are fourtene generacyons. And from the captiuyte of Babylon vnto Christ, are fourtene generacyons.
Matt.1.18	The byrth of Iesus Chryst was on this wyse. When his mother Mary was maryed to Ioseph (before they came to dwell togeather) she was founde with chylde by the holy ghoost.
Matt.1.19	Then Ioseph her husbande (because he was a ryghteous man, and wolde not put her to shame) he was mynded preuely to departe from her.
