Mic.0.0	¶ The boke of the Prophete Micheas.
Mic.1.1	Thys is the worde of the Lorde, that came vnto Micheas the Morastite, in the dayes of Iothan Ahas and Iehezekiah kynges of Iuda: whych was shewed hym vpon Samaria Ꟶ Ierusalem.
Mic.1.2	Heare al ye people, marcke this well O earth and all that therin is. Yee, the Lorde God hym selfe be wytnesse amonge you euen the Lord from his holy temple.
Mic.1.3	For why? beholde, the Lorde shall go out of his place, Ꟶ come downe, Ꟶ treade vpon the hye thynges of the earth.
Mic.1.4	The mountaynes shall consume vnder him, Ꟶ the valleyes shal cleue asunder: lyke as waxe consumeth at the fyre, Ꟶ as the waters runne downwarde.
Mic.1.5	And all thys shalbe for the wyckednesse of Iacob. and the synnes of the house of Israel. But what is the wyckednesse of Iacob? Is not Samaria? Whych are the hye places of Iuda? Is not Ierusalem?
Mic.1.6	Therfore I shall make Samaria an heape of stones in the felde, to laye aboute the vyneyarde: her stones shall I cast into the valley, and discouer her foundacyons.
Mic.1.7	All her Images shall be broken downe Ꟶ all her garmentes shall be brent in the fyre: yee, all her Idols will I destroye: for why? they are gathered out of the hyre of an whore, Ꟶ into an whores hyre shall they be turned agayne.
Mic.1.8	Wherfore I will mourne Ꟶ make lamentacion, bare Ꟶ naked will I go: I must mourne lyke the dragons, and take sorowe as the Estriches:
Mic.1.9	for theyr wounde is past remedy: And why? it is come into Iuda, Ꟶ hath touched the porte of my people at Ierusalem alredy.
Mic.1.10	Wepe not, lest they at Geth perceaue it. Thou at Bataphra, welter thy selfe in the dust Ꟶ asshes.
Mic.1.11	Thou that dwellest at Sephyr, get the hence with shame. The proude shall boost nomore for very sorowe: and why? her neyghboure shal take from her what she hath
Mic.1.12	The rebellyous cytie hopeth, that it shall not be so euell: but for all that, the plage shall come from the Lorde, euen into the porte of Ierusalem,
Mic.1.13	The greate noyse of the charettes shall feare them, that dwell at Lachys, which is an occasyon of the synne of the daughter of Syon, for in the came vp the wyckednesses of Israel.
Mic.1.14	Yee, she sent her coursers into the lande of Geth. The houses of lyes will dysceaue the kynges of Israel.
Mic.1.15	And as for the (O thou that dwellest at Morassa) I shal bring a possessioner vpon the, Ꟶ the plage of Israel shal reach vnto Odolla.
Mic.1.16	Make the balde, Ꟶ shaue the, because of thy tender chyldren: Make the cleane balde as an Aegle, for they shalbe caryed awaye captiue from the.
Mic.2.1	O wo vnto them, that Imagyn to do herme, and deuyse vngracyousnesse vpon theyr beddes, to perfourme it in the cleare daye: for ther power is agaynst God.
Mic.2.2	When they couet to haue lande, they take it by vyolence, they robbe men of theyr houses. Thus they oppresse a man for his house Ꟶ euery man for his herytage.
Mic.2.3	Therfore thus sayeth the Lorde: Beholde agaynst thys housshold haue I deuysed a plage, wherout ye shall not plucke your neckes: Ye shall nomore go so proudly, for it wyll be a perlous tyme.
Mic.2.4	In that daye shal thys terme be vsed and a mournynge shalbe made ouer you on thys maner: We be vtterly desolate the porcyon of my people is translated. Whan will he parte vnto vs the laude, that he hath taken from vs?
Mic.2.5	Neuertheles there shalbe noman to deuyde the thy porcyon in the congregacyon of the Lorde.
Mic.2.6	Tush, holde your tunge (saye they) It shall not fall vpon thys people, we shall not come so to confusyon,
Mic.2.7	sayeth the house of Iacob. Is the sprete of the Lorde so cleane awaye? or is he so minded? Treuth it is, my wordes are frendly vnto them that lyue ryght:
Mic.2.8	but my people doth the contrary, therfore must I take parte agaynst them: for they take awaye both cote and cloke from the symple. Ye haue turned youre selues to fyght,
Mic.2.9	the wemen of my people haue ye shut out from their good houses, Ꟶ taken awaye my excellent gyftes from theyr children.
Mic.2.10	Up, get you hence, for here shall ye haue no rest. Because of theyr Idolatrye they are corrupte, Ꟶ shal myserably perysh.
Mic.2.11	If I were a fleshly felowe, Ꟶ a preacher of lyes, and tolde them that they myght syt bybbynge Ꟶ bollyng, Ꟶ be droncken. O that were a Prophete for thys people,
Mic.2.12	But I will gather the in dede, O Iacob, Ꟶ dryue the remnaunt of Israell all together. I shal cary them one with another, as a flocke in the folde, and as the catell in theyr stalles, that they maye be dysquyeted of other men.
Mic.2.13	Who so breaketh the gappe, he shall go before. They shall breake vp the porte, Ꟶ go in Ꟶ out at it. The Kynge shall go before them, and the Lorde shalbe vpon the head of them.
Mic.3.1	And I sayde: heare, O ye heades of the house of Iacob, Ꟶ ye leders of the house of Israell: Shulde not ye knowe, what were lawfull and ryght?
Mic.3.2	But ye hate the good, and loue the euel: ye plucke of mennes skynnes, and the flesh from theyr bones:
Mic.3.3	ye eate the flesh of my people, and flay of theyr skynne: ye breake theyr bones, ye choppe them in peces as it were in to a cauldron, Ꟶ as flesh into a pot
Mic.3.4	Now the tyme shall come, that when they call vnto the Lorde, he shall not heare them, but hyde hys face from them, because that thorow theyr awne Imagynacyons they haue dealte so wyckedly.
Mic.3.5	And as concernynge the prophetes that dysceaue my people, thus the Lorde sayeth agaynst them. When they haue eny thynge to byte vpon, then they preach that all shalbe well: but yf a man put not some thing in to theyr mouthes, they preach of warre agaynst hym.
Mic.3.6	Therfore youre visyon shalbe turned to nyght, Ꟶ youre prophecienge to darcknesse. The Sunne shall go downe ouer those prophetes, Ꟶ the daye shalbe darcke vnto them.
Mic.3.7	Then shall the visyon seers be ashamed, and the sothsayers confounded: yee, they shalbe fayne, all the packe of them, to stoppe theyr mouthes, for they haue not Gods worde.
Mic.3.8	As for me, I am full of strength, Ꟶ of the sprete of the Lorde, full of iudgement Ꟶ boldnesse: to shewe the house of Iacob theyr wyckednes, and the house of Israel theyr synne.
Mic.3.9	O heare this ye rulers of the house of Iacob, Ꟶ ye iudges of the house of Israel, ye that abhorre the thynge that is laufull, Ꟶ wrest asyde the thyng that is streyght.
Mic.3.10	Ye that buylde vp Syon with bloude, and Ierusalem wt doynge wronge.
Mic.3.11	O ye iudges, ye geue sentence for gyftes: O ye preastes, ye teach for lucre. O ye prophetes, ye prophecy for mony. Yet will they be taken as those that holde vpon God, and saye: Is not the Lord amonge vs? Tush, there can no mysfortune happen vs.
Mic.3.12	Therfore shall Sion (for youre sakes) be plowed lyke a felde Ierusalem shall become an heape of stones, and the hyll of the temple shall be turned to an hye wodde.
Mic.4.1	But in the latter dayes it will come to passe, that the hyll of the Lordes house shalbe sett vp hyer then eny mountaynes or hylles: Yee, the people shall prease vnto it,
Mic.4.2	and the multitude of the Gentiles shall haste them thyther, sayeng: Come, let vs go vp to the hyll of the Lorde, and to the house of the God of Iacob: that he maye teach vs hys waye, and that we maye walcke in his pathes. For the lawe shall come out of Sion, Ꟶ the worde of God from Ierusalem,
Mic.4.3	and shall geue sentence amonge the multitude of the Heathen and refourme the people of farre countrees: so that of theyr sweardes they shall make plowshares, Ꟶ sythes of theyr speares. One people shall not lyft vp a sweard agaynst another, yee, they shal nomore learne to fyght:
Mic.4.4	but euery man shall syt vnder his vineyard Ꟶ vnder his fygge tre, Ꟶ no man to fraye him awaye: for the mouth of the Lord of hostes hath spoken it.
Mic.4.5	Therfore, where as all the people haue walcked euery man in the name of hys awne God, we wyll walcke in the name of oure God for euer and euer.
Mic.4.6	At the same tyme, sayeth the Lorde, will I gather vp the lame and the out castes, Ꟶ soch as I haue chastened:
Mic.4.7	Ꟶ wyll geue yssue vnto the lame, and make of the out castes a great people: and the Lorde hym selfe shalbe theyr kynge vpon the mount Syon, from thys tyme forth for euermore.
Mic.4.8	And vnto the. (O thou tower of Eder, thou stronge holde of the daughter Syon) vnto the shall it come: euen the lordshipe and kyngdome of the daughter Ierusalem.
Mic.4.9	Why then art thou now so heuy? is there no kynge in the? are thy councelers awaye that thou art so payned, as a woman in her trayuayle?
Mic.4.10	And now (O thou daughter Syon) be sory, let it greue the as a wyfe laboryng wyth chylde: for now must thou get the out of the cytie, and dwell vpon the playnefelde: Yee, vnto Babylon shalt thou go, there shalt thou be delyuered, and there the Lorde shall lowse the from the hande of thyne enemyes.
Mic.4.11	Now also are there many people gathered together agaynst the, saying: what, Sion is cursed, we shall se oure lust vpon her.
Mic.4.12	But they knowe not the thoughtes of the Lorde, they vnderstande not his councell, that shall gather them together as the sheeues in the barne.
Mic.4.13	Therfore get the vp, O thou daughter Syon, and throsshe out the corne: For I wyll make thy horne yron, Ꟶ thy clawes brasse, that thou mayest grynde many people: theyr goodes shalt thou appropriate vnto the Lorde, and theyr substaunce vnto the ruler of the whole worlde.
