Neh.0.0	{¶ The seconde boke of Esdras, otherwyse called the boke of Nehemia}
Neh.1.1	The wordes of Nehemia the sonne of Hachalia. It fortuned in the moneth Chisleu in the twentie yere, that I was in the castell at Susan:
Neh.1.2	Ꟶ Hanani one of my brethren came with certayne men of Iuda, and I asked them how the Iewes dyd that were delyuered an escaped from the captyute, and how it went at Ierusalem.
Neh.1.3	And they sayde vnto me: The remnaunt of the captyuyte are there in the lande in greate misfortune and rebuke. The wall of Ierusalem also is broken downe, and the gates therof are brent with fyre.
Neh.1.4	It fortuned, that when I hearde these wordes, I sat me downe and wepte, and mourned certayne dayes, Ꟶ fasted, Ꟶ prayed before the God of heauen,
Neh.1.5	Ꟶ sayde, O Lorde God of heauen, thou greate Ꟶ terrible God, thou that kepest couenaunt and mercy for them that loueth the, and obserue thy commaundementes:
Neh.1.6	let thyne eares hearken, I beseche the, and let thyne eyes be open, that thou mayest heare the prayer of thy seruauntes, whych I praye now before the, daye Ꟶ nyghte, for the chyldren of Israel thy seruauntes, and knowledge the synnes of the chyldren of Israel, which we haue synned agaynst the. I and my fathers house haue synned.
Neh.1.7	We haue bene vtterly dispersed from thy lawe, and haue not kepte the commaundementes, statutes and lawes, which thou commaundedst thy seruaunt Moses.
Neh.1.8	I besech the, call to remembraunce the worde that thou commaundedst thy seruaunt Moses, Ꟶ saydest: Ye wyll transgresse, and I will scater you abroade among the nacions.
Neh.1.9	But yf ye turne vnto me, and kepe my commaundementes Ꟶ do them: though ye were cast out vnto the vttermost parte of heauen, yet will I gather you from thence, and wyll brynge you vnto the place, that I haue chosen to set my name there.
Neh.1.10	They are thy seruauntes, and thy people, whom thou hast deliuered thorowe thy great power Ꟶ in thy myghtie hand.
Neh.1.11	O Lord, I besech the, let thyne eare herken to the prayer of thy seruaunt, and to the prayer of thy seruauntes, whose desyre is to feare thy name, and let thy seruaunt prospere this daye, and graunte hym mercy in the syght of thys man: for I was the kynges buttelar.
Neh.2.1	It fortuned, that in the moneth Nisan in the twentyeth yeare of kynge Arthaxerses, the wyne stode before hym, and I toke vp the wyne, and gaue it vnto the kynge, and I was heuy in his presence.
Neh.2.2	And the kyng sayde vnto me: why lokest thou so sadly, whan thou art not sycke? it is nothynge els, but that thou art heuy herted. And I was sore afrayed,
Neh.2.3	and sayed vnto the kynge: God saue the kynges life for euer. How shulde I not loke sadly, whan the cytie and place of my fathers buryall lyeth waste, and the gates therof are so consumed with fyre?
Neh.2.4	And the kyng sayde vnto me: what is then thy request? I made my prayer also to the God of heauen,
Neh.2.5	and sayde vnto the kyng: yf it please the kyng, and yf thy seruaunt haue founde fauoure in thy syghte, sende me into Iuda vnto the cytie of my fathers buryall, that I maye buylde it.
Neh.2.6	And the kynde sayde vnto me (the quene his wyfe sytting by him) howe longe shall thy iourney continue, and when wylt thou come agayne? And it pleased the kynge to sende me, and I sett him a tyme,
Neh.2.7	Ꟶ sayde vnto the kyng: yf it please the kyng, let him geue me letters to the captaynes which are beyonde the water, that they maye conuaye me ouer, tyll I come into Iuda:
Neh.2.8	and letters vnto Asaph the Lord of the kinges wood, that he maye geue me tymber to make beames for the gates of the palace (which is harde by the house) Ꟶ for the walles of the cytie, and for the house that I shall entre into. And the kynge gaue me accordinge to the hande of my God, which was good vpon me.
Neh.2.9	And when I came to the captaynes beyonde the water, I gaue them the kynges letters And the kynge had sent captaynes and horsmen with me.
Neh.2.10	Sanabalat also the Horonite and Tobia a seruaunt (the Ammonite) hearde of it, and it greued them sore, that there was come a man which soughte the welth of the chyldren of Israel.
Neh.2.11	And I came to Ierusalem, Ꟶ was there thre dayes,
Neh.2.12	and I gat me vp in the night season, and a fewe men with me: nether tolde I anye man, what God had geuen me in my hert to be at Ierusalem: and there was not one beast with me saue it that I rode vpon.
Neh.2.13	And I departed in the nyghte by the valley porte, before the Dragon well, Ꟶ to the Donge porte, and considered the walles of Ierusalem, how they were broken downe, and the portes therof consumed with the fyre.
Neh.2.14	And I went ouer vnto the wellporte, and to the kynges condyte, and there was no rowme for the beast that was vnder me, to passe.
Neh.2.15	Then wente I on in the nyght by the brooke syde and consydered the wall, and turned backe, and came home agayne by the valley porte.
Neh.2.16	And the rulers knewe not whither I wente or what I dyd: neyther dyd I as yet tell it vnto the Iewes, to the preastes, to the noble men, to the rulers, and to the other that laboured in the worcke.
Neh.2.17	Then sayde I vnto them: ye se the miserye that we are in, how Ierusalem lyeth waste, and how the gates therof are brent with fyre: come therfore, that we maye buylde vp the wall of Ierusalem, Ꟶ that we be no more a rebuke.
Neh.2.18	And I told them of the hande of my God, (that it was gracious ouer me) and the kynges wordes that he had spoken vnto me. And they sayde: let us get vp and buylde: and they strengthed their hande to goode.
Neh.2.19	But when Sanabalat the Horonite, and Tobia the seruaunt (an Ammonite,) and Gesem the Arabian herde it, they laughed vs to skorne, and mocked vs, and sayde: what is thys that ye do? Wyll ye fall awaye from the kynge?
Neh.2.20	Then answered I them, and sayde: the God of heauen, he it is that hath graunted vs prosperite: and we be his seruauntes. Let vs get up and buylde. As for you, ye haue no porcyon nor right, nor remembraunce in Ierusalem.
Neh.3.1	And Eliasib the hie preast gat him vp with hys brethren the preastes, Ꟶ they buylded the Shepegate. They repayred it, Ꟶ set vp that dores of it: euen vnto the tower Mea repayred they it, and vnto the tower of Hananeel.
Neh.3.2	Nexte vnto him also buylded the men of Iericho. And besyde him buylded Sachur the sonne of Amri.
Neh.3.3	But the fyshe porte dyd the chyldren of Sanaa buyld, which also layed the beames therof, an set on the dores, lockes and barres of it.
Neh.3.4	And nexte vnto him builded Meremoth the sonne of Uria, the sonne of Hakoz: and nexte vnto them buylded zadoc the sonne of Baana.
Neh.3.5	And nexte vnto him buylded they of Thekoa. But the great men that were amonge them, put not theyr neckes to the worcke of their Lorde.
Neh.3.6	The Oldegate buylded Iehoiada the sonne of Paseah, and Mesulam the sonne of Besodia, they layde the beames therof, and set on the dores, lockes and barres of it.
Neh.3.7	Nexte vnto them, buylded Malatiah of Gibeon, and Iadon of Merano, men of Gibeon, and of Mispa, where he that was captayne of this syde the water had a mansion.
Neh.3.8	Nexte vnto him buylded Usiel the sonne of Harhaiah the goldsmyth. Nexte vnto him also builded Hananiah the sonne of Harakahim, and they repayred Ierusalem vnto the brode wall.
Neh.3.9	Nexte vnto them buylded Raphaiah the sonne of Hur, the ruler of the halfe parte of Ierusalem.
Neh.3.10	Nexte vnto hym buylded Iedata the sonne of Harumaph ouer agaynst his house: and nexte vnto him buylded Hatus the sonne of Hasabnia.
Neh.3.11	But Melchia the sonne of Harim and Hasub the sonne of the captayne of Moab buylded the other pece, and the tower besyde the fornaces.
Neh.3.12	Nexte vnto him buylded Sallum a syngers sonne, the ruler of the halfe parte of Ierusalem, he and his daughters.
Neh.3.13	The valley gate buylded Hanum, Ꟶ the cytesyns of zanoa. They buylded it, and set on the dores, lockes and barres therof, and a thousande cubites on the wall, vnto the Donge porte.
Neh.3.14	But the Donge porte buylded Melchiah the sonne of Rechab, the ruler of the fourth parte of Bethcharem: he repayred it, and set on the dores, lockes and barres therof.
Neh.3.15	But the wellgate repayred Sallum the sonne of Cholhosah, the ruler of the fourth parte of Mispa. He buylded it, and layed the beames, and set on the dores, lockes, and barres therof, and the wall vnto the pole of Siloah by the kynges garden, and vnto the steppes that go downe from the cytie of Dauid.
Neh.3.16	After him buylded Nehemiah the sonne of Afbok, the ruler of the halfe parte of Bethzur, vntyll the other syde ouer agaynst the sepulchres of Dauid, and to the pole that was repayred, and vnto the house of the myghtie.
Neh.3.17	After him buylded the Leuites, Rehum the sonne of Bani: and nexte vnto him buylded Hasabia the ruler of the halfe parte of Keilah in hys quarter.
Neh.3.18	After hym buylded theyr brethren. Bauai the sonne of Henadad the ruler of the halfe parte of Keilah:
Neh.3.19	and after hym buylded Ezer the sonne of Iesua the ruler of Mispa the other pece, harde ouer agaynst the goynge vp to the house of ordinaunce that was in the corner.
Neh.3.20	Agayne, after hym brake forth Baruch the sonne of zachai of indignacyon, and repayred the other pece from the turnyng corner vnto the dore of the house of Eliasib the hye prest.
Neh.3.21	After hym also buylded Merimoth the sonne of Uria the sonne of Hacos the other pece, from the dore of the house of Eliasib, euen as longe as the house of Eliasib extended.
Neh.3.22	After hym buylded the preastes, the men of the playne.
Neh.3.23	After hym buylded BenIamin and Hasub ouer agaynst theyr house: and after hym wrought Asaria the sonne of Maasia the sonne of Anania nexte vnto hys house.
Neh.3.24	After hym also buylded Benui the sonne of Hanadad the other pece, from the house of Asaria vnto the turnynge of the wall, and vnto the corner.
Neh.3.25	After hym buylded Pala the sonne of Usai ouer agaynst the corner and the hye tower, which lyeth out ouer from the kynges house, that was besyde the courte of the preson. After hym Phedaia the sonne of Pharhos
Neh.3.26	(as for the Nethinims they dwelt in the strong holde vnto the watergate, towarde the east, and to the tower that lyeth out.)
Neh.3.27	After hym buylded they of Thekua the other pece ouer agaynst the greate tower, that lyeth outwarde, vnto the wall of the stronge holde.
Neh.3.28	But from aboue the Horsgate forth, buylded the preastes, euery one ouer agaynst his house.
Neh.3.29	And after them buylded zadok the sonne of Immer ouer agaynst his house. After hym buylded also Semeia the sonne of Sechania the keper of the Eastgate.
Neh.3.30	After him buylded Hanania the sonne of Selemia, and Hanun the sonne of zalaph the syxte, the other peace. And after him buylded Mesulam the sonne of Barachia ouer agaynst his store house.
Neh.3.31	After him buylded Malachia the goldsmythes sonne, vntyll the house of Nithinims, and of the merchauntes ouer agaynst the gate of Mephkad, and to the parler in the corner.
Neh.3.32	And betwene the parlour of the corner vnto the Shepegate buylded the goldsmytes and the merchauntes.
Neh.4.1	But when Sanabalat heard that we buylded the wall, he was wroth in hym selfe, and toke greate indignacion, Ꟶ mocked the Iewes,
Neh.4.2	and sayde before his brethren Ꟶ the souldyers of Samaria: what do these impotent Iewes? wyll the hethen suffre them? shall they offre? shall they perfourme it in one daye? shal they make the stones whole agayne that are brought to dust, and brent?
Neh.4.3	And Tobiah the Ammonite was besyde him, and sayde: Though they buylde, yet yf a foxe go vp, he shall breake downe theyr stonye wall.
