Num.0.0	¶ The fourth boke of Moses called in the Hebrue, Uaiedabber and in the Latyn Numeri.
Num.1.1	And the Lorde spake vnto Moses in the wildernesse of Sinay, in the tabernacle of wytnesse, the fyrst daye of the seconde moneth in the seconde yeare after they were come out of the lande of Egypte, sayinge:
Num.1.2	take ye the summe of all the multitude of the chyldren of Israel, after theyr kynredes Ꟶ housholde of theyr fathers wyth the nombre of theyr names, all that are males, heed by heed,
Num.1.3	from .xx. yeare Ꟶ aboue: euen all that go forthe to the warre in Israel, thou and Aaron shall nombre them thorowe out theyr armyes,
Num.1.4	and wyth you shalbe men of euery trybe, wherof euery one is heed man of the house of hys fathers.
Num.1.5	And these are the names of the men that shall stande with you: of Ruben, Elizur the sonne of Sedeur:
Num.1.6	of Simeon, Selumiel the sonne of Suri Sadai:
Num.1.7	of Iuda, Nahesson the sonne of Aminadab:
Num.1.8	of Isachar, Nathanael the sonne of zuar:
Num.1.9	of zabulon, Eliab the sonne of Helon.
Num.1.10	Amonge the chyldren of Ioseph: of Ephraim, Elisama the sonne of Amihud: of Manasse, Gamaliel the sonne of Peda zur:
Num.1.11	of Ben Iamin, Abidan the sonne of Gedeoni:
Num.1.12	of Dan, Ahiezer the sonne of Ammi Sadai:
Num.1.13	of Aser, Pagiel the sonne of Ocran:
Num.1.14	of Gad, Elisaph the sonne of Deguel:
Num.1.15	of Nephthali, Ahira the sonne of Enan.
Num.1.16	These were of greate fame in the congregacyon, Lordes of the trybes of their fathers, and heades ouer thousandes in Israel.
Num.1.17	And Moses and Aaron toke these men (which are expressed by theyr names)
Num.1.18	and gethered all the congregacyon together, the fyrst daye of the seconde moneth, and they were rekened thorowe out their kinredes Ꟶ houses of their fathers by name from .xx. yeare and aboue, heed by heed.
Num.1.19	As the Lorde commaunded Moses, euen so he nombred them in the wyldernesse of Sinai.
Num.1.20	And the chyldren of Ruben Israels eldest sonne thorowe out theyr generacions, Ꟶ their kynredes, Ꟶ houses of their fathers in the nombre of names, heed by heed (all males from .xx. yeare Ꟶ aboue) as many as dyd goo forth to the warre:
Num.1.21	the nombre of them that were of the tribe of Ruben, was .xlvi. thousande Ꟶ .v. hundred.
Num.1.22	Of the chyldren of Simeon thorowe out theyr generacyons and theyr kynredes and houses of theyr fathers, the summe of them in the nombre of names, heed by heed, all the males from .xx. yeares and aboue, whosoeuer myght go forth to the warre:
Num.1.23	the summe of them that were of the trybe of Simeon .lix. thousande and .iij. hundred.
Num.1.24	Of the chyldren of Gad thorowe out their generacyons and theyr kynredes and housholdes of theyr fathers, the nombre of the names from .xx. yeare Ꟶ aboue, all that wente forth to the warre:
Num.1.25	the nombre of them that were of the tribe of Gad, was .xlv. thousande, syxe hundred and fyftye.
Num.1.26	Of the chyldren of Iuda thorowe out their generacyons and their kynredes and houses of their fathers, the nombre of names from .xx. yeare and aboue, all that were able to go furth to the warre:
Num.1.27	The nombre of them that were of the tribe of Iuda was .lxxiiij. thousande and syxe hundred.
Num.1.28	Of the chyldren of Isachar thorowe out theyr generacions Ꟶ theyr kynredes and houses of theyr fathers: the nombre of names from .xx. yeare and aboue which went all furth to warre,
Num.1.29	the nombre of them that were of the tribe of Isachar, was .liiij. thousande Ꟶ .iiij. hundred.
Num.1.30	Of the chyldren of zabulon: thorowe out theyr generacyons and theyr kynredes, and houses of their fathers, the nombre of names from .xx. yeare Ꟶ aboue, whych were all able to go furth in the hoost:
Num.1.31	The nombre of them that were of the trybe of zabulon, was .lvij. thousande and foure hundred.
Num.1.32	Of the chyldren of Ioseph: Namely, of the chyldren of Ephraim thorowe out theyr generacyons and theyr kynredes and houses of theyr fathers, the nombre of names from .xx. yeares Ꟶ aboue,
Num.1.33	all that went out to the warre: the nombre of them that were of the tribe of Ephraim was .xl. thousande, Ꟶ fyue hundred.
Num.1.34	Of the chyldren of Manasse thorow out their generacions, Ꟶ theyr kynredes, and houses of their fathers, the nombre of names from twentye yeare olde Ꟶ aboue, all that went out to the warre:
Num.1.35	The nombre of them that were of the tribe of Manasse, was .xxxij. thousande Ꟶ two hundred.
Num.1.36	Of the chyldren of Ben Iamin thorowe out their generacyons, and theyr kynredes Ꟶ houses of theyr fathers, the nombre of names from twentye yeare Ꟶ aboue, all the wente furth to the warre:
Num.1.37	The nombre of them that were of the trybe of BenIamin was .xxxv. thousande, and .iiii. hundred.
Num.1.38	Of the chyldren of Dan thorowe out their generacyons and their kynredes and houses of theyr fathers: the nombre of names from twentye yeare olde and aboue, all that went furth to the warre:
Num.1.39	The nombre of them that were of the trybe of Dan was .lxii. thousande and .vii. hundred.
Num.1.40	Of the children of Aser thorowe out their generacyons and their kynredes and houses of theyr fathers, the nombre of the names from .xx. yeares and aboue, all that wente out to warre:
Num.1.41	The nombre of them that were of the trybe of Aser was .xli. thousande and .v. hundred.
Num.1.42	Of the chyldren of Nephthali: thorowe out theyr generacyons and theyr kynredes Ꟶ houses of theyr fathers, the nombre of names from .xx. yeares and aboue, all that myght go furth to the warre:
Num.1.43	The nombre of them that were of the trybe of Nephthali, was thre and fyftye thousande and .iiii. hundred.
Num.1.44	These are the summes whych Moses Ꟶ Aaron nombred and the princes of Israel: those twelue men, which were euery one ouer the house of theyr fathers.
Num.1.45	And all the nombres of the chyldren of Israel, thorowe out the houses of theyr fathers, from twentie yeare Ꟶ aboue, all that went furth to the warre in Israel,
Num.1.46	drewe all vnto the summe of syxe hundred thousande and thre thousande, fyue hundred and fyftye.
Num.1.47	But the Leuites after the trybe of theyr fathers were not nombred amonge them.
Num.1.48	And the Lorde spake vnto Moses, saying:
Num.1.49	Thou shalt not nombre the trybe of Leui, nether take the somme of them from amonge the chyldren of Israel.
Num.1.50	But thou shalt appoynte the leuites ouer the habytacyon of witnesse, and ouer all the vessels therof, and ouer all thynges that are in it. Yea they shall beare the tabernacle and all the vessels therof, Ꟶ they shall ministre in it, Ꟶ shall dwell rounde aboute the tabernacle.
Num.1.51	And when the tabernacle goeth forth, the leuites shall take it downe: and when the tabernacle is to be pitched, they shall sett it vp: and yf any straunger come nye, he shall dye.
Num.1.52	And the chyldren of Israel shall pytch theyr tentes, euery man in hys owne companye, and eueryman vnder his awne standerd thorowe out theyr hostes.
Num.1.53	But the leuites shall pytche rounde aboute the tabernacle of wytnesse, that there be no wrath vpon the congregacyon of the chyldren of Israel, and the leuites shall kepe the watch of the tabernacle of witnesse.
Num.1.54	And the children of Israel dyd accordynge to all that the Lord commaunded Moses, euen so dyd they.
Num.2.1	And the Lorde spake vnto Moses and Aaron sayinge:
Num.2.2	euery man of the children of Israel shall pytch vnder his owne standerd Ꟶ vnder the armes of theyr fathers houses: on the other syde Ꟶ rounde aboute the tabernacle of wytnesse shall they pytch.
Num.2.3	On the eastsyde to warde the rysynge of the sonne, shall they of the standerd of the hoste of Iuda pytch thorowe out theyr armyes: And Nahesson the sonne of Aminadab was captayne of the sonnes of Iuda.
Num.2.4	And his hoste and the nombre of them .lxxiiii. thousande Ꟶ .vi. hundred.
Num.2.5	Next vnto him shall they that be of the trybe of Izachar pytche: Ꟶ Nathaneel the sonue of zuar was captayne of the chyldren of Izachar:
Num.2.6	hys hoste Ꟶ the summe of the nombre therof .liiii. thousande Ꟶ foure hundred.
Num.2.7	And then the trybe of zabulon: and Eliab the sonne of Helon, captayne ouer the chyldren of zabulon,
Num.2.8	Ꟶ his hoste Ꟶ the nombre of them .lvii. thousande and .iiii. hundred:
Num.2.9	so that the whole nombre of the whole hoste of Iuda are an hundred thousande .lxxxvi. thousande. Ꟶ .iiii. hundred thorowe out theyr armyes: and these shall go before.
Num.2.10	On the southsyde shall the standerd of the hoste of Ruben kepe thorowe theyr companyes: Ꟶ the captayne ouer the sonnes of Ruben, was Elizur the sonne of Sedeur.
Num.2.11	And hys hoste and the nombre of them .xlvi. thousande, and .v. hundred.
Num.2.12	And fast by hym shall the trybe of Symeon pytche, and the captayne ouer the sonnes of Simeon, was Salumiel the sonne of zuri Sadai,
Num.2.13	and his hoste and the nombre of them .lix. thousande Ꟶ .iii. hundred.
Num.2.14	And the trybe of Gad also: and the captayne ouer the sonnes of Gad, was Eliasaph the sonne of Deguel:
Num.2.15	And his hoste and the nombre of them .xlv. thousande .vi. hundred and .l.
Num.2.16	All that were nombred wyth the trybe of Ruben: an hundred thousande .li. thousande .iiii. hundred Ꟶ .l. thorowe out their armyes, and they shall go in the seconde place.
Num.2.17	And the tabernacle of wytnesse shall go wyth the hoste of the leuites, in the myddes of the hostes: And as they lye in their tentes, euen so shall they procede in the iourney, euery man in hys degree, and vnder theyr owne standerdes.
Num.2.18	The westsyde shall the standard of the hoste of Ephraim kepe wyth theyr armyes, Ꟶ the captayne ouer the sonnes of Ephraim, was Elisama the sonne of Amihud:
Num.2.19	Hys hoste and the nombre of them .xl. thousande and fyue hundred.
Num.2.20	And fast by hym, shalbe the trybe of Manasse, and the captayne ouer the sonnes of Manasse was Gamaleel the sonne of Pedazur.
Num.2.21	Hys hoste and the nombre of them .xxxii. thousande and .ii. hundred.
Num.2.22	And the trybe of Ben Iamin also: and the captayne ouer the sonnes of Beniamin was, Abidan the sonne of Gedeoni.
Num.2.23	Hys hoste and the nombre of them .xxxv. thousande and .iiij. hundred.
Num.2.24	All that were appoynted with the hoste of Ephraim, were an hundred thousande .viij. thousande and an hundred, thorowe out their armyes Ꟶ they shall goo in the thyrde place.
Num.2.25	The standerd of the hoste of Dan shall kepe the northsyde with their armyes: Ꟶ the captayne ouer the children of Dan, was Ahiezer the sonne of Ammi Sadai.
Num.2.26	His hoste and the nombre of them .lxxij. thousande and .vi. hundred.
Num.2.27	And fast by hym shall the trybe of Aser pitche: and the captayne ouer the sonnes of Aser was Pagiel the sonne of Ocran.
Num.2.28	Hys hoste and the nombre of them .xlj. thousande Ꟶ .v. hundred.
Num.2.29	And the trybe of Nephthali also, and the captayne ouer the chyldren of Nephthali: was Ahira the sonne of Enan.
Num.2.30	Hys hoste and the nombre of them .liij. thousande and .iiij. hundred.
Num.2.31	All they that were appoynted wyth the hoste of Dan, was an hundred thousande .lvij. thousande and .vj. hundred. And they shall go hynmost wyth their standerdes.
Num.2.32	These are the summes of the chyldren of Israel thorowe out the houses of their fathers. euen all the nombres that pytched thorowe out their hostes .vi. hundred thousande .iii. thousande .v. hundred and fyftie.
Num.2.33	But the Leuites were not nombred amonge the chyldren of Israel, as the Lorde commaunded Moses.
Num.2.34	And the chyldren of Israel dyd accordynge to all that the Lorde commaunded Moses, for so they pytched with their standerdes, Ꟶ so they iourneyd thorowe out their kynredes, Ꟶ thorowe out the housholdes of their fathers.
Num.3.1	These are the generacyons of Aaron and Moses, in the daye that the Lord spake wt Moses in mount Synai,
Num.3.2	Ꟶ these are the names of the sonnes of Aaron: Nadad the eldest sone, Abihu, Eleazar and Ithamar.
Num.3.3	These are the names of the sonnes of Aaron which were Preastes anoynted, Ꟶ whose hande was consecrated to minystre.
Num.3.4	And Nadab and Abihu dyed before the Lorde whan they offred straunge fyre before the Lorde in the wyldernesse of Synai, and had no chyldren. And Eleazar and Ithamar mynistred in the syght of Aaron their father.
Num.3.5	And the Lorde spake vnto Moses, sayinge:
Num.3.6	brynge the trybe of Leui, and set them before Aaron the Preast that they maye serue hym and wayte vpon hy
Num.3.7	and vpon all the multitude, before the tabernacle of witnesse, to do the seruyce of the habitacyon.
Num.3.8	They shall kepe all the apparell of the tabernacle of wytnesse, and wayte vpon the chyldren of Israel, to do the seruyce of the habitacion.
Num.3.9	And thou shalt geue the Leuites vnto Aaron and hys sonnes, for they are geuen and delyuered vnto him of the chyldren of Israel.
Num.3.10	And thou shalt appoynte Aaron Ꟶ hys sonnes to wayte on their Preastes offyce: and the straunger that commeth nye, shall be slayne.
Num.3.11	And the Lord spake vnto Moses sayinge:
Num.3.12	beholde I haue taken the Leuites from amonge the chyldren of Israell for all the fyrst borne that openeth the matrice amonge the chyldren of Israel, and the Leuites shalbe myne:
Num.3.13	because all the fyrst borne are myne: for the same daye that I smote all the fyrst borne in the lande of Egypte, I halowed vnto me all the fyrstborne in Israel, both man Ꟶ beast, and myne they shalbe: I am the Lorde.
Num.3.14	And the Lorde spake vnto Moses in the wyldernesse of Synai sayinge:
Num.3.15	Nombre the chyldren of Leui after the houses of their fathers in their kynredes. All that are males, from a moneth olde and aboue shalt thou nombre.
Num.3.16	And Moses nombred them, accordynge to the commaundement of the Lord, and as he had commaunded.
Num.3.17	And these were the chyldren of Leui in their names: Gerson, Ꟶ Cahath and Merari.
Num.3.18	And these are the names of the chyldren of Gerson in their kynredes: Libni and Semei.
Num.3.19	The sonnes of Cahath in their kynredes: Amram, Iezehar, Hebron Ꟶ Oziel.
Num.3.20	And the sonnes of Merari in their kynredes Maheli and Musi. These are the kynredes of the Leuites, accordynge to the houses of their fathers.
Num.3.21	Of Gerson came the kynred of the Libnites and the kynred of the Semeites. These are the kynredes of the Gersonites.
