Phil.0.0	¶ The epistle of saynt Paul the Apostle vnto the Philippyans.
Phil.1.1	Paul and Tymothe the seruauntes of Iesu Chryst. To all the saynctes in Chryst Iesu, which are at Philippos with the Bisshops and Deacons.
Phil.1.2	Grace be vnto you and peace from God oure father, and from the Lorde Iesus Chryst.
Phil.1.3	I thanke my God with all remembraunce of you
Phil.1.4	all wayes in all my prayers for you, and praye with gladnes:
Phil.1.5	because ye are come into the fellowshyppe of the Gospell from the fyrst daye vnto nowe
Phil.1.6	and am suerly certyfyed of thys, that he, which hath begonne a good worke in you, shall perfourme it vntyll the daye of Iesus Chryst,
Phil.1.7	as it becommeth me, so iudge I of you all, because I haue you in my herte: for asmoche as ye all are companyons of grace with me, euen in my bondes, and in the defendynge and stablisshynge of the Gospell.
Phil.1.8	For God is my recorde, howe greatly I longe after you all, from the very herte rote in Iesus Chryst.
Phil.1.9	And thys I praye, that youre loue maye increase yet more and more in knowledge, and in all vnderstandynge,
Phil.1.10	that ye maye accepte the thynges that are most excellent, that ye maye be pure, and soche, as offende no man vntyll the daye of Christ:
Phil.1.11	beynge fylled with the frute of ryghtewesnes, which cometh by Iesus Christ vnto the glory and prayse of God.
Phil.1.12	I wolde ye shulde vnderstonde (brethren) that the thynges which happened vnto me, chaunced vnto the greate furtheraunce of the Gospell:
Phil.1.13	So that my bandes in Christ, are manifeste thorowe out all the iudgement hall and in all other places:
Phil.1.14	In so moche that many of the brethren in the Lorde beynge encoraged thorowe my bandes, dare more boldly speake the worde without feare.
Phil.1.15	Some preache Chryst of enuie and stryfe, and some of good wyll,
Phil.1.16	The one parte preache Chryst of stryfe and not syncerely, supposynge to adde more aduersytie to my bandes.
Phil.1.17	Agayne the other parte preache of loue, because they knowe, that I am set to defende the Gospell.
Phil.1.18	What then? So that Chryst be preached anye maner of waye, whether it be by occasyon, or of true meaninge, I am glad therof, ye and wyll be glad.
Phil.1.19	For I knowe, that this shall chaunce to my saluacyon, thorowe youre prayer and ministrynge of the sprete of Iesu Chryst
Phil.1.20	accordinge to my expectacion, and hope, that in nothinge I shalbe ashamed: but that wyth all boldnesse, (as all wayes euen so nowe also) Christ shall be magnifyed in my body, whether it be thorowe lyfe, or thorowe deeth.
Phil.1.21	For Christ is to me lyfe, and deeth is to me auauntage.
Phil.1.22	If it chaunce me to lyue in the flesshe, that thinge is to me frutefull for the worcke, and what I shall chose I wote not.
Phil.1.23	For I am constrayned of these two thinges. I desyre to be loosed, Ꟶ to be wt Christ which is moche Ꟶ far better.
Phil.1.24	Neuerthelesse, to abyde in the flesshe is more nedfull for you,
