Prov.0.0	¶ The prouerbes of Salomon.
Prov.1.1	The prouerbes of Salomon, the sonne of Dauid kynge of Israel:
Prov.1.2	to learne wisdome, Ꟶ to perceaue the instruccyon, and to perceaue the wordes of vnderstondynge: Ꟶ therby to receaue prudence,
Prov.1.3	ryghteousnes, iudgement and equite.
Prov.1.4	That the very simple myght haue wyt, and that the yonge men myght haue knowledge and true vnderstanding.
Prov.1.5	By hearing the wise man shall come by more wysedome: and he that is endewed wt vnderstanding
Prov.1.6	shal optayn wit to perceaue a parable, Ꟶ the interpretacyon therof, the wordes of the wyse, Ꟶ the darcke speaches of the same.
Prov.1.7	The feare of the Lorde is the begynnyng of wysdome. But fooles despyse wysdome Ꟶ instruccion.
Prov.1.8	My sonne, heare thy fathers doctrine: Ꟶ forsake not the lawe of thy mother:
Prov.1.9	for that shall bringe grace vnto thy heed, and shalbe as a cheyne about thy neck.
Prov.1.10	My sonne, consente not vnto synners,
Prov.1.11	yf they entise the, Ꟶ saye: come with vs, we will laye wayte for bloude, Ꟶ lurcke preuely for the innocent without a cause:
Prov.1.12	we shall swalowe then vp lyke the hell, Ꟶ deuoure them quycke and hole, as those that go downe into the pyt.
Prov.1.13	So shall we fynde all maner of costelye ryches, Ꟶ fill our houses wt spoyles.
Prov.1.14	Cast in thy lot among vs: Ꟶ let vs haue all one purse.
Prov.1.15	My sonne, walke not thou with them: refrayne thy fote from their waye.
Prov.1.16	For their fete runne to euell: Ꟶ are hasty to shed bloud.
Prov.1.17	But in vayn is the net laied forth before the byrdes eyes:
Prov.1.18	yee they them selues laye wayte one for anothers bloud Ꟶ one of them wold sleye another.
Prov.1.19	These are the wayes of all soch as be couetous, the one wold rauysh anothers lyfe.
Prov.1.20	Wisdome cryeth wtout, Ꟶ putteth forth her voyce in the stretes.
Prov.1.21	She calleth before the congregacyon in the open gates, Ꟶ sheweth her wordes thorow the citye, saying:
Prov.1.22	O ye children, how longe wyll ye loue childesshnes? how longe wyll the scorners delyte in scorning, Ꟶ the vnwyse be enemyes vnto knowledge?
Prov.1.23	O turne you vnto my correccion: lo, I wyll expresse my mynde vnto you, Ꟶ make you vnderstande my wordes.
Prov.1.24	I haue called, Ꟶ ye refused it: I haue stretched out my hande: Ꟶ no man regarded it:
Prov.1.25	but all my councels haue ye despised: Ꟶ set my correccion at naught.
Prov.1.26	Therfore shall I also laugh in youre destruccion, Ꟶ mocke you, when that thinge that ye feare commeth vpon you:
Prov.1.27	euen when the thynge that ye be afrayed of, falleth in sodenly lyke a storme, Ꟶ your misery lyke a tempest: yee, when trouble Ꟶ heuines commeth vpon you.
Prov.1.28	Then shal they call vpon me, but I wyll not heare: they shall seke me early, but they shall not fynde me.
Prov.1.29	And that because they hated knowledge, Ꟶ receaued not the feare of the Lorde:
Prov.1.30	but abhorred my councell, and despysed all my correccion.
Prov.1.31	Therfore shall they eate the frutes of theyr awne waye, Ꟶ be filled with their awne inuencions:
Prov.1.32	for the turnynge awaye of the vnwyse shall sleye them, and the prosperytie of fooles shalbe their awne destruccyon.
Prov.1.33	But whoso harkneth vnto me, shall dwell safely, and be sure from any feare of euyll.
Prov.2.1	My sonne, yf thou wilt receaue my wordes, and kepe my commaundementes by the,
Prov.2.2	that thou wylt enclyne thyne eare vnto wysdome, applye thyne hert then to vnderstandynge.
Prov.2.3	For yf thou cryest after wisdome, and callest for knowledge:
Prov.2.4	yf thou sekest after her as after money, and dyggest for her as for treasure,
Prov.2.5	then shalt thou vnderstande the feare of the Lorde, and fynde the knowledge of God.
Prov.2.6	For it is the Lorde that geueth wisdome, out of his mouth commeth knowledge and vnderstandynge.
Prov.2.7	He hydeth vp healthe for the ryghteous. He preserueth the welfare of the ryghteous, and defendeth them that walke syncerely:
Prov.2.8	he kepeth them in the ryght pathe, and preserueth the waye of soche as serue hym with godlynesse.
Prov.2.9	Then shalt thou vnderstande ryghteousnesse, iudment, and equyte: yee, and euery good path.
Prov.2.10	Yf wysdome entre into thyne herte, and thy soule delyte in knowledge:
Prov.2.11	then shall councell preserue the, and vnderstandynge shall kepe the.
Prov.2.12	That thou mayest be delyuered from the euell waye, and from the man that speaketh frowarde thinges.
Prov.2.13	From soche as leaue the hye strete, Ꟶ walke in the wayes of darckenesse:
Prov.2.14	which reioyse in doynge euell: and delyte in wycked thynges:
Prov.2.15	whose wayes are croked, and they frowarde in thyr pathes.
Prov.2.16	That thou mayest be deliuered also from the straunge woman, and from her that is not thyne awne: which geueth swete wordes,
Prov.2.17	forsaketh the husbande of her youth, Ꟶ forgetteth the conuenaunt of her God.
Prov.2.18	For her house is enclyned vnto death, Ꟶ her pathes vnto hell.
Prov.2.19	All they that go in vnto her come not agayn, nether take they holde of the waye of lyfe.
Prov.2.20	Therfore, walke thou in the waye of soch as be verteous, and kepe the pathes of the ryghteous.
Prov.2.21	For the iust shall dwell in the lande: and they that be perfecte shall remayne in it:
Prov.2.22	but the vngodly shalbe roted out of the lande: and the wycked doers shalbe roted out of it.
Prov.3.1	My sonne, forget not thou my lawe, but se that thyne hert kepe my commaundementes.
Prov.3.2	For they shall prolonge the dayes Ꟶ yeres of thy lyfe, and bringe the peace.
Prov.3.3	Let mercy and faythfulnes neuer go from the: bynde them about thy necke, and wryte them in the tables of thyne herte.
Prov.3.4	So shalt thou fynde fauour Ꟶ good vnderstanding, in the syght of God and men.
Prov.3.5	Put thy trust in God with all thyne herte: and leane not vnto thyne awne witte.
Prov.3.6	In all thy wayes haue respecte vnto hym: Ꟶ shall order thy goynges.
Prov.3.7	Be not wyse in thyne awne conceate: but feare the Lorde, and departe from euell:
Prov.3.8	so shall thy nauell be whole, and thy bones stronge.
Prov.3.9	Honoure the Lord wt thy substaunce: and with thy firstlinges of all thyne encrease
Prov.3.10	so shall thy barnes be fylled with plenteousnesse: and thy presses shall flowe ouer with swete wyne.
Prov.3.11	My sonne, despyse not the chastenynge of the Lorde, nether faynte when thou art rebuked of hym.
Prov.3.12	For whom the Lorde loueth, hym he chasteneth, and yet deliteth in him, euen as a father in his awne sonne.
Prov.3.13	Well is him that findeth wysdome, and opteyneth vnderstandinge:
Prov.3.14	for the getting of it is better then any marchaundise of syluer, and the profet of it is better then golde.
Prov.3.15	Wysdome is more worth then precious stones: and all the thinges that thou canst desire are not to be compared vnto her.
Prov.3.16	Upon her ryght hande is longe lyfe, and vpon her left hande is riches and honour.
Prov.3.17	Her wayes are pleasaunt wayes and all her pathes are peaceable.
Prov.3.18	She is a tree of lyfe to them that laye hold vpon her, and blessed is he that kepeth her fast.
Prov.3.19	With wysdome hath the Lorde layed the foundacion of the erth: and thorowe vnderstandinge hath he stablyshed the heauens.
Prov.3.20	Thorowe his wisdome the deapthes breake vp, and the cloudes droppe downe the dew.
Prov.3.21	My sonne, let not these thynges departe, from thyne eyes: but kepe my lawe and my councell,
Prov.3.22	that thou mayest haue the pleasure of longe lyfe and vnderstandynge: for they shalbe lyfe vnto my soule, Ꟶ grace vnto my mouth.
Prov.3.23	Then shalt thou walke safely in thy waye: and thy fote shall not stomble.
Prov.3.24	If thou slepest, thou shalt nott be afrayed: but shalt take thy rest, and slepe swetely.
Prov.3.25	Thou nedest not to be afrayed of any soden feare, nether for the vyolent russhynge in of the vngodly when it commeth.
Prov.3.26	For the Lorde shall stonde by thy syde, and kepe thy fote, that thou be not taken.
Prov.3.27	Withdrawe no good thinge from them that haue nede, so longe as thyne hand is able to do it.
Prov.3.28	Saye not vnto thy neyghboure: go thy waye, Ꟶ come agayne, to morowe wyll I geue the:
Prov.3.29	where as thou haste nowe to geue hym. Intende no hurte vnto thy neyghboure, seynge he dothe dwell in reest by the.
Prov.3.30	Stryue not lyghtely with anye man without cause, where as he hathe done the no harme.
