Rom.0.0	¶ The Epistle of the Apostle Saynct Paul to the Romayns.
Rom.1.1	Paul the seruaunt of Iesus Chryst called to the office of an Apostle put a parte for the Gospell of God
Rom.1.2	whych he had promysed afore by hys Prophetes in the holy scriptures
Rom.1.3	of hys sonne, whych was borne of the seed of Dauid after the flesshe:
Rom.1.4	and hath bene declared to be the sonne of God wt power, after the sprete that sanctifyeth, sence the tyme that Iesus Chryst oure Lorde rose agayne from deeth
Rom.1.5	by whom we haue receaued grace Ꟶ Apostleshyp, that obedience myght be geuen vnto the fayth in hys name amonge all heathen,
Rom.1.6	of whose nombre you be, the electe of Iesu Chryst.
Rom.1.7	To all you that be at Rome, beloued of God and sayntes by electyon. Grace be wt you and peace from God oure father, Ꟶ from the Lorde Iesus Chryst.
Rom.1.8	Fyrst verely I thanke my God thorow Iesus Chryst for you all, that youre fayth is spoken of in all the worlde.
Rom.1.9	For God is my wytnes (whom I serue. Wyth my sprete in the Gospell of hys sonne) that wythout ceasynge I make mencyon of you prayinge allwayes in my prayers,
Rom.1.10	that by some meane, at the last (one tyme or other) a prospesperous iorney (by the wyll of God) myght fortune me, to come vnto you.
Rom.1.11	For I longe to se you, that I myght bestowe amonge you some spyrituall gyfte, to strength you withall:
Rom.1.12	that is, that I myght haue consolacyon together wyth you, through the commen fayth whych both ye and I haue.
Rom.1.13	I wolde that ye shuld knowe (brethren) how that I haue often tymes purposed to come vnto you but haue bene let hitherto, to haue some frute also amonge you, as among other of the Gentyls.
Rom.1.14	I am detter both to the Grekes and to the vngrekes, to the learned and to the vnlearned.
Rom.1.15	So that (as moch as in me is) I am redy to preach the Gospell to you that are at Rome also.
Rom.1.16	For I am not asshamed of the Gospell of Chryst, because it is the power of God vnto saluacion to euery one that beleueth, to the Iewe fyrst, Ꟶ also to the Gentyle.
Rom.1.17	For by it is the ryghtewesnes of God opened from fayth to fayth.
Rom.1.18	As it is written the iust shall lyue by fayth. For the wrath of God apeareth from heauen agaynst all vngodlynes and vnryghtewesnes of men, whych withholde the trueth in vnrightewesnes:
Rom.1.19	seynge that it whych maye be knowen of God, is manyfest amonge them because God hath shewed it vnto them.
Rom.1.20	For hys inuisyble thinges (that is to saye hys eternall power ad godhed) are sene, for as moch as they are vnderstande by the workes from the creacyon of the worlde: So that they are wythout excuse
Rom.1.21	because that when they knewe God, they glorifyed hym not as God, nether were thankfull but wexed full of vanities in theyr imaginacions, and theyr folysh hert was blynded.
Rom.1.22	When they counted them selues wyse, they became fooles
Rom.1.23	and turned the glory of the immortall God, vnto an ymage, made not onely after the symilitude of a mortall man but also of byrdes, Ꟶ fourefoted beastes Ꟶ of creping beastes.
Rom.1.24	Wherfore, God gaue them vp, to vnclennes, thorow the lustes of their awne heartes to defyle their awne bodyes amonge them selues:
Rom.1.25	whych chaunged hys truthe for a lye. and worshypped and serued the thinges that be made, more than hym that made them, which is to be praysed for euer. Amen.
Rom.1.26	Wherfore, God gaue them vp vnto shamefull lustes: For euen their wemen dyd chaunge the naturall vse in to that whych is agaynst nature.
Rom.1.27	And lyke wyse also the men, lefte the natural vse of the woman, and brent in their lustes one wyth another, men wyth men wrought fylthynes, and receaued to them selues the rewarde of theyr erroure, as it was accordynge.
Rom.1.28	And as they regarded not to knowe God euen so God delyuered them vp vnto a lewde mynde, that they shulde do those thynges whych were not comly,
Rom.1.29	beyng full of all vnryghteousnesse, fornicacyon, wyckednes, coueteousnes, malicyousnes, full of enuye morther, debate, disceyte, euyll condicyoned, whysperers,
Rom.1.30	backbyters, haters of God, dysdaynfull, proude, boasters, bringers vp of euyll thynges, disobedyent to father and mother,
Rom.1.31	wythout vnderstandynge, couenaunte breakers, vnlouynge, trucebreakers, vnmercyfull.
Rom.1.32	Which men, though they knew the ryghtewesnes of God, how that they which commyt soche thynges, are worthy of deeth, not only do the same but also haue pleasure in them that do them.
Rom.2.1	Therfore art thou inexcusable. O man, whosoeuer thou be that iudgest For in that same wherin thou iudgest another thou condemnest thy selfe. For thou that iudgest, doest euen the same selfe thynges.
Rom.2.2	But we are sure, that the iudgement of God is accordynge to trueth, agaynst them whych commyt soch thynges.
Rom.2.3	Thynkest thou thys, O thou man that iudgest them whych do soche thynges, and doest euen the very same thy selfe, that thou shalt escape the iudgement of God?
Rom.2.4	Ether despysest thou the ryches of hys goodnes, and pacyence and longe sufferaunce, not knowyng that the kyndnes of God leadeth the to repentaunce?
Rom.2.5	But thou after thy stubburnesse, and herte that cannot repent, heapest vnto thy selfe wrath agaynst the daye of vengeaunce, when shalbe opened the ryghtewes iudgement of God,
Rom.2.6	which wyll reward euery man accordynge to hys dedes:
