Ruth.0.0	¶ The boke of Ruth
Ruth.1.1	It fortuned, that when the Iudges iudged, there fell a darth in the lande, and a certen man of Bethlehem Iuda went for to soiourne in the contreye of Moab: he and hys wyfe, and hys two sonnes.
Ruth.1.2	The name of the man was Elimelec, and the name of hys wyfe, Naomi: and the names of hys two sonnes were, Mahlon and Chilion, and they were Ephraites, out of Bethlehem Iuda. And when they came into the land of Moab, they contynued there.
Ruth.1.3	And Elimilec Naomies husband dyed, and she remayned with her two sonnes,
Ruth.1.4	which toke them wyues of the nacions of the Moabites: the ones name was Orpha, and the others Ruth. And they dwelled there about a ten yere.
Ruth.1.5	And Mahlon and Chilion dyed also euen both of them, and the woman was lefte desolate of her two sonnes and of her husbande.
Ruth.1.6	Then stode she vp with her daughters in lawe, and returned from the countrey of Moab: for she had hearde saye in the countrey of Moab, how that the Lorde had vysyted hys people, and geuen them bred.
Ruth.1.7	Wherfore she departed out of the place where she was, and her two daughters with her. And they went on theyr waye to returne vnto the lande of Iuda.
Ruth.1.8	And Naomi sayde vnto her two daughters in lawe: go and returne eche of you vnto your mothers house: and the Lord deale as kyndlye with you, as ye haue dealt with the deed, and with me.
Ruth.1.9	And the Lorde geue you, that you maye fynde rest, ether of you in the house of her husbande. And whan she kyssed them, they lyft vp theyr voyce, and wepte,
Ruth.1.10	and sayde vnto her: we wyll go with the vnto thy folke.
Ruth.1.11	And Naomi sayde: turne agayne my daughters: for what cause wyll you go with me? Are there any mo chyldren in my wombe, to be your husbandes?
Ruth.1.12	Turne agayne my daughters, and go: for I am to olde to haue an husbande. And yf I sayde, I haue hope, yf I toke a man also this nyght: yee and though I had all readye borne sonnes,
Ruth.1.13	wolde ye tarye after them, tyll they were of age? or wolde ye for them so long refrayne from takynge of husbandes? Not so my daughters: for it greueth me moch for youre sakes, that the hande of the Lorde is gone out agaynst me.
Ruth.1.14	And they lyft vp their voyces, and wepte agayne, Ꟶ Orpha kyssed her mother in lawe, but Ruth aboade styll by her.
Ruth.1.15	And Naomi sayde: se, thy syster in lawe is gone backe agayne vnto her people and vnto her goddes: returne thou after her:
Ruth.1.16	And Ruth answered: entreate me not to leaue the, and to returne from after the: for whether thou goest, I will go also, Ꟶ where thou dwellest, there I wyll dwell: thy people shalbe my people, and thy God my God,
Ruth.1.17	Where thou dyest, there wyll I dye, and there will I be buried. The Lord do so and so to me, yf ought but death onelye departe the and me asondre.
Ruth.1.18	When she sawe that she was stedfastly mynded to go with her, she lefte speakynge vnto her.
Ruth.1.19	And so they went both, vntyll they came to Bethlehem. And when they were come to Bethlehem, it was noysed of them thorow all the cytie, and the wemen sayd: is not this Naomi?
Ruth.1.20	And she answered them: call me not Naomi but call me Mara, for the Allmyghtye hath made me verye bytter.
Ruth.1.21	I went out full: and the Lorde hath brought me home agayne emptie. Why then call ye me Naomi: seynge the Lord hath humbled me, and the allmightie hath brought me vnto aduersyte?
