Song.0.0	¶ The Ballet of Ballettes of Salamon: called in Latyn, Canticum Canticorum.
Song.1.1	O that he wold kysse me with the kysses of his mouth: for thy loue is more pleasaunt then wyne,
Song.1.2	Ꟶ that, because of the good Ꟶ pleasaunt sauoure of thy most preciouse balmes. Thy name is a swete smellynge oyntment when it is shed forthe, therfore do the maydens loue the:
Song.1.3	drawe thou me vnto the: we wyll runne after the. The kynge hath brought me into hys preuy chambres. We wyll be glad Ꟶ reioyce in the, we thynke more of thy loue then of wyne. They that be ryghteous loue the.
Song.1.4	I am black (O ye daughters of Ierusalem) lyke as the tentes of the Cedarenes, Ꟶ as the hangynges of Salomon:
Song.1.5	but yet am I fayre Ꟶ well fauoured withall. Maruell not at me that I am so black: for why? the sunne hath shyned vpon me. My mothers chyldren had euell wyll at me, they made me the keper of the vyneyeardes: but myne owne vyneyarde haue I not kept.
Song.1.6	Tell me of him whom my soule louethe where thou fedest the shepe, where thou makest them rest at the noone daye: for why shall I belyke him, that goeth wronge aboute the flockes of thy companyons?
Song.1.7	Yf thou knowe not thy selfe (O thou fayrest amonge wemen) then go thy waye forth after the fotesteppes of the shepe, and fede thy goates besyde the shepeherdes tentes.
Song.1.8	Unto the hoost of Pharaos charettes haue I compared the, O my loue.
Song.1.9	Thy chekes and thy neck is beawtyfull as the turtyls, and hanged with spanges and goodly Iewels:
Song.1.10	a neck bande of golde wyll we make the with syluer buttons.
Song.1.11	When the kynge sytteth at the table, he shall smell my Nardus:
Song.1.12	a bondell of Myrre is my loue vnto me: he wyll lye betwixte my breastes.
Song.1.13	A cluster of Camphore in the vyneardes of Engaddi is my loue vnto me.
Song.1.14	O howe fayre art thou (my loue) Oh howe fayre art thou? thou hast doues eyes.
Song.1.15	O how fayre art thou (my beloued) howe well fauored art thou? Oure bed is decte with floures,
Song.1.16	the sylynges of oure house are of Cedre tree, and oure crosse ioyntes of Cypresse.
Song.2.1	I Am the lylie of the felde, and rose of the valleyes:
Song.2.2	as the rose amonge the thornes, so is my loue amonge the daughters.
Song.2.3	Lyke as the apple tree amonge the trees of the wodd, so is my beloued among the sonnes. My delyte is to syt vnder hys shadowe, for hys frute is swete vnto my throwte.
Song.2.4	He bringeth me into hys wyne seller, hys banner spred ouer me, is loue.
Song.2.5	Set aboute me cuppes of wyne, comforte me with apples, for I am sycke of loue:
Song.2.6	His left hande lyeth vnder my heade, Ꟶ hys ryght hande shall embrace me.
Song.2.7	I charge you, (O ye daughters of Ierusalem) by the Roes and hyndes of the felde, that ye wake not vp my loue nor touche her, tyll she be content her selfe.
Song.2.8	Me thinke I heare the voyce of my beloued: lo, there commeth he hoppynge vpon the mountaynes, Ꟶ leapynge ouer the lytle hylles.
Song.2.9	My beloued, is lyke a Roo or a yonge hart. Beholde, he standeth behynde our wall, he loketh in at the wyndowe, and pepeth thorowe the grate.
Song.2.10	My beloued answered and sayde vnto me. O stande vp my loue, my beutyfull, and go to thyne awne:
Song.2.11	for that, the wynter is now past the rayne is awaye and gone.
Song.2.12	The floures are come vp in the felde, the tyme of the byrdes syngynge is come, and the voyce of the turtle doue is hearde in oure lande.
Song.2.13	The fygge tree bringeth forth her fygges, and the vynes beare blossoms. Ꟶ haue a good smel. O stande vp then Ꟶ come my loue, my beutyfull, Ꟶ come I saye
Song.2.14	(O my doue) out of the caues of the rockes, out of the holes of the wall: O let me se thy countenaunce and heare thy voyce for swete is thy voyce, and fayre is thy face.
Song.2.15	Get vs the foxes, yee the lytle foxes, that hurt the vynes, for oure vynes beare blosoms.
Song.2.16	My loue is myne, and I am hys, which fedeth amonge the roses,
Song.2.17	vntyll the daye breake, and tyll the shadowes be gone. Come agayne (O my beloued) and be lyke as a Roo or a yonge hart vpon the wyde mountaynes.
Song.3.1	By nyght in my beed I sought him, whom my soule loueth: ye diligently sought I him, but I founde him not.
Song.3.2	I wyll get vp (thought I) and go aboute the cytie, in the wayes in all the stretes wyll I seke him whom my soule loueth: but when I sought hym, I founde hym not.
Song.3.3	The watchmen also that go aboute the cytie, founde me. Sawe ye not him whom my soule loueth?
Song.3.4	So when I was a lytle past them, I founde him whom my soule loueth. I haue gotten holde vpon hym, and wyll not let him go vntyll I bringe hym into my mothers house, and into her chambre that bare me.
Song.3.5	I charge you, O ye daughters of Ierusalem, by the Roes and Hyndes of the felde, that ye wake not vp my loue ner touche her, tyll she be content herselfe.
Song.3.6	Who is thys, that commeth vp out of the wyldernesse like vapours of smoke, as it were a smell of Myrre, franckencense, and all maner spyces of the Apotecary?
Song.3.7	Beholde, aboute Salomons bedstede ther stande .lx. valeaunt men of the most myghtie in Israel.
Song.3.8	They holde swerdes euery one, and are expert in warre. Euery man also hath hys swerde vpon hys thygh, because of feare in the nyght:
Song.3.9	Kynge Salomon had made him selfe a palace of the wod of Libanus,
Song.3.10	the pilers are of syluer, the couerynge of golde, the seate of purple, the grounde is pleasauntly paued with loue for the daughters of Ierusalem.
Song.3.11	Go forth (O ye daughters of Syon) and beholde Kynge Salomon in the crowne: wherwith his mother crowned him in the daye of hys mariage, and in the daye of the gladnesse of his hert.
Song.4.1	O How fayre art thou, my loue, howe fayre art thou? thou hast doues eyes, besyde that which lyeth hyd within.
Song.4.2	Thy hearye lockes are like the woll of a flocke of gotes that be shorne vpon mount Gilead: Thy teth are like shepe of the same bignesse, which went vp from the washinge place: where euery one beareth two twyns, and not one vnfrutefull amonge them.
Song.4.3	Thy lippes are like a rose coloured rybonde, thy wordes are louely, thy chekes are like a pece of a pomgranat within thyne heares.
Song.4.4	Thy neck is lyke the tower of Dauid builded with costly stones lyinge out on the sides wher vpon there hang a thousande shyldes, yee all the weapens of the geauntes.
