Zech.0.0	¶ The booke of the Prophete zachary.
Zech.1.1	In the eyght moneth of the seconde yeare of kynge Darius, came the worde of the Lord vnto zacharie the sonne of Barachias, the sonne of Addo, the prophete, sayenge:
Zech.1.2	The Lorde hath bene sore displeased at youre forefathers.
Zech.1.3	And saye thou vnto them: thus sayth the Lorde of hootes: Turne you vnto me (sayeth the Lorde of hostes) and I wyll turne me vnto you, sayth the Lorde of hoostes.
Zech.1.4	Be ye not lyke your forefathers, vnto whom the prophetes cryed afore tyme, sayeng. Thus sayeth the Lord God of hostes. Turne you from youre euell wayes, and from youre wycked ymaginacyons. But they wolde not heare ner regarde me, sayeth the Lorde.
Zech.1.5	What is now become of youre forefathers and the prophetes? are they yet styll alyue?
Zech.1.6	But dyd not my wordes and statutes (which I commaunded by my seruauntes the prophetes) touche youre forefathers? Upon this, they gaue answere and sayde: like as the Lorde of hoostes deuised to do vnto vs, according to oure owne wayes and ymagynacyons, euen so hath he delt with vs.
Zech.1.7	Upon the .xxiiii. daye of the .xi. moneth whych is the moneth Sebah, in the seconde yeare of Darius, came the worde of the Lorde vnto zachary the sonne of Barachias, the sonne of Addo the prophete, saying,
Zech.1.8	I sawe by nyght and lo, there sat one vpon a redd horse and stode styll amonge the myrre trees, that were beneth vpon the grounde, and behynde hym were there redd, speckled, and whyte horses.
Zech.1.9	Then sayde I, O my Lorde, what are these? And the aungel that talked wyth me, sayde vnto me. I wyll shewe the what these be.
Zech.1.10	And the man that stode amonge the myrre trees answered Ꟶ sayde: These are they whom the Lorde hathe sente to go thorowe the world.
Zech.1.11	And they answered the aungel of the Lorde, that stode among the myr trees and sayde. We haue gone thorowe the worlde: and beholde all the worlde dwell at ease and are carelesse.
Zech.1.12	Then the Lordes aungel gaue answer and sayde: O Lorde of hoostes, howe longe wylt thou be vnmercyful to Ierusalem and to the cyties of Iuda? With whom thou hast bene dyspleased nowe these thre score Ꟶ ten yeares.
Zech.1.13	So the Lorde gaue a louynge and a confortable answere vnto the aungel that talked wyth me.
Zech.1.14	And the aungel that comened with me, sayd vnto me: Crye thou, Ꟶ speake. Thus sayeth the Lorde of hoostes. I am exceadynge gelous ouer Ierusalem and Sion,
Zech.1.15	and sore displeased at the carelesse Heathen: for where as I was but alytle angry, they dyd theyr beste that I myght destroye them
Zech.1.16	Therfore thus sayeth the Lord: I wyl turne me agayne in mercye toward Ierusalem, so that my house shalbe buylded in it, sayeth the Lorde of hoostes, yee, and the plommet shalbe layed abroade in Ierusalem, sayeth the Lorde of hoostes.
Zech.1.17	Crye also, and speake thus sayeth the Lorde of hoostes. My cyties shalbe in good prosperyte agayne, the Lorde shall yet conforte Sion: Ꟶ chose Ierusalem:
Zech.1.18	Then lyfte I vp myne eyes, Ꟶ sawe, Ꟶ beholde foure hornes.
Zech.1.19	And I sayde vnto the aungel, that talked wt me what be these? he answered me. These are the hornes which haue scatered Iuda, Israel Ꟶ Ierusalem abroade.
Zech.1.20	And the Lord shewed me foure carpenters.
Zech.1.21	Then sayde I: what wyll these do? He answered and sayde Those are the hornes which haue so stroweed Iuda abroad, that no man durste lyft vp hys heade: But these are come to fray them awaye: Ꟶ to caste out the hornes of the Gentiles: whyche lyfte vp theyr horne ouer the lande of Iuda, to scatre it abroade.
Zech.2.1	I lift vp myne eyes agayne, and loked: Ꟶ beholde a man with a measure lyne in hys hand.
Zech.2.2	Then sayde I: whether goeste thou? Ꟶ he sayde vnto me: To measure Ierusalem, that I maye se how longe Ꟶ howe brode it is.
Zech.2.3	And behold the aungell that talked wyth me, went hys waye forth. Then went there oute another angel to mete him,
Zech.2.4	Ꟶ sayde vnto hym: Runne speake to thys yonge man, and saye: Ierusalem shalbe enhabyted wythout eny wall, for the very multitude of people and catell that shalbe therin:
Zech.2.5	Yee, I my selfe (sayth the Lorde) wyll be vnto her a wall of fyer rounde aboute, and wylbe honoured in her.
Zech.2.6	O get you forth, O fle from the lande of the north, sayth the Lorde, yee whome I haue scatred into the foure wyndes vnder heauen, sayth the Lorde.
Zech.2.7	Saue thy selfe, O Syon: thou that dwellest with the daughter of Babylon,
Zech.2.8	for thus sayeth the Lorde of hoostes. After that glorious power hath he sent me out to the Heathen, whych spoyled you, for whoso toucheth you, shall touch the aple of hys owne eye.
Zech.2.9	Beholde, I wyll lyft vp myne hande ouer them: so that they shalbe spoyled of those: whyche afore serued them, and ye shall knowe, that the Lord of hostes hath sente me.
Zech.2.10	Be glad, Ꟶ reioyce, O daughter of Syon: for lo, I am come to dwell in the myddest of the, sayth the Lord
Zech.2.11	at the same time there shal many Heathen cleue to the Lord and shalbe my people. Thus wyll I dwel in the myddest of the, and thou shalte knowe that the Lorde of hoostes hath sente me vnto th
Zech.2.12	The Lorde shal haue Iuda in possessyon for hys parte in the holy ground, and shal chose Ierusalem yet agayne.
Zech.2.13	Let all flesh be styl before the Lorde, for he is rysen oute of hys holy place.
Zech.3.1	And he shewed me Iesua the hye prest standyng before the angel of the lord and Satan stode at his ryght hand to resyst hym.
Zech.3.2	And the Lord sayde vnto Satan. The Lorde reproue the (thou Satan,) yee, the Lorde that hath chosen Ierusalem, reproue the. Is not thys a brand taken out of the fyre?
Zech.3.3	Nowe Iesua was clothed in vncleane raiment, and stode before the aungel
Zech.3.4	whych answered and sayde vnto those that stode before hym, take awaye the foule clothes from hym. And vnto him he sayde. Beholde, I haue taken awaye thy synne from the and wyl decke the wyth chaung of rayment.
Zech.3.5	He sayde moreouer, sett a fayre myter vpon hys heade. So they set a fayre myter vpon hys heade, Ꟶ put on clothes vpon hym, and the angel of the Lord stode there.
Zech.3.6	Then the angel of the Lord testifyed vnto Iesua, and spak
Zech.3.7	thus sayeth the Lord of hostes. If thou wilt walke in my wayes, Ꟶ kepe my watch: thou shalte rule my house, Ꟶ kepe my courtes, Ꟶ I wyll geue the place amonge these that stande here.
Zech.3.8	Heare (O Iesua) thou hye preste, thou and thy frends that dwell before the, for they are wonderous people. Behold, I wyl bring forth the braunches of my seruaunt:
Zech.3.9	for lo, the stone that I haue layed before Iesua: vpon one stone shalbe .vii. eyes. Beholde I wyl hewe hym out (sayeth the Lorde of hoostes) Ꟶ take awaye the synne of the lande in one day.
Zech.3.10	Then shal euery man cal for his neyghbour vnder the vyne and vnder the fyggtre, sayth the Lorde of hoostes:
Zech.4.1	And the angel that talked with me cam agayne, and waked me vp, as a man that is raysed out of hys slep
Zech.4.2	Ꟶ sayd vnto me: what seyst thou? And I sayde I haue loked, and beholde: a candelstycke al of golde with a boule vpon it, Ꟶ his seuen lampes therin, and vpon euery lampe seuen stalkes.
Zech.4.3	And two olyue trees therby, one vpon the ryght syde of the boule, and the other vpon the lyftesyde.
Zech.4.4	So I answered, and spake to the angel that talked wt me saying, O my Lord what are these?
Zech.4.5	the angell that talked wyth me answered and sayde vnto me: knoweste thou not what these be? and I sayde: No my Lorde.
Zech.4.6	He answered Ꟶ sayde vnto me: This is the worde of the Lorde vnto zorobabel, sayinge: Nether thorow an hooste of men nor thorowe strengthe, but thorowe my sprete, sayeth the Lorde of hoostes.
Zech.4.7	What art thou thou great mountayne, before zorobabel? thou must be made euen. And he shal brynge vp the fyrste stone, so that men shal crye vnto him good lucke good lucke.
Zech.4.8	Moreouer, the worde of the Lord came vnto me sayinge.
Zech.4.9	The handes of zorobobel haue layed the foundacyon of the house: hys handes, shall also fynyshe it, that ye maye knowe howe that the Lorde of hoostes hath sent me vnto you.
Zech.4.10	For he that hath bene dispysed a lytle ceason, shall reioyce, when he seeth the tynne weyght in zorobabels hande. The .vii. eyes are the Lordes whych go thorow the whole world.
Zech.4.11	Then answered I, and sayd vnto him, what are these two olyue trees vpon the ryght and lefte syde of the candelstick?
Zech.4.12	I spake moreouer, and sayd vnto him what be these two olyue braunches (whych thorow the two golden pypes) emptie them selues into the gold?
Zech.4.13	He answered me Ꟶ sayd knowest thou not, what these be? And I sayde, no, my Lorde.
Zech.4.14	Then sayd he. These are the two olyue braunches, that stande before the ruler of the whole earth.
Zech.5.1	So I turned me, lyftyng vp myne eyes, Ꟶ loked, Ꟶ beholde, a flyinge boke.
Zech.5.2	And he sayd vnto me: what seest thou I answered: I se a flyinge booke of .xx. cubytes longe, and .x. cubytes brode.
Zech.5.3	Then sayed he vnto me: Thys is the curse that goeth forth ouer the whole earth: for all theues shalbe Iudged after this booke Ꟶ all swearers shalbe iudged accordynge to the same,
Zech.5.4	Ꟶ I wyl brynge it furth (sayeth the Lorde of hostes) so that it shall come to the house of the thefe, Ꟶ to the house of him, that falsly sweareth by my name: Ꟶ shall remayne in hys house, Ꟶ consume it, wt the tymbre and stones therof.
Zech.5.5	Then the angel that talked wt me, wente forth and sayd vnto me: lyft vp thyne eyes and se, what is this that goeth forth.
Zech.5.6	And I sayde: what is it? He answered: thys is a measure goinge out. He sayde moreouer: Euen thus are they (that dwel vpon the whole earth) to loke vpon.
Zech.5.7	And beholde, there was lyft vp a talent of leade: Ꟶ lo, a woman sat in the myddest of the measure.
Zech.5.8	And he sayde: thys is vngodlynes. So he cast her into the myddest of the measure, and threwe the lompe of leade into the mouth of the measure.
Zech.5.9	Then lyfte I vp myne eyes, Ꟶ loked: and behold, there came out .ii. women, and the wind was in their wynges (for they had wynges lyke the wynges of a storke) Ꟶ they lyft vp the measure betwixt the earth and the heauen.
Zech.5.10	Then spake I to the aungel that talked wt me: whyther wyl these beare the measure?
Zech.5.11	And he sayd vnto me: into the lande of Synear to buyld them an house, whiche when it is prepared, the measure shalbe set there in his place.
Zech.6.1	Moreouer, I turned me, lyftyng vp myne eyes, and loked, Ꟶ beholde, there came foure charetes out from betwyxte two hylles, whiche hylles were of brasse.
Zech.6.2	In the fyrst charret were red horses, in the second charet were black horses,
Zech.6.3	in the third charet were whyte horses, in the fourth charet were horses of dyuers colours and strong
Zech.6.4	Then spake I, and sayde vnto the aungell that talked with me: O lord what are these.
Zech.6.5	The aungell answered, and sayde, vnto me. These are the .iiii. wyndes of the heauen, which be come forth to stande before the ruler of all the earth.
Zech.6.6	That with the blacke horse wente into the lande of the north, Ꟶ the white folowed them, and the spekled horses wente forth towarde the south.
Zech.6.7	These horses were very stronge, and wente out: Ꟶ sought to go Ꟶ take theyr iourney ouer the whole earth. And he sayde: get you hence, Ꟶ go thorow the worlde. So they wente thorow out the world.
Zech.6.8	Then cryed he vpon me, and spake vnto me, sayeng: behold, these that go towarde the north, shall styll my wrath in the north countre.
Zech.6.9	And the worde of the Lord came vnto me, sayeng.
Zech.6.10	Take of thou presoners that are come from Babylon: namely, Heldai, Tobiah, Ꟶ Idaia: Ꟶ come thou the same daye, Ꟶ go into the house of Iosiah, the sonne of Sophony.
