Zeph.0.0	¶ The booke of the Prophet Sophony.
Zeph.1.1	This is the worde of the Lord, which cam vnto Sophony the sonne of Chusi, the sonne of Gedoliah, the sonne of Amariah, the sonne of Hezekiah in the tyme of Iosiah the sonne of Amon kyng of Iuda.
Zeph.1.2	I wyll gather vp all thynges in the lande (sayeth the Lord)
Zeph.1.3	I wyll gather vp man Ꟶ beast: I wyll gather vp the foules in the ayre and the fysh in the see (to the greate decaye of the wycked) and wyll vtterly destroye the men out of the lande, sayeth the Lord.
Zeph.1.4	I will stretch oute myne hande vpon Iuda, Ꟶ vpon all soch as dwell at Ierusalem. Thus will I rote oute the remnaunt of Baal from this place, Ꟶ the names of the Remurins and prestes:
Zeph.1.5	yee, Ꟶ soch as vpon their house toppes worshyppe and bowe them selues vnto the hoste of heauen: which sweare by the Lord, Ꟶ by their Malchom also:
Zeph.1.6	which starte a backe from the Lord, and nether seke after the Lord ner regarde hym.
Zeph.1.7	Be still at the presence of the Lord God for the daye of the Lord is at hande: yee, the Lord hath prepared a slayne offeryng, and called hys gestes therto.
Zeph.1.8	And thus shall it happen in the daye of the Lordes slaynofferyng. I will viset the princes, the kynges chyldren, and all soch as were straunge clothinge.
Zeph.1.9	In the same daye also wyll I vyset all those, that treade ouer the thresholde so proudly, which fyll their Lordes house with robbery Ꟶ falshede.
Zeph.1.10	At the same tyme (sayeth the Lorde) there shalbe herde a greate crye from the fysh porte and an howlinge from the other porte, and a greate murthur from the hylles.
Zeph.1.11	Howle ye that dwell in the myll, for all the marchaunt people are gone, Ꟶ all they that were laden with syluer, are roted out.
Zeph.1.12	At the same tyme wyll I seke thorow Ierusalem with lanternes, Ꟶ vyset them that continue in their dregges, and saye in their hertes: Tush, the Lord wyll do nether good ner euell.
Zeph.1.13	Their goodes shalbe spoyled, and their houses layed waste: they shal buylde houses, Ꟶ not dwell in them, they shall plante vynyardes, but not drincke that wyne therof.
Zeph.1.14	For the greate daye of the Lord is at hande, it is herde by Ꟶ commeth on a pace. Horrible is the tydinges of the Lordes daye, then shal the giaunte crye out:
Zeph.1.15	for that daye is a daye of wrath, a daye of trouble and heuynesse, a daye of vtter destruccion Ꟶ misery, a darcke Ꟶ glomynge daye, a cloudy Ꟶ stormy daye,
Zeph.1.16	a daye of the noyse of trompettes Ꟶ shawmes, agaynst the stronge cyties Ꟶ hie towres.
Zeph.1.17	I will bringe the people into soch vexacion, that they shal go aboute lyke blinde men, because they haue synned agaynst the Lord. Their bloude shalbe shed as the dust, Ꟶ their bodies as the myre.
Zeph.1.18	Nether their syluer ner their golde shalbe able to deliuer them in that wrothful daye of the Lorde, but the whole lande shalbe consumed thorow the fyre of his gelousy: for he shall soone make clene ryddaunce of al them that dwell in the lande.
Zeph.2.1	Examyne youre selues Ꟶ serche O thou Nacyon that hast no desire to the law
Zeph.2.2	or the thing go forth that God hath concluded, Ꟶ or the tyme come wherin man shall passe awaye as the dust: or the fearfull wrath of the Lord come vpon you:
